"","item_code","category"
"1",30110,30110
"2",30191,30191
"3",30192,30192
"4",30193,30193
"5",30199,30199
"6",30211,30211
"7",30212,30212
"8",30219,30219
"9",30221,30221
"10",30222,30222
"11",30223,30223
"12",30229,30229
"13",30231,30231
"14",30232,30232
"15",30233,30233
"16",30239,30239
"17",30240,30240
"18",30250,30250
"19",30261,30261
"20",30262,30262
"21",30263,30263
"22",30264,30264
"23",30265,30265
"24",30266,30266
"25",30269,30269
"26",30270,30270
"27",30310,30310
"28",30321,30321
"29",30322,30322
"30",30329,30329
"31",30331,30331
"32",30332,30332
"33",30333,30333
"34",30339,30339
"35",30341,30341
"36",30342,30342
"37",30343,30343
"38",30349,30349
"39",30350,30350
"40",30360,30360
"41",30371,30371
"42",30372,30372
"43",30373,30373
"44",30374,30374
"45",30375,30375
"46",30376,30376
"47",30377,30377
"48",30378,30378
"49",30379,30379
"50",30380,30380
"51",30410,30410
"52",30420,30420
"53",30490,30490
"54",30510,30510
"55",30520,30520
"56",30530,30530
"57",30541,30541
"58",30542,30542
"59",30549,30549
"60",30551,30551
"61",30559,30559
"62",30561,30561
"63",30562,30562
"64",30563,30563
"65",30569,30569
"66",30611,30611
"67",30612,30612
"68",30613,30613
"69",30614,30614
"70",30619,30619
"71",30621,30621
"72",30622,30622
"73",30623,30623
"74",30624,30624
"75",30629,30629
"76",30710,30710
"77",30721,30721
"78",30729,30729
"79",30731,30731
"80",30739,30739
"81",30741,30741
"82",30749,30749
"83",30751,30751
"84",30759,30759
"85",30760,30760
"86",30791,30791
"87",30799,30799
"88",51191,51191
"89",150410,150410
"90",150420,150420
"91",150430,150430
"92",160411,160411
"93",160412,160412
"94",160413,160413
"95",160414,160414
"96",160415,160415
"97",160416,160416
"98",160419,160419
"99",160420,160420
"100",160430,160430
"101",160510,160510
"102",160520,160520
"103",160530,160530
"104",160540,160540
"105",160590,160590
"106",220710,220710
"107",220720,220720
"108",230120,230120
