Stressor,Compartment,Subcompartment_1,Subcompartment_2,Unit,Description,Sources,GWP
ES_terrestrial_carbon,Ecosystem services,terrestrial,"",(Mg Carbon)/ha,Carbon that would be available for natural processes in the absence of agricultural activity. Based on ha of cropland and grazing. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-,BAMBOO internal (M6),
ES_terrestrial_pollination,Ecosystem services,terrestrial,"",(N. pollinators)/(ha*year),Number of pollinators lost due to agricultural activity. Based on ha of cropland and grazing. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,BAMBOO internal (M6),
ES_terrestrial_soil_erosion,Ecosystem services,terrestrial,"",(Kg loss soil)/(ha*year),KG of soil eroded due to agricultural activity. Based on ha of cropland and grazing. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-,BAMBOO internal (M6),
FD_EQ_div_freshwater,Functional Diversity,freshwater,species divergence,PDF_FDdiv,Total freshwater biodiversity loss due to disruptions in species divergence. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_div_freshwater_climate,Functional Diversity,freshwater,species divergence,PDF_FDdiv,Freshwater biodiversity loss due to disruptions in species divergence caused by climate change. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_div_freshwater_eutrophication,Functional Diversity,freshwater,species divergence,PDF_FDdiv,Freshwater biodiversity loss due to disruptions in species divergence caused by eutrophication. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_div_marine,Functional Diversity,marine,species divergence,PDF_FDdiv,Total marine biodiversity loss due to disruptions in species divergence. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_div_marine_climate,Functional Diversity,marine,species divergence,PDF_FDdiv,Marine biodiversity loss due to disruptions in species divergence caused by climate change. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_div_marine_eutrophication,Functional Diversity,marine,species divergence,PDF_FDdiv,Marine biodiversity loss due to disruptions in species divergence caused by eutrophication. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_div_terrestrial,Functional Diversity,terrestrial,species divergence,PDF_FDdiv,Total terrestrial biodiversity loss due to disruptions in species divergence. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_div_terrestrial_climate,Functional Diversity,terrestrial,species divergence,PDF_FDdiv,Terrestrial biodiversity loss due to disruptions in species divergence caused by climate change. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_eve_freshwater,Functional Diversity,freshwater,species evenness,PDF_FDeve,Total freshwater biodiversity loss due to disruptions in species evenness. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_eve_freshwater_climate,Functional Diversity,freshwater,species evenness,PDF_FDeve,Freshwater biodiversity loss due to disruptions in species evenness caused by climate change. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
