item,item_code,N,P,K
Agave fibres nes,800,5,1,3
"Almonds, with shell",221,44,10,54
"Anise, badian, fennel, coriander",711,13,2,15
Apples,515,2,1,5
Apricots,526,4,1,2
Areca nuts,226,8,,
Artichokes,366,4,1,3
Asparagus,367,5,1,4
Avocados,572,3,1,2
Bambara beans,203,26,5,15
Bananas,486,2,0,8
Barley,44,18,3,6
"Bastfibres, other",782,4,1,3
"Beans, dry",176,42,6,17
"Beans, green",414,4,1,2
Berries nes,558,2,,
Blueberries,552,1,0,1
"Brazil nuts, with shell",216,17,5,15
"Broad beans, horse beans, dry",181,30,5,15
Buckwheat,89,17,2,4
Cabbages and other brassicas,358,4,0,3
Canary seed,101,19,3,11
Carobs,461,5,2,5
Carrots and turnips,426,2,1,2
"Cashew nuts, with shell",217,21,7,20
Cashewapple,591,1,,
Cassava,125,2,0,3
Castor oil seed,265,14,,
Cauliflowers and broccoli,393,4,1,3
Cereals nes,108,14,3,4
Cherries,531,2,,
"Cherries, sour",530,1,,
Chestnut,220,3,,
Chick peas,191,27,5,15
Chicory roots,459,2,,
"Chillies and peppers, dry",689,13,1,12
"Chillies and peppers, green",401,2,1,2
Cinnamon (cannella),693,12,1,12
Cloves,698,18,3,17
"Cocoa, beans",661,24,5,40
Coconuts,249,15,3,6
"Coffee, green",656,22,3,17
"Cow peas, dry",195,31,5,15
Cranberries,554,1,,
Cucumbers and gherkins,397,1,0,2
Currants,550,2,,
Dates,577,3,1,3
Eggplants (aubergines),399,3,1,3
Fibre crops nes,821,4,1,3
Figs,569,3,,
Flax fibre and tow,773,19,4,7
Fonio,94,13,2,4
"Fruit, citrus nes",512,2,0,2
"Fruit, fresh nes",619,2,0,2
"Fruit, pome nes",542,3,1,2
"Fruit, stone nes",541,2,1,2
"Fruit, tropical fresh nes",603,3,1,2
Garlic,406,6,1,3
Ginger,720,13,1,11
Gooseberries,549,1,,
"Grain, mixed",103,15,2,4
Grapefruit (inc. pomelos),507,2,,
Grapes,560,3,1,4
"Groundnuts, with shell",242,34,4,7
"Gums, natural",839,148,,
"Hazelnuts, with shell",225,9,2,7
Hemp tow waste,777,3,1,3
Hempseed,336,25,2,4
Hops,677,21,3,17
Jojoba seed,277,56,12,37
Jute,780,3,1,3
Karite nuts (sheanuts),263,11,,
Kiwi fruit,592,2,0,1
Kola nuts,224,14,,
"Leeks, other alliaceous vegetables",407,3,1,3
Lemons and limes,497,2,0,1
Lentils,201,36,6,20
Lettuce and chicory,372,2,0,3
Linseed,333,30,7,21
Lupins,210,47,5,15
Maize,56,12,3,4
"Maize, green",446,8,1,6
"Mangoes, mangosteens, guavas",571,4,1,5
Manila fibre (abaca),809,3,1,3
Melonseed,299,39,11,32
Millet,79,23,4,6
Mushrooms and truffles,449,9,,
Mustard seed,292,41,9,28
"Nutmeg, mace and cardamoms",702,14,1,16
Nuts nes,234,11,,
Oats,75,22,4,5
Oil palm fruit,254,4,1,5
Oilseeds nes,339,18,5,25
Okra,430,3,1,3
Olives,260,7,8,7
"Onions, dry",403,2,1,2
"Onions, shallots, green",402,2,1,2
Oranges,490,3,0,4
Papayas,600,80,18,144
Peaches and nectarines,534,3,1,3
Pears,521,2,0,2
"Peas, dry",187,39,9,10
"Peas, green",417,17,3,10
Pepper (piper spp.),687,12,1,16
Peppermint,748,11,1,12
Persimmons,587,1,,
Pigeon peas,197,,,
Pineapples,574,1,0,1
Pistachios,223,16,,
Plantains and others,489,4,0,4
Plums and sloes,536,2,,
Poppy seed,296,29,6,19
Potatoes,116,3,1,6
Pulses nes,211,26,4,13
"Pumpkins, squash and gourds",394,3,0,4
"Pyrethrum, dried",754,15,1,16
Quinces,523,0,,
Quinoa,92,17,2,4
Ramie,788,4,1,3
Rapeseed,270,32,7,7
Raspberries,547,1,,
"Rice, paddy",27,12,3,3
Roots and tubers nes,149,4,0,3
"Rubber, natural",836,7,1,4
Rye,71,22,3,4
Safflower seed,280,35,5,23
Seed cotton,328,59,12,32
Sesame seed,289,26,5,10
Sisal,789,5,1,3
Sorghum,83,14,4,4
Soybeans,236,56,6,17
Spices nes,723,14,1,11
Spinach,373,4,1,4
Strawberries,544,7,2,8
String beans,423,3,1,2
Sugar beet,157,2,1,4
Sugar cane,156,4,0,1
Sugar crops nes,161,0,,
Sunflower seed,267,26,4,7
Sweet potatoes,122,4,1,7
Tallowtree seed,305,,,
"Tangerines, mandarins, clementines, satsumas",495,2,0,1
Taro (cocoyam),136,4,1,3
Tea,667,19,3,15
"Tobacco, unmanufactured",826,40,6,48
Tomatoes,388,1,0,2
Triticale,97,17,3,4
Tung nuts,275,48,,
Vanilla,692,11,1,16
"Vegetables, fresh nes",463,6,1,3
"Vegetables, leguminous nes",420,14,1,3
Vetches,205,32,4,19
"Walnuts, with shell",222,26,5,12
Watermelons,567,1,0,1
Wheat,15,21,4,5
Yams,137,4,1,3
Yautia (cocoyam),135,4,1,3
grass,2001,24,3,
