item;item_code;N;P;dm_conv
Forage and silage, maize;636;12.8;1.9;0.235
Forage and silage, sorghum;637;14;4;1
Forage and silage, clover;640;32;3;0.2
Forage and silage, alfalfa;641;29.28;2.7;0.906
Forage and silage, green oilseeds;642;30.88;5.8;0.121
Forage and silage, legumes;643;20.8;1.5;0.4
Cabbage for fodder;644;4;0;1
Turnips for fodder;646;2;1;1
Beets for fodder;647;2;1;1
Carrots for fodder;648;2;1;1
Swedes for fodder;649;4;0;1
Vegetables and roots fodder;655;3.55;0.875;1
Forage products;651;13.10916667;1.897916667;1
