item,item_code,region,bio_fixation,unit_bf,level
Groundnuts,2552,Global,62,% of crop yield,global
Beans,2546,Global,38,% of crop yield,global
Peas,2547,Global,62,% of crop yield,global
"Pulses, Other and products",2549,Global,62,% of crop yield,global
Rice and products,2807,Global,22,kg/ha,global
Maize and products,2514,Global,13,kg/ha,global
Wheat and products,2511,Global,13,kg/ha,global
"Forage and silage, clover",640,Global,222,kg/ha,global
"Forage and silage, alfalfa",641,Global,164,kg/ha,global
"Forage and silage, green oilseeds",642,Global,75,kg/ha,global
"Forage and silage, legumes",643,Global,120,kg/ha,global
Forage products,651,Global,15,kg/ha,global
Sugar cane,2536,Global,20,kg/ha,global
Sugar cane,2536,Brazil,40,kg/ha,country
Soyabeans,2555,Former USSR,44,% of crop yield,regional
Soyabeans,2555,South Asia,61,% of crop yield,regional
Soyabeans,2555,Eastern Europe,44,% of crop yield,regional
Soyabeans,2555,Northern Africa,61,% of crop yield,regional
Soyabeans,2555,Southern Africa,61,% of crop yield,regional
Soyabeans,2555,Central America,73,% of crop yield,regional
Soyabeans,2555,South America,61,% of crop yield,regional
Soyabeans,2555,Oceania,66,% of crop yield,regional
Soyabeans,2555,OECD Europe,44,% of crop yield,regional
Soyabeans,2555,Middle East,66,% of crop yield,regional
Soyabeans,2555,South East Asia,61,% of crop yield,regional
Soyabeans,2555,Eastern Africa,61,% of crop yield,regional
Soyabeans,2555,Western Africa,61,% of crop yield,regional
Soyabeans,2555,Canada,61,% of crop yield,regional
Soyabeans,2555,East Asia,61,% of crop yield,regional
Soyabeans,2555,Japan,61,% of crop yield,regional
Soyabeans,2555,USA,61,% of crop yield,regional
Soyabeans,2555,Brazil,78,% of crop yield,country
