crop,item,item_code
Alfalfa,Fodder crops,2000
All Grassland (Scotland),Grazing,2001
Almond,Nuts and products,2551
Apple,Apples and products,2617
Apple & Pear,"Fruits, Other",2625
Apple/Pear,"Fruits, Other",2625
Apples,Apples and products,2617
Apricot,"Fruits, Other",2625
Arecanut,Nuts and products,2551
Artichoke,"Vegetables, Other",2605
Asparagus,"Vegetables, Other",2605
Avocado,"Fruits, Other",2625
Azuhi bean,Beans,2546
Banana,Bananas,2615
Banana/Plantain,Bananas,2615
Barley,Barley and products,2513
Barley (Spring),Barley and products,2513
Barley (Spring},Barley and products,2513
Barley (Winter),Barley and products,2513
Barley (spring),Barley and products,2513
Barley (summer),Barley and products,2513
Barley (winter),Barley and products,2513
Barley/Summer,Barley and products,2513
Barley/Winter,Barley and products,2513
Bean,Beans,2546
Bean (french),Beans,2546
Bean (stockfeed),Beans,2546
Bean/Dry,Beans,2546
Bean/Edible,Beans,2546
Bean/French,Beans,2546
Bean/Fresh Snap,Beans,2546
Bean/Lima,Beans,2546
Bean/Snap Processed,Beans,2546
Beans,Beans,2546
Bell peppers,"Vegetables, Other",2605
Berries,"Fruits, Other",2625
Berry,"Fruits, Other",2625
Broadbean,Beans,2546
Broccoli,"Vegetables, Other",2605
Brocoli,"Vegetables, Other",2605
Buckwheat & millet,"Cereals, Other",2520
Cabbage,"Vegetables, Other",2605
Cabbage (chinese),"Vegetables, Other",2605
Cabbage/Chinese,"Vegetables, Other",2605
Cabbage/Fresh,"Vegetables, Other",2605
Cabbage/Processed,"Vegetables, Other",2605
Cantaloupe,"Fruits, Other",2625
Cantaloupe & melons,"Fruits, Other",2625
Cantaloupe/Others,"Fruits, Other",2625
Canteloupe,"Fruits, Other",2625
Canteloupe/Other,"Fruits, Other",2625
Canteloupe/Others,"Fruits, Other",2625
Canteloupe/others,"Fruits, Other",2625
Caraota,Beans,2546
Carrot,"Vegetables, Other",2605
Cash crop,"",
Cassava,Cassava and products,2532
Castor bean,Beans,2546
Castorbean,Beans,2546
Cauliflower,"Vegetables, Other",2605
Celery,"Vegetables, Other",2605
Cereal/Others,"Cereals, Other",2520
Cereals,"Cereals, Other",2520
Cereals (Other),"Cereals, Other",2520
Cereals (Others),"Cereals, Other",2520
Cereals (incl. pulses),"Cereals, Other",2520
Cereals (other),"Cereals, Other",2520
Cereals mixture,"Cereals, Other",2520
Cereals/Others,"Cereals, Other",2520
Cherry,"Fruits, Other",2625
Cherry/Sweet,"Fruits, Other",2625
Cherry/Tart,"Fruits, Other",2625
Chick pea,"Pulses, Other and products",2549
Chickpea,"Pulses, Other and products",2549
Chickpeas,"Pulses, Other and products",2549
Chinese cabbage,"Vegetables, Other",2605
Citrus,"Citrus, Other",2614
Citrus (Other),"Citrus, Other",2614
Citrus Fruits,"Citrus, Other",2614
Citrus fruit,"Citrus, Other",2614
Citrus fruits,"Citrus, Other",2614
Clover,Fodder crops,2000
Clover &  Mixtures,Fodder crops,2000
Clover seed,Fodder crops,2000
