item_code,item,item_hfubc
809,"Abaca, manila hemp, raw",
800,"Agave fibres, raw, n.e.c.",
221,"Almonds, in shell",Almond
711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",
515,Apples,Apple
515,Apples,Apple & Pear
515,Apples,Apple/Pear
515,Apples,Apples
526,Apricots,Apricot
226,Areca nuts,Arecanut
366,Artichokes,Artichoke
367,Asparagus,Asparagus
572,Avocados,Avocado
203,"Bambara beans, dry",
486,Bananas,Banana
44,Barley,Barley
44,Barley,Barley (Spring)
44,Barley,Barley (Spring}
44,Barley,Barley (Winter)
44,Barley,Barley (spring)
44,Barley,Barley (summer)
44,Barley,Barley (winter)
44,Barley,Barley/Summer
44,Barley,Barley/Winter
176,"Beans, dry",
176,"Beans, dry",Azuhi bean
176,"Beans, dry",Bean
176,"Beans, dry",Bean (french)
176,"Beans, dry",Bean (stockfeed)
176,"Beans, dry",Bean/Dry
176,"Beans, dry",Bean/Edible
176,"Beans, dry",Bean/French
176,"Beans, dry",Bean/Lima
176,"Beans, dry",Beans
176,"Beans, dry",Caraota
176,"Beans, dry",Castor bean
176,"Beans, dry",Castorbean
176,"Beans, dry",Dry bean
176,"Beans, dry",Dry beans
176,"Beans, dry",Edible beans
176,"Beans, dry",Lima beans
176,"Beans, dry",Mungbean
176,"Beans, dry",bean
552,Blueberries,
216,"Brazil nuts, in shell",
181,"Broad beans and horse beans, dry",Broadbean
420,"Broad beans and horse beans, green",Broadbean
89,Buckwheat,Buckwheat & millet
358,Cabbages,Cabbage
358,Cabbages,Cabbage (chinese)
358,Cabbages,Cabbage/Chinese
358,Cabbages,Cabbage/Fresh
358,Cabbages,Chinese cabbage
358,Cabbages,Cow cabbage
358,Cabbages,Fresh cabbage
358,Cabbages,Kale
358,Cabbages,cow cabbage
101,Canary seed,
568,Cantaloupes and other melons,
568,Cantaloupes and other melons,Cantaloupe
568,Cantaloupes and other melons,Cantaloupe & melons
568,Cantaloupes and other melons,Cantaloupe/Others
568,Cantaloupes and other melons,Canteloupe
568,Cantaloupes and other melons,Canteloupe/Other
568,Cantaloupes and other melons,Canteloupe/Others
568,Cantaloupes and other melons,Canteloupe/others
568,Cantaloupes and other melons,Honeydew
568,Cantaloupes and other melons,Melon
426,Carrots and turnips,Carrot
426,Carrots and turnips,Turnips (stockfeed)
426,Carrots and turnips,carrot
217,"Cashew nuts, in shell",
591,Cashewapple,
125,"Cassava, fresh",Cassava
265,Castor oil seeds,
393,Cauliflowers and broccoli,Broccoli
393,Cauliflowers and broccoli,Brocoli
393,Cauliflowers and broccoli,Cauliflower
393,Cauliflowers and broccoli,cauliflower
108,Cereals n.e.c.,
108,Cereals n.e.c.,Cereal/Others
108,Cereals n.e.c.,Cereals
108,Cereals n.e.c.,Cereals (Other)
108,Cereals n.e.c.,Cereals (Others)
108,Cereals n.e.c.,Cereals (incl. pulses)
108,Cereals n.e.c.,Cereals (other)
108,Cereals n.e.c.,Cereals mixture
108,Cereals n.e.c.,Cereals/Others
108,Cereals n.e.c.,Other cereals
108,Cereals n.e.c.,cereals (Other)
531,Cherries,
531,Cherries,Cherry
531,Cherries,Cherry/Sweet
531,Cherries,Cherry/Tart
531,Cherries,Sweet cherries
531,Cherries,Tart cherries
220,"Chestnuts, in shell",
191,"Chick peas, dry",Chick pea
191,"Chick peas, dry",Chickpea
191,"Chick peas, dry",Chickpeas
459,Chicory roots,
689,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",
401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Bell peppers
