item,item_code,item_npk
"Abaca, manila hemp, raw",809,abaca
"Agave fibres, raw, n.e.c.",800,agave
"Almonds, in shell",221,almond
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",711,aniseetc
Apples,515,apple
Apricots,526,apricot
Areca nuts,226,areca
Artichokes,366,artichoke
Asparagus,367,asparagus
Avocados,572,avocado
"Bambara beans, dry",203,bambara
Bananas,486,banana
Barley,44,barley
"Beans, dry",176,bean
Blueberries,552,blueberry
"Brazil nuts, in shell",216,brazil
"Broad beans and horse beans, dry",181,broadbean
"Broad beans and horse beans, green",420,greenbroadbean
Buckwheat,89,buckwheat
Cabbages,358,cabbage
Canary seed,101,canaryseed
Cantaloupes and other melons,568,melonetc
Carrots and turnips,426,carrot
"Cashew nuts, in shell",217,cashew
Cashewapple,591,cashewapple
"Cassava, fresh",125,cassava
Castor oil seeds,265,castor
Cauliflowers and broccoli,393,cauliflower
Cereals n.e.c.,108,cerealnes
Cereals n.e.c.,108,popcorn
Cherries,531,cherry
"Chestnuts, in shell",220,chestnut
"Chick peas, dry",191,chickpea
Chicory roots,459,chicory
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",401,chilleetc
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",401,pimento
"Cinnamon and cinnamon-tree flowers, raw",693,cinnamon
"Cloves (whole stems), raw",698,clove
Cocoa beans,661,cocoa
"Coconuts, in shell",249,coconut
"Coffee, green",656,coffee
"Coir, raw",813,fibrenes
Cotton seed,329,oilseednes
"Cow peas, dry",195,cowpea
Cranberries,554,cranberry
Cucumbers and gherkins,397,cucumberetc
Currants,550,currant
Dates,577,date
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",149,rootnes
Eggplants (aubergines),399,eggplant
Figs,569,fig
Fodder crops,2000,alfalfa
Fodder crops,2000,beetfor
Fodder crops,2000,cabbagefor
Fodder crops,2000,carrotfor
Fodder crops,2000,clover
Fodder crops,2000,fornes
Fodder crops,2000,grassnes
Fodder crops,2000,maizefor
Fodder crops,2000,mixedgrass
Fodder crops,2000,oilseedfor
Fodder crops,2000,ryefor
Fodder crops,2000,sorghumfor
Fodder crops,2000,swedefor
Fodder crops,2000,turnipfor
