region fabio;region GLEAM;backyard;intermediate;industrial
Central America;Central and South America;19455861.00;14037557.00;57758895.00
South East Asia;East Asia;169016694.00;178134788.00;230570030.00
Eastern Europe;East Europe;4178474.00;8541076.00;20881438.00
Canada;North America;0.00;1516791.00;80570586.00
Oceania;Oceania;2157984.00;91408.00;2660114.00
Former USSR;Russian Federation;371328.00;2835069.00;16339561.00
South America;Central and South America;19455861.00;14037557.00;57758895.00
South Asia;South Asia;8132834.00;2830197.00;191322.00
Southern Africa;Sub Saharan Africa;28364000.00;4348412.00;3578648.00
Northern Africa;West Asia and Northern Africa;237327.00;257401.00;1445048.00
Middle East;West Asia and Northern Africa;237327.00;257401.00;1445048.00
Eastern Africa;Sub Saharan Africa;28364000.00;4348412.00;3578648.00
Western Africa;West Asia and Northern Africa;237327.00;257401.00;1445048.00
OECD Europe;West Europe;1148223.00;6796941.00;125858751.00
East Asia;East Asia;169016694.00;178134788.00;230570030.00
Japan;East Asia;169016694.00;178134788.00;230570030.00
USA;North America;0.00;1516791.00;80570586.00
