item_code,item,source,source_code,tcf
2541,Sugar non-centrifugal,Sugar cane,2536,0.09
2543,"Sweeteners, Other",Maize and products,2514,0.8415
2544,Molasses,Sugar beet,2537,0.04
2544,Molasses,Sugar cane,2536,0.048
2559,Cottonseed,Seed cotton,328,0.63
2562,Palm kernels,"Oil, palm fruit",254,0.06
2571,Soyabean Oil,Soyabeans,2555,0.18
2572,Groundnut Oil,Groundnuts (Shelled Eq),2556,0.43
2573,Sunflowerseed Oil,Sunflower seed,2557,0.41
2574,Rape and Mustard Oil,Rape and Mustardseed,2558,0.38
2575,Cottonseed Oil,Cottonseed,2559,0.16
2576,Palmkernel Oil,Palm kernels,2562,0.46
2577,Palm Oil,"Oil, palm fruit",254,0.19
2578,Coconut Oil,Coconuts - Incl Copra,2560,0.61
2579,Sesameseed Oil,Sesame seed,2561,0.43
2580,Olive Oil,Olives (including preserved),2563,0.2
2581,Ricebran Oil,Rice (Milled Equivalent),2805,0.14
2582,Maize Germ Oil,Maize and products,2514,0.45
2586,"Oilcrops Oil, Other","Oilcrops, Other",2570,0.35
2590,Soyabean Cake,Soyabeans,2555,0.79
2591,Groundnut Cake,Groundnuts (Shelled Eq),2556,0.54
2592,Sunflowerseed Cake,Sunflower seed,2557,0.47
2593,Rape and Mustard Cake,Rape and Mustardseed,2558,0.6
2594,Cottonseed Cake,Cottonseed,2559,0.51
2595,Palmkernel Cake,Palm kernels,2562,0.52
2596,Copra Cake,Coconuts - Incl Copra,2560,0.36
2597,Sesameseed Cake,Sesame seed,2561,0.51
2598,"Oilseed Cakes, Other",Maize and products,2514,0.52
2598,"Oilseed Cakes, Other","Oilcrops, Other",2570,0.63
2655,Wine,Grapes and products (excl wine),2620,0.7
2656,Beer,Barley and products,2513,4.7815
2661,Cotton lint,Seed cotton,328,0.35
2818,"Sugar, Refined Equiv",Sugar beet,2537,0.1309
2818,"Sugar, Refined Equiv",Sugar cane,2536,0.10285
