crop;item 
Alfalfa;Fodder crops
All Grassland (Scotland);Grazing
Almond;Nuts and products
Apple;Apples and products
Apple & Pear;Fruits, Other
Apple/Pear;Fruits, Other
Apples;Apples and products
Apricot;Fruits, Other
Arecanut;Nuts and products
Artichoke;Vegetables, Other
Asparagus;Vegetables, Other
Avocado;Fruits, Other
Azuhi bean;Beans
Banana;Bananas
Banana/Plantain;Bananas
Barley;Barley and products
Barley (Spring);Barley and products
Barley (Spring};Barley and products
Barley (Winter);Barley and products
Barley (spring);Barley and products
Barley (summer);Barley and products
Barley (winter);Barley and products
Barley/Summer;Barley and products
Barley/Winter;Barley and products
Bean;Beans
Bean (french);Beans
Bean (stockfeed);Beans
Bean/Dry;Beans
Bean/Edible;Beans
Bean/French;Beans
Bean/Fresh Snap;Beans
Bean/Lima;Beans
Bean/Snap Processed;Beans
Beans;Beans
Bell peppers;Vegetables, Other
Berries;Fruits, Other
Berry;Fruits, Other
Broadbean;Beans
Broccoli;Vegetables, Other
Brocoli;Vegetables, Other
Buckwheat & millet;Cereals, Other
Cabbage;Vegetables, Other
Cabbage (chinese);Vegetables, Other
Cabbage/Chinese;Vegetables, Other
Cabbage/Fresh;Vegetables, Other
Cabbage/Processed;Vegetables, Other
Cantaloupe;Fruits, Other
Cantaloupe & melons;Fruits, Other
Cantaloupe/Others;Fruits, Other
Canteloupe;Fruits, Other
Canteloupe/Other;Fruits, Other
Canteloupe/Others;Fruits, Other
Canteloupe/others;Fruits, Other
Caraota;Beans
Carrot;Vegetables, Other
Cash crop;NA
Cassava;Cassava and products
Castor bean;Beans
Castorbean;Beans
Cauliflower;Vegetables, Other
Celery;Vegetables, Other
Cereal/Others;Cereals, Other
Cereals;Cereals, Other
Cereals (Other);Cereals, Other
Cereals (Others);Cereals, Other
Cereals (incl. pulses);Cereals, Other
Cereals (other);Cereals, Other
Cereals mixture;Cereals, Other
Cereals/Others;Cereals, Other
Cherry;Fruits, Other
Cherry/Sweet;Fruits, Other
Cherry/Tart;Fruits, Other
Chick pea;Pulses, Other and products
Chickpea;Pulses, Other and products
Chickpeas;Pulses, Other and products
Chinese cabbage;Vegetables, Other
Citrus;Citrus, Other
Citrus (Other);Citrus, Other
Citrus Fruits;Citrus, Other
Citrus Fruits;Citrus, Other
Citrus fruit;Citrus, Other
Citrus fruits;Citrus, Other
Citrus fruits;Citrus, Other
Clover;Fodder crops
Clover &  Mixtures;Fodder crops
Clover seed;Fodder crops
Clover;Fodder crops
Clover/Seed;Fodder crops
Cocoa;Cocoa Beans and products
Coconut;Coconuts - Incl Copra
Coffee;Coffee and products
Coffee green;Coffee and products
Corn;Corn and products
Cotton;Cottonseed
Cotton;Cotton lint
Cotton lint;Cotton lint
Cotton seed;Cottonseed
Cotton/Seed;Cottonseed
Cottonseed;Cottonseed
Cow cabbage;Vegetables, Other
Cowpea;Pulses, Other and products
Cranberry;Cranberry and products
Crop/Cash;NA
Crops (other);NA
Crops/Others;NA
Cucumber;Vegetables, Other
Cucumber/Fresh;Vegetables, Other
Cucumber/Processed;Vegetables, Other
Date;Dates
Deciduous fruits;Fruits, Other
Dry bean;Beans
Dry beans;Beans
Dry onions;Onions
Edible beans;Beans
Eggplant;Vegetables, Other
Ensete;Bananas
Fallow;NA
Fertilized forests;NA
Fibre crops;Hard Fibres, Other
Fibre flax;Soft-Fibres, Other
Fibres;Hard Fibres, Other
Fibres;Hard Fibres, Other
Fibres;Hard Fibres, Other
Fibres;Hard Fibres, Other
Fibres;Hard Fibres, Other
Field vegetables;Vegetables, Other
Fig;Fruits, Other
Figs;Fruits, Other
Flax;NA
Flowers;NA
Fodder;Fodder crops
Fodder (beet);Fodder crops
Fodder (legume);Fodder crops
Fodder (legumes);Fodder crops
Fodder (other);Fodder crops
Fodder (others);Fodder crops
Fodder (pulses);Fodder crops
Fodder Crop;Fodder crops
Fodder Crop (Other);Fodder crops
Fodder beet;Fodder crops
Fodder crop;Fodder crops
Fodder crop (Non-irrig.);Fodder crops
Fodder crop (other);Fodder crops
Fodder crops;Fodder crops
Fodder inc. silage maize;Fodder crops
Fodder roots;Fodder crops
Fodder;Fodder crops
Fodder/Leguminous;Fodder crops
Fodder/Others;Fodder crops
Food crops (other);NA
Forage products nes;Fodder crops
Forestry;NA
French Bean;Beans
French bean;Beans
Fresh cabbage;Vegetables, Other
Fresh cucumbers;Vegetables, Other
Fresh snap beans;Beans
Fresh spinach;Vegetables, Other
Fresh tomatoes;Tomatoes and products
Fruit;Fruits, Other
Fruit and vegetables;Fruits, Other
Fruit gardens;Fruits, Other
Fruit primary and citrus fruits and treenuts;Fruits, Other
Fruit/Deciduous;Fruits, Other
Fruit/Sub-Tropical;Fruits, Other
Fruits;Fruits, Other
Fruits & vegetables;Fruits, Other
Fruits (Other);Fruits, Other
Fruits (Trop./Sub-Tr);Fruits, Other
Fruits (other);Fruits, Other
Fruits/Others;Fruits, Other
Fruits/Vegetables;Fruits, Other
Garlic;Vegetables, Other
Ginger;Roots, Other
Grain Maize;Maize and products
Grain Maize;Maize and products
Grain Sorghum;Maize and products
Grain maize;Maize and products
Grain maize (including CCM);Maize and products
Grain maize;Maize and products
Grain maize;Maize and products
Grain maize. incl. CCM;Maize and products
Gram;Gram and products
Grape;Grapes and products (excl wine)
Grapefruit;Fruits, Other
Grass;Grazing
Grass-seed;Grazing
Grass/Seed;Grazing
Grassland;Grazing
Grassland & Pasture;Grazing
Grassland (Intensive);Grazing
Grassland (Moderate);Grazing
Grassland (Other);Grazing
Grassland (fertilized);Grazing
Grassland (intensive);Grazing
Grassland and Pastures;Grazing
Grassland fertilized;Grazing
Grassland non-fertilized;Grazing
Grassland;Grazing
Grassland;Grazing
Grassland/Fertilized;Grazing
Grassland/Intensive;Grazing
Grassland/Pasture;Grazing
Grassland/Temporary;Grazing
Grasslands;Grazing
Grasslands & Pasture;Grazing
Grasslands & Pastures;Grazing
Grasslands & pastures;Grazing
Grasslands (Permanent);Grazing
Grasslands (Temporary);Grazing
Grasslands (temporary);Grazing
Grasslands fertilized;Grazing
Green Manure Crop;NA
Green beans;Beans
Green fodder;Fodder crops
Green forages;Fodder crops
Green manure crop;Fodder crops
Groundnut;Groundnuts
Hay;Fodder crops
Hazelnut;Nuts and products
Head lettuce;Vegetables, Other
Hemp/Tow;Hemp and products
Honeydew;Fruits, Other
Hop;Hops
Horticulture;NA
Jute;Jute
Jute/Kenaf;Jute
Kale;Vegetables, Other
 cow cabbage;Vegetables, Other
Kiwi;Fruits, Other
Kiwifruit;Fruits, Other
Leafy Vegetables;Vegetables, Other
Leguminous Fodder;Fodder crops
Leguminous fodder;Fodder crops
Leguminous;Fodder crops
Lemon;Lemons, Limes and products
Lemon & lime;Lemons, Limes and products
Lentil;Pulses, Other and products
Lentils;Pulses, Other and products
Lettuce;Vegetables, Other
Lettuce/Head;Vegetables, Other
Lettuce/Others;Vegetables, Other
Lima beans;Beans
Lime;Lemons, Limes and products
Linseed;Pulses, Other and products
Lucerne;Fodder crops
Lucerne (Alfalfa);Fodder crops
Maize;Maize and products
Maize & Corn;Maize and products
Maize & Grain;Maize and products
Maize (Green silage);Fodder crops
Maize (for corn);Maize and products
Maize (green silage);Fodder crops
Maize green;Maize and products
Maize&Sorghum;Sorghum and products
Maize&Sorghum;Maize and products
Maize green silage;Fodder crops
Maize/Fresh Sweet;Maize and products
Maize/Grain;Maize and products
Maize/Green Silage;Fodder crops
Maize/Sweet Processed;Maize and products
Mango;Fruits, Other
Meadows (for hay);Fodder crops
Melon;Fruits, Other
Millet;Millet and products
Millet/Pearl;Millet and products
Mixed grains;Cereals, Other
Mulberry;Fruits, Other
Mungbean;Pulses, Other and products
Mustard;Rape and Mustardseed
Native Wheat;Wheat and products
Nectarine;Fruits, Other
Nectarine & peach;Fruits, Other
Nectarines;Fruits, Other
Nuts;Nuts and products
Oat;Oats
Oat/Rye;Oats
Oat/Rye;Rye and products
Oats;Oats
Oats (Others);Oats
Oil Crops/Nuts;Oilcrops, Other
Oil Crops/Nuts;Nuts and products
Oil Palm;Oil, palm fruit
Oil crops;Oilcrops, Other
Oil crops & Nuts;Oilcrops, Other
Oil crops & Nuts;Nuts and products
Oil crops & nuts;Nuts and products
Oil crops & nuts;Oilcrops, Other
Oil crops (other);Oilcrops, Other
Oil palm;Oil, palm fruit
Oil-Palm;Oil, palm fruit
Oil-palm;Oil, palm fruit
Oils crops & Nuts;Oilcrops, Other
Oils crops & Nuts;Oilcrops, Other
Oilseed (rape);Rape and Mustardseed
Oilseed rape;Rape and Mustardseed
Oilseeds;NA
Oilseeds/Others;NA
Oilseeds/Pulses;Pulses, Other and products
Olive;Olives (including preserved)
Onion;Onions
Onion & shallots;Onions
Onion/Dry;Onions
Orange;Oranges, Mandarines
Orchards;Fruits, Other
Other;NA
Other (including Tobacco);NA
Other (including tobacco);NA
Other (tobacco);NA
Other cereals;Cereals, Other
Other crops;NA
Other export agricultural crops;NA
Other lettuce;Vegetables, Other
Other oil crops;NA
Other oil seed;NA
Others;NA
Others (fruits;Fruits, Other
Others (incl. tobacco);NA
Paddy;Rice and products
Papaya;Fruits, Other
Passionfruit;Fruits, Other
Pasture;Grazing
Pasture &  Fodder;Grazing
Pasture &  Fodder;Fodder crops
Pasture & Fodder;Fodder crops
Pasture & Fodder;Grazing
Pasture & Fodder (Other);Fodder crops
Pasture & Fodder (Other);Grazing
Pasture & fodder;Fodder crops
Pasture & fodder;Grazing
Pasture/Fodder;Grazing
Pasture/Fodder;Fodder crops
Pea;Peas
Pea, dry;Peas
Pea, green;Peas
Pea/Dry;Peas
Pea/Processed;Peas
Peach;Fruits, Other
Peach & Plum;Fruits, Other
Peach/Plum;Fruits, Other
Peaches;Fruits, Other
Peanut;Groundnuts
Peanuts;Groundnuts
Pear;Fruits, Other
Pears;Fruits, Other
Pepper;Vegetables, Other
Pepper & chili;Vegetables, Other
Pepper and chilli;Vegetables, Other
Pepper, green;Vegetables, Other
Pepper, red;Vegetables, Other
