crop;item
abaca;Abaca
agave;Fruits, Other
alfalfa;Fodder crops
almond;Nuts and products
aniseetc;Spices, Other
apple;Apples and products
apricot;Fruits, Other
areca; NA
artichoke;Vegetables, Other
asparagus;Vegetables, Other
avocado;Fruits, Other
bambara;Pulses, Other and products
banana;Bananas
barley;Barley and products
bean;Beans
beetfor;Fodder crops
berrynes;Fruits, Other
blueberry;Fruits, Other
brazil;Nuts and products
broadbean;Pulses, Other and products
buckwheat;Cereals, Other
cabbage;Vegetables, Other
cabbagefor;Fodder crops
canaryseed;Cereals, Other
carob;Fruits, Other
carrot;Vegetables, Other
carrotfor;Fodder crops
cashew;Nuts and products
cashewapple;Fruits, Other
cassava;Cassava and products
castor;Oilcrops, Other
cauliflower;Vegetables, Other
cerealnes;Cereals, Other
cherry;Fruits, Other
chestnut;Nuts and products
chickpea;Pulses, Other and products
chicory;Vegetables, Other
chilleetc;Vegetables, Other
cinnamon;Spices, Other
citrusnes;Citrus, Other
clove;Cloves
clover;Fodder crops
cocoa;Cocoa Beans and products
coconut;Coconuts - Incl Copra
coffee;Coffee and products
cotton;Seed cotton
cowpea;Pulses, Other and products
cranberry;Fruits, Other
cucumberetc;Vegetables, Other
currant;Fruits, Other
date;Dates
eggplant;Vegetables, Other
fibrenes;Hard Fibres, Other
fig;Fruits, Other
flax;Oilcrops, Other
fonio;Cereals, Other
fornes;Fodder crops
fruitnes;Fruits, Other
garlic;Vegetables, Other
ginger;Spices, Other
gooseberry;Fruits, Other
grape;Grapes and products (excl wine)
grapefruitetc;Grapefruit and products
grassnes;Grazing
greenbean;Vegetables, Other
greenbroadbean;Vegetables, Other
greencorn;Vegetables, Other
greenonion;Vegetables, Other
greenpea;Peas
groundnut;Groundnuts
hazelnut;Nuts and products
hemp;Soft-Fibres, Other
hempseed;Oilcrops, Other
hop;Hops
jute;Jute
jutelikefiber;Jute-Like Fibres
kapokfiber;Soft-Fibres, Other
kapokseed;Oilcrops, Other
karite;Oilcrops, Other
kiwi;Fruits, Other
kolanut;Nuts and products
legumenes;Pulses, Other and products
lemonlime;Lemons, Limes and products
lentil;Pulses, Other and products
lettuce;Vegetables, Other
linseed;Oilcrops, Other
lupin;Pulses, Other and products
maize;Maize and products
maizefor;Fodder crops
mango;Fruits, Other
mate;Tea (including mate)
melonetc;Fruits, Other
melonseed;Oilcrops, Other
millet;Millet and products
mixedgrain;Cereals, Other
mixedgrass;Grazing
mushroom;Vegetables, Other
mustard;Rape and Mustardseed
nutmeg;Spices, Other
nutnes;Nuts and products
oats;Oats
oilpalm;Oil, palm fruit
oilseedfor;Fodder crops
oilseednes;Oilcrops, Other
okra;Vegetables, Other
olive;Olives (including preserved)
onion;Onions
orange;Oranges, Mandarines
papaya;Fruits, Other
pea;Peas
peachetc;Fruits, Other
pear;Fruits, Other
pepper;Pepper
peppermint;Spices, Other
persimmon;Fruits, Other
pigeonpea;Pulses, Other and products
pimento;Pimento
pineapple;Pineapples and products
pistachio;Nuts and products
plantain;Plantains
plum;Fruits, Other
popcorn;Maize and products
poppy;Oilcrops, Other
potato;Potatoes and products
pulsenes;Pulses, Other and products
pumpkinetc;Vegetables, Other
pyrethrum;NA
quince;Fruits, Other
quinoa;Cereals, Other
ramie;Soft-Fibres, Other
rapeseed;Rape and Mustardseed
rasberry;Fruits, Other
rice;Rice and products
rootnes;Roots, Other
rubber;Rubber
rye;Rye and products
ryefor;Fodder crops
safflower;Oilcrops, Other
sesame;Sesame seed
sisal;Sisal
sorghum;Sorghum and products
sorghumfor;Fodder crops
sourcherry;Fruits, Other
soybean;Soyabeans
spicenes;Spices, Other
spinach;Vegetables, Other
stonefruitnes;Fruits, Other
strawberry;Fruits, Other
stringbean;Vegetables, Other
sugarbeet;Sugar beet
sugarcane;Sugar cane
sugarnes;Sweeteners, Other
sunflower;Sunflower seed
swedefor;Fodder crops
sweetpotato;Sweet potatoes
tangetc;Citrus, Other
taro;Roots, Other
tea;Tea (including mate)
tobacco;Tobacco
tomato;Tomatoes and products
triticale;Cereals, Other
tropicalnes;Fruits, Other
tung;Oilcrops, Other
turnipfor;Fodder crops
vanilla;Spices, Other
vegetablenes;Vegetables, Other
vegfor;Fodder crops
vetch;Fodder crops
walnut;Nuts and products
watermelon;Fruits, Other
wheat;Wheat and products
yam;Yams
yautia;Roots, Other
