btd_item_code,btd_item,cbs_item_code,cbs_item,tcf,isic
15,Wheat,2511,Wheat and products,1,A
16,Wheat and meslin flour,2511,Wheat and products,1,C
17,Bran of wheat,2511,Wheat and products,1,C
18,"Uncooked pasta, not stuffed or otherwise prepared",2511,Wheat and products,1,C
19,Germ of wheat,2511,Wheat and products,1,C
20,Bread,2511,Wheat and products,0.9085,C
21,Bulgur,2511,Wheat and products,0.95,C
22,Pastry,2511,Wheat and products,0.9085,C
23,Starch of wheat,2511,Wheat and products,1,C
24,Wheat gluten,2511,Wheat and products,1,C
26,Wheat-fermented beverages,2657,"Beverages, Fermented",1,C
27,Rice,2807,Rice and products,1,A
28,Husked rice,2807,Rice and products,0.77,C
29,"Rice, milled (husked)",2807,Rice and products,0.77,C
30,"Rice, paddy (rice milled equivalent)",2807,Rice and products,0.77,A
31,"Rice, milled",2807,Rice and products,0.77,C
32,"Rice, broken",2807,Rice and products,0.77,C
33,"Rice, gluten",2807,Rice and products,0.77,C
34,Starch of rice,2807,Rice and products,0.7315,C
35,Bran of rice,2807,Rice and products,0.7315,C
36,Oil of rice bran,2581,Ricebran Oil,1,C
37,Cake of rice bran,2598,"Oilseed Cakes, Other",1,C
38,Flour of rice,2807,Rice and products,0.7315,C
39,Rice-fermented beverages,2657,"Beverages, Fermented",1,C
41,Breakfast cereals,2511,Wheat and products,0.85,C
44,Barley,2513,Barley and products,1,A
45,Pot barley,2513,Barley and products,0.91,C
46,"Barley, pearled",2513,Barley and products,0.91,C
47,Bran of barley,2513,Barley and products,0.91,C
48,Barley flour and grits,2513,Barley and products,0.91,C
49,"Malt, whether or not roasted",2513,Barley and products,0.73,C
50,Malt extract,2513,Barley and products,0.584,C
51,"Beer of barley, malted",2656,Beer,1,C
56,Maize (corn),2514,Maize and products,1,A
57,Germ of maize,2514,Maize and products,0.99,C
58,Flour of maize,2514,Maize and products,0.99,C
59,Bran of maize,2514,Maize and products,1,C
60,Oil of maize,2582,Maize Germ Oil,1,C
61,Cake of maize,2598,"Oilseed Cakes, Other",1,C
63,Maize gluten,2514,Maize and products,0.8415,C
64,Starch of maize,2514,Maize and products,0.8415,C
66,"Beer of maize, malted",2656,Beer,1,C
71,Rye,2515,Rye and products,1,A
72,Flour of rye,2515,Rye and products,1,C
73,Bran of rye,2515,Rye and products,1,C
75,Oats,2516,Oats,1,A
76,"Oats, rolled",2516,Oats,0.73,C
77,Bran of oats,2516,Oats,1,C
79,Millet,2517,Millet and products,1,A
80,Flour of millet,2517,Millet and products,1,C
81,Bran of millet,2517,Millet and products,1,C
82,"Beer of millet, malted",2656,Beer,1,C
83,Sorghum,2518,Sorghum and products,1,A
84,Flour of sorghum,2518,Sorghum and products,1,C
85,Bran of sorghum,2518,Sorghum and products,1,C
86,"Beer of sorghum, malted",2656,Beer,1,C
89,Buckwheat,2520,"Cereals, Other",1,A
90,Flour of buckwheat,2520,"Cereals, Other",1,C
91,Bran of buckwheat,2520,"Cereals, Other",1,C
92,Quinoa,2520,"Cereals, Other",1,A
94,Fonio,2520,"Cereals, Other",1,A
95,Flour of fonio,2520,"Cereals, Other",1,C
96,Bran of fonio,2520,"Cereals, Other",1,C
97,Triticale,2520,"Cereals, Other",1,A
98,Flour of triticale,2520,"Cereals, Other",1,C
99,Bran of triticale,2520,"Cereals, Other",1,C
101,Canary seed,2520,"Cereals, Other",1,A
103,Mixed grain,2520,"Cereals, Other",1,A
104,Flour of mixed grain,2520,"Cereals, Other",1,C
105,Bran of mixed grain,2520,"Cereals, Other",1,C
108,Cereals n.e.c.,2520,"Cereals, Other",1,A
109,Infant food,2680,Infant food,1,C
110,"Communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",2511,Wheat and products,0.79,C
111,Flour of cereals n.e.c.,2520,"Cereals, Other",1,C
112,Bran of cereals n.e.c.,2520,"Cereals, Other",1,C
113,Cereal preparations,2520,"Cereals, Other",0.85,C
114,Mixes and doughs for the preparation of bakers' wares,2511,Wheat and products,0.85,C
115,"Food preparations of flour, meal or malt extract",2511,Wheat and products,0.85,C
116,Potatoes,2531,Potatoes and products,1,A
117,"Flour, meal, powder, flakes, granules and pellets of potatoes",2531,Potatoes and products,0.19,C
118,"Potatoes, frozen",2531,Potatoes and products,0.5,C
119,Starch of potatoes,2531,Potatoes and products,0.19,C
120,Potato offals,2531,Potatoes and products,0.5,C
121,Tapioca of potatoes,2531,Potatoes and products,0.2,C
122,Sweet potatoes,2533,Sweet potatoes,1,A
125,"Cassava, fresh",2532,Cassava and products,1,A
126,Flour of cassava,2532,Cassava and products,0.3,C
127,Tapioca of cassava,2532,Cassava and products,0.2,C
128,"Cassava, dry",2532,Cassava and products,0.33,A
129,Starch of cassava,2532,Cassava and products,0.23,C
135,Yautia,2534,"Roots, Other",1,A
136,Taro,2534,"Roots, Other",1,A
137,Yams,2535,Yams,1,A
149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2534,"Roots, Other",1,A
150,Flour of roots and tubers n.e.c.,2534,"Roots, Other",0.23,C
151,"Edible roots and tubers with high starch or inulin content, n.e.c., dry",2534,"Roots, Other",0.3,A
156,Sugar cane,2536,Sugar cane,1,A
157,Sugar beet,2537,Sugar beet,1,A
158,"Cane sugar, centrifugal",2542,Sugar (Raw Equivalent),1,C
160,"Refined cane or beet sugar, in solid form, containing added flavouring or colouring matter; maple sugar and maple syrup",2543,"Sweeteners, Other",1,C
161,Other sugar crops n.e.c.,2543,"Sweeteners, Other",1,A
162,Raw cane or beet sugar (centrifugal only),2542,Sugar (Raw Equivalent),1,C
163,"Cane sugar, non-centrifugal",2541,Sugar non-centrifugal,1,C
164,Refined sugar,2542,Sugar (Raw Equivalent),0.93,C
165,Molasses,2543,"Sweeteners, Other",1,C
166,Other fructose and syrup,2543,"Sweeteners, Other",1,C
167,Sugar and syrups n.e.c.,2543,"Sweeteners, Other",1,C
168,Sugar confectionery,2542,Sugar (Raw Equivalent),1.05,C
169,Beet pulp,2537,Sugar beet,1,C
170,Bagasse,2542,Sugar (Raw Equivalent),1,C
172,Glucose and dextrose,2543,"Sweeteners, Other",1,C
173,Lactose,2543,"Sweeteners, Other",1,C
175,Isoglucose,2543,"Sweeteners, Other",1,C
176,"Beans, dry",2546,Beans,1,A
181,"Broad beans and horse beans, dry",2549,"Pulses, Other and products",1,A
187,"Peas, dry",2547,Peas,1,A
191,"Chick peas, dry",2549,"Pulses, Other and products",1,A
195,"Cow peas, dry",2549,"Pulses, Other and products",1,A
197,"Pigeon peas, dry",2549,"Pulses, Other and products",1,A
201,"Lentils, dry",2549,"Pulses, Other and products",1,A
203,"Bambara beans, dry",2549,"Pulses, Other and products",1,A
205,Vetches,2549,"Pulses, Other and products",1,A
210,Lupins,2549,"Pulses, Other and products",1,A
211,Other pulses n.e.c.,2549,"Pulses, Other and products",1,A
212,Flour of pulses,2549,"Pulses, Other and products",0.95,C
213,Bran of pulses,2549,"Pulses, Other and products",0.95,C
216,"Brazil nuts, in shell",2551,Nuts and products,1,A
217,"Cashew nuts, in shell",2551,Nuts and products,1,A
220,"Chestnuts, in shell",2551,Nuts and products,1,A
221,"Almonds, in shell",2551,Nuts and products,1,A
222,"Walnuts, in shell",2551,Nuts and products,1,A
223,"Pistachios, in shell",2551,Nuts and products,1,A
224,Kola nuts,2551,Nuts and products,1,A
225,"Hazelnuts, in shell",2551,Nuts and products,1,A
226,Areca nuts,2551,Nuts and products,1,A
229,"Brazil nuts, shelled",2551,Nuts and products,0.44,C
230,"Cashew nuts, shelled",2551,Nuts and products,0.24,C
231,"Almonds, shelled",2551,Nuts and products,0.4,C
232,"Walnuts, shelled",2551,Nuts and products,0.424,C
233,"Hazelnuts, shelled",2551,Nuts and products,0.4,C
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2551,Nuts and products,1,A
235,Prepared nuts,2551,Nuts and products,0.82,C
236,Soya beans,2555,Soyabeans,1,A
237,Soya bean oil,2571,Soyabean Oil,1,C
238,Cake of  soya beans,2590,Soyabean Cake,1,C
239,Soya sauce,2555,Soyabeans,3.5,C
240,Soya paste,2555,Soyabeans,4.5,C
241,Soya curd,2555,Soyabeans,3.75,C
242,"Groundnuts, excluding shelled",2552,Groundnuts,1,A
243,"Groundnuts, shelled",2552,Groundnuts,0.7,C
244,Groundnut oil,2572,Groundnut Oil,1,C
245,Cake of groundnuts,2591,Groundnut Cake,1,C
246,Prepared groundnuts,2552,Groundnuts,0.693,C
247,Peanut butter,2552,Groundnuts,0.588,C
249,"Coconuts, in shell",2560,Coconuts - Incl Copra,1,A
250,"Coconuts, desiccated",2560,Coconuts - Incl Copra,0.5,C
251,Copra,2560,Coconuts - Incl Copra,1,C
252,Coconut oil,2578,Coconut Oil,1,C
253,Cake of copra,2596,Copra Cake,1,C
254,Oil palm fruit,254,"Oil, palm fruit",1,A
256,Palm kernels,2562,Palm kernels,1,A
257,Palm oil,2577,Palm Oil,1,C
258,Oil of palm kernel,2576,Palmkernel Oil,1,C
259,Cake of palm kernel,2595,Palmkernel Cake,1,C
260,Olives,2563,Olives (including preserved),1,A
261,Olive oil,2580,Olive Oil,1,C
262,Olives preserved,2563,Olives (including preserved),0.99,C
263,Karite nuts (sheanuts),2570,"Oilcrops, Other",1,A
264,Butter of karite nuts,2586,"Oilcrops Oil, Other",1,C
