Commodity,item_code
"Almonds, in shell",221
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",711
Apples,515
Apricots,526
Barley,44
Cantaloupes and other melons,568
Cattle meat,867
Figs,569
Grapes,560
Leather,919
Linseed,333
Maize (corn),56
Millet,79
Olives,260
"Onions and shallots, dry (excluding dehydrated)",403
Oranges,490
Other berries and fruits of the genus vaccinium n.e.c.,558
"Other citrus fruit, n.e.c.",512
"Other fruits, n.e.c.",619
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",234
Other pulses n.e.c.,211
"Other stimulant, spice and aromatic crops, n.e.c.",723
Other stone fruits,541
"Other vegetables, fresh n.e.c.",463
Peaches and nectarines,534
Pears,521
"Pistachios, in shell",223
Plums and sloes,536
Potatoes,116
Rice,27
"Seed cotton, unginned",328
Sesame seed,289
Sugar beet,157
Sugar cane,156
Sunflower seed,267
"Walnuts, in shell",222
Watermelons,567
Wheat,15
"Beans, dry",176
"Broad beans and horse beans, dry",181
"Broad beans and horse beans, green",420
Cabbages,358
Carrots and turnips,426
Cauliflowers and broccoli,393
Cherries,531
"Chestnuts, in shell",220
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",401
Cucumbers and gherkins,397
Dates,577
Eggplants (aubergines),399
Forest plantation (Unclassified),
Green garlic,406
Hop cones,677
Leeks and other alliaceous vegetables,407
Lemons and limes,497
Lettuce and chicory,372
Oats,75
Okra,430
"Onions and shallots, green",402
"Other beans, green",414
"Peas, green",417
"Pumpkins, squash and gourds",394
Quinces,523
Rye,71
Sour cherries,530
Soya beans,236
Spinach,373
Strawberries,544
"Tangerines, mandarins, clementines",495
Tomatoes,388
Unmanufactured tobacco,826
Vetches,205
Artichokes,366
Bananas,486
"Chick peas, dry",191
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",689
"Groundnuts, excluding shelled",242
"Lentils, dry",201
Locust beans (carobs),461
"Peas, dry",187
Pomelos and grapefruits,507
Rape or colza seed,270
Sorghum,83
Triticale,97
"Cashew nuts, in shell",217
"Cassava, fresh",125
Castor oil seeds,265
Cocoa beans,661
"Coffee, green",656
"Kenaf, and other textile bast fibres, raw or retted",782
Oil palm fruit,254
Pineapples,574
"Sisal, raw",789
Sweet potatoes,122
"Mangoes, guavas and mangosteens",571
"Other tropical fruits, n.e.c.",603
Taro,136
Yams,137
Asparagus,367
Avocados,572
Canary seed,101
Cereals n.e.c.,108
"Flax, processed but not spun",
Forest plantation (Pine),
Lupins,210
Maté leaves,671
"Other fibre crops, raw, n.e.c.",821
Papayas,600
"Peppermint, spearmint",748
Safflower seed,280
String beans,423
Tea leaves,667
Tung nuts,275
"Hazelnuts, in shell",225
Blueberries,552
Currants,550
Green corn (maize),446
Kiwi fruit,592
Persimmons,587
Raspberries,547
Gooseberries,549
Mixed grain,103
"Other oil seeds, n.e.c.",339
Poppy seed,296
"True hemp, raw or retted",777
Cranberries,554
"Coconuts, in shell",249
"Pigeon peas, dry",197
Plantains and cooking bananas,489
Areca nuts,226
"Ginger, raw",720
"Jute, raw or retted",780
Natural rubber in primary forms,836
Other sugar crops n.e.c.,161
Buckwheat,89
Chicory roots,459
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",149
Yautia,135
Fonio,94
Karite nuts (sheanuts),263
Kola nuts,224
"Pepper (Piper spp.), raw",687
Mustard seed,292
"Nutmeg, mace, cardamoms, raw",702
Quinoa,92
"Cow peas, dry",195
"Flax, raw or retted",771
Forest plantation (Birch),
Guavas,571
Mangoes,571
"Other tropical and subtropical fruits, n.e.c.",603
Palm nuts and kernels,256
"Pulses, n.e.c.",211
"Ramie, raw or retted",788
"Stimulant, spice and aromatic crops, n.e.c.",723
Tangerines and mandarins,495
Other pome fruits,542
"Bambara beans, dry",203
Forest plantation (Bamboo),
Melonseed,299
Forest plantation (Bluegum),
Forest plantation (Gum),
Forest plantation (Maple),
Hempseed,336
"Cinnamon and cinnamon-tree flowers, raw",693
"Cloves (whole stems), raw",698
Forest plantation (Broadleaf),
Forest plantation (Mix of needleleaf and broadleaf),
Forest plantation (Needleleaf),
Tallowtree seeds,305
"Vanilla, raw",692
"Agave fibres, raw, n.e.c.",800
"Abaca, manila hemp, raw",809
"Pyrethrum, dried flowers",754
Cashewapple,591
Forest plantation (Alder),
Forest plantation (Padauk),
Forest plantation (Sal),
Forest plantation (Teak),
Forest plantation (Fir),
Kapok fruit,310
Jojoba seeds,277
Cassava leaves,378
Forest plantation (Australian Blackwood),
