live_item_code,live_item,cbs_item_code,cbs_item
1107,Asses,1107,Asses
1126,Camels,1126,Camels
866,Cattle,866,Cattle
1057,Chickens,,
1016,Goats,1016,Goats
1096,Horses,1096,Horses
1110,Mules,1110,Mules
976,Sheep,976,Sheep
1746,Cattle and Buffaloes,,
2029,Poultry Birds,2029,Poultry Birds
1749,Sheep and Goats,,
1181,Beehives,,
946,Buffaloes,946,Buffaloes
1068,Ducks,,
1072,Geese and guinea fowls,,
1034,Pigs,1034,Pigs
1079,Turkeys,,
1140,Rabbits and hares,1140,Rabbits and hares
1157,"Camelids, other",1157,"Camelids, other"
1150,"Rodents, other",1150,"Rodents, other"
1171,Animals live nes,1171,Animals live nes
1083,"Pigeons, other birds",,
983,"Butter and ghee, sheep milk",,
886,"Butter, cow milk",,
1021,Cheese of goat mlk,,
984,"Cheese, sheep milk",,
888,"Milk, skimmed cow",,
1186,Silk raw,,
1811,Butter and Ghee,2740,"Butter, Ghee"
1745,Cheese (All Kinds),,
901,"Cheese, whole cow milk",,
904,"Cheese, skimmed cow milk",,
1043,Lard,,
885,Cream fresh,,
887,"Ghee, butteroil of cow milk",,
898,"Milk, skimmed dried",,
889,"Milk, whole condensed",,
897,"Milk, whole dried",,
894,"Milk, whole evaporated",,
1225,Tallow,,
900,"Whey, dry",,
1816,Evaporat&Condensed Milk,,
1809,"Skim Milk&Buttermilk,Dry",,
899,"Milk, dry buttermilk",,
896,"Milk, skimmed condensed",,
895,"Milk, skimmed evaporated",,
953,"Ghee, of buffalo milk",,
890,"Whey, condensed",,
891,Yoghurt,,
952,"Butter, buffalo milk",,
955,"Cheese, buffalo milk",,
1022,Butter of goat mlk,,
1062,"Eggs, hen, in shell",1062,"Eggs, hen, in shell"
1067,"Eggs, hen, in shell (number)",1067,"Eggs, hen, in shell (number)"
919,"Hides, cattle, fresh",919,"Hides, cattle, fresh"
1182,"Honey, natural",1182,"Honey, natural"
1137,"Meat indigenous, camel",1137,"Meat indigenous, camel"
944,"Meat indigenous, cattle",944,"Meat indigenous, cattle"
1094,"Meat indigenous, chicken",1094,"Meat indigenous, chicken"
1032,"Meat indigenous, goat",1032,"Meat indigenous, goat"
1012,"Meat indigenous, sheep",1012,"Meat indigenous, sheep"
1127,"Meat, camel",1127,"Meat, camel"
867,"Meat, cattle",867,"Meat, cattle"
1058,"Meat, chicken",1058,"Meat, chicken"
1163,"Meat, game",1163,"Meat, game"
1017,"Meat, goat",1017,"Meat, goat"
977,"Meat, sheep",977,"Meat, sheep"
1130,"Milk, whole fresh camel",1130,"Milk, whole fresh camel"
882,"Milk, whole fresh cow",882,"Milk, whole fresh cow"
1020,"Milk, whole fresh goat",1020,"Milk, whole fresh goat"
982,"Milk, whole fresh sheep",982,"Milk, whole fresh sheep"
1185,"Silk-worm cocoons, reelable",1185,"Silk-worm cocoons, reelable"
1025,"Skins, goat, fresh",1025,"Skins, goat, fresh"
995,"Skins, sheep, fresh",995,"Skins, sheep, fresh"
987,"Wool, greasy",987,"Wool, greasy"
1806,Beef and Buffalo Meat,1806,Beef and Buffalo Meat
1783,Eggs Primary,1783,Eggs Primary
1775,"Meat indigenous, poultry",1775,"Meat indigenous, poultry"
1770,"Meat indigenous, total",1770,"Meat indigenous, total"
1808,"Meat, Poultry",1808,"Meat, Poultry"
1765,"Meat, Total",1765,"Meat, Total"
1780,"Milk,Total",1780,"Milk,Total"
1807,Sheep and Goat Meat,1807,Sheep and Goat Meat
1091,"Eggs, other bird, in shell",1091,"Eggs, other bird, in shell"
1092,"Eggs, other bird, in shell (number)",1092,"Eggs, other bird, in shell (number)"
1055,"Meat indigenous, pig",1055,"Meat indigenous, pig"
1097,"Meat, horse",1097,"Meat, horse"
1166,"Meat, nes",1166,"Meat, nes"
1035,"Meat, pig",1035,"Meat, pig"
1080,"Meat, turkey",1080,"Meat, turkey"
951,"Milk, whole fresh buffalo",951,"Milk, whole fresh buffalo"
999,"Skins, sheep, with wool",999,"Skins, sheep, with wool"
1120,"Meat indigenous, horse",1120,"Meat indigenous, horse"
1144,"Meat indigenous, rabbit",1144,"Meat indigenous, rabbit"
1087,"Meat indigenous, turkey",1087,"Meat indigenous, turkey"
1141,"Meat, rabbit",1141,"Meat, rabbit"
1183,Beeswax,1183,Beeswax
1070,"Meat indigenous, duck",1070,"Meat indigenous, duck"
1077,"Meat indigenous, geese",1077,"Meat indigenous, geese"
1069,"Meat, duck",1069,"Meat, duck"
1073,"Meat, goose and guinea fowl",1073,"Meat, goose and guinea fowl"
957,"Hides, buffalo, fresh",957,"Hides, buffalo, fresh"
972,"Meat indigenous, buffalo",972,"Meat indigenous, buffalo"
947,"Meat, buffalo",947,"Meat, buffalo"
1161,"Meat indigenous, other camelids",1161,"Meat indigenous, other camelids"
1154,"Meat indigenous, rodents",1154,"Meat indigenous, rodents"
1158,"Meat, other camelids",1158,"Meat, other camelids"
1151,"Meat, other rodents",1151,"Meat, other rodents"
1122,"Meat indigenous, ass",1122,"Meat indigenous, ass"
1108,"Meat, ass",1108,"Meat, ass"
1089,"Meat, bird nes",1089,"Meat, bird nes"
1084,"Meat indigenous, bird nes",1084,"Meat indigenous, bird nes"
1124,"Meat indigenous, mule",1124,"Meat indigenous, mule"
1111,"Meat, mule",1111,"Meat, mule"
1167,"Offals, nes",1167,"Offals, nes"
1176,"Snails, not sea",1176,"Snails, not sea"
1100,"Hair, horse",1100,"Hair, horse"
