waste_group,sua_group
Cereals,cereals (excluding beer)
Cereals,fibre crops
Cereals,fodder crops
Cereals,other vegetal products
Roots & Tubers,starchy roots
Oilseeds & Pulses,oilcrops
Oilseeds & Pulses,pulses
Oilseeds & Pulses,vegetable oils
Fruits & Vegetables,fruits (excluding wine)
Fruits & Vegetables,vegetables
Meat,meat
Meat,offals
Meat,animal fats
Meat,hides and skins
Meat,live animals
Meat,other animal products
Fish & Seafood,aquatic products
Milk,milk (excluding butter)
,alcoholic beverages
,eggs
,spices
,stimulants
,sugar crops
,sweeteners
,treenuts
,grazing
