proc,proc_code,item,comm_code,avg,min,max
Wheat production,p001,Wheat,c001,1,1,1
Rice production,p002,Rice,c002,1,1,1
Barley production,p003,Barley,c003,1,1,1
Maize (corn) production,p004,Maize (corn),c004,1,1,1
Rye production,p005,Rye,c005,1,1,1
Oats production,p006,Oats,c006,1,1,1
Millet production,p007,Millet,c007,1,1,1
Sorghum production,p008,Sorghum,c008,1,1,1
Buckwheat production,p009,Buckwheat,c009,1,1,1
Quinoa production,p010,Quinoa,c010,1,1,1
Triticale production,p011,Triticale,c011,1,1,1
Mixed grain production,p012,Mixed grain,c012,1,1,1
Cereals n.e.c. production,p013,Cereals n.e.c.,c013,1,1,1
Fonio production,p014,Fonio,c014,1,1,1
Canary seed production,p015,Canary seed,c015,1,1,1
Potatoes production,p016,Potatoes,c016,1,1,1
Sweet potatoes production,p017,Sweet potatoes,c017,1,1,1
Cassava (fresh) production,p018,"Cassava, fresh",c018,1,1,1
Cassava (fresh) production,p018,Cassava leaves,c019,1,1,1
Yautia production,p019,Yautia,c020,1,1,1
Taro production,p020,Taro,c021,1,1,1
Locust beans (carobs) production,p021,Locust beans (carobs),c022,1,1,1
Yams production,p022,Yams,c023,1,1,1
Chicory roots production,p023,Chicory roots,c024,1,1,1
"Edible roots and tubers with high starch or inulin content (fresh) production, n.e.c.",p024,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",c025,1,1,1
Sugar beet production,p025,Sugar beet,c026,1,1,1
Sugar cane production,p026,Sugar cane,c027,1,1,1
"Sugar crops production, other",p027,Other sugar crops n.e.c.,c028,1,1,1
Cabbages production,p028,Cabbages,c029,1,1,1
Artichokes production,p029,Artichokes,c030,1,1,1
Asparagus production,p030,Asparagus,c031,1,1,1
Lettuce and chicory production,p031,Lettuce and chicory,c032,1,1,1
Spinach production,p032,Spinach,c033,1,1,1
Tomatoes production,p033,Tomatoes,c034,1,1,1
Cauliflowers and broccoli production,p034,Cauliflowers and broccoli,c035,1,1,1
"Pumpkins, squash and gourds production",p035,"Pumpkins, squash and gourds",c036,1,1,1
Cucumbers and gherkins production,p036,Cucumbers and gherkins,c037,1,1,1
Eggplants (aubergines) production,p037,Eggplants (aubergines),c038,1,1,1
Green chillies and peppers (Capsicum spp. and Pimenta spp.) production,p038,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",c039,1,1,1
Green onions and shallots production,p039,"Onions and shallots, green",c040,1,1,1
Dry onions and shallots (excluding dehydrated) production,p040,"Onions and shallots, dry (excluding dehydrated)",c041,1,1,1
Green garlic production,p041,Green garlic,c042,1,1,1
Leeks and other alliaceous vegetables production,p042,Leeks and other alliaceous vegetables,c043,1,1,1
"Green beans production, other",p043,"Other beans, green",c044,1,1,1
Green peas production,p044,"Peas, green",c045,1,1,1
Green broad beans and horse beans production,p045,"Broad beans and horse beans, green",c046,1,1,1
Carrots and turnips production,p046,Carrots and turnips,c047,1,1,1
Green corn (maize) production,p047,Green corn (maize),c048,1,1,1
Mushrooms and truffles production,p048,Mushrooms and truffles,c049,1,1,1
"Vegetables production (fresh), other",p049,"Other vegetables, fresh n.e.c.",c050,1,1,1
Watermelons production,p050,Watermelons,c051,1,1,1
Cantaloupes and other melons production,p051,Cantaloupes and other melons,c052,1,1,1
