Category;feed_name;feed_id;feed_dry_matter;item_code;source
Cereals;Wheat;F3;87;15;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Cereals;Maize (corn);F5;87,3;56;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Cereals;Rice;F7;89,2;27;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Cereals;Sorghum;F9;87,4;83;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Cereals;Barley;F11;87,1;44;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Cereals;Rye;F13;86,6;71;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Cereals;Oats;F15;87,9;75;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Cereals;Millet;F17;89,8;79;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Cereals;Triticale;F19;87,1;97;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Cereals;Buckwheat;F21;84,9;89;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Cereals;Fonio;F23;89,1;94;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Cereals;Quinoa;F24;88,2;92;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Cereals;Mixed grain;F27;87,6;103;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Cereals;Other cereals n.e.;F28;87,6;108;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Fruits and vegetables;Cabbages;F29;12,1;358;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Fruits and vegetables;Watermelons;F32;7,9;567;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
