"","com_1.1","item_code_1.1","item_1.1","com_1.2","item_code_1.2","item_1.2"
"1","c001",2805,"Rice (Milled Equivalent)","c001",2807,"Rice and products"
"2","c002",2511,"Wheat and products","c002",2511,"Wheat and products"
"3","c003",2513,"Barley and products","c003",2513,"Barley and products"
"4","c004",2514,"Maize and products","c004",2514,"Maize and products"
"5","c005",2515,"Rye and products","c005",2515,"Rye and products"
"6","c006",2516,"Oats","c006",2516,"Oats"
"7","c007",2517,"Millet and products","c007",2517,"Millet and products"
"8","c008",2518,"Sorghum and products","c008",2518,"Sorghum and products"
"9","c009",2520,"Cereals, Other","c009",2520,"Cereals, Other"
"10","c010",2531,"Potatoes and products","c010",2531,"Potatoes and products"
"11","c011",2532,"Cassava and products","c011",2532,"Cassava and products"
"12","c012",2533,"Sweet potatoes","c012",2533,"Sweet potatoes"
"13","c013",2534,"Roots, Other","c013",2534,"Roots, Other"
"14","c014",2535,"Yams","c014",2535,"Yams"
"15","c015",2536,"Sugar cane","c015",2536,"Sugar cane"
"16","c016",2537,"Sugar beet","c016",2537,"Sugar beet"
"17","c017",2546,"Beans","c017",2546,"Beans"
"18","c018",2547,"Peas","c018",2547,"Peas"
"19","c019",2549,"Pulses, Other and products","c019",2549,"Pulses, Other and products"
"20","c020",2551,"Nuts and products","c020",2551,"Nuts and products"
"21","c021",2555,"Soyabeans","c021",2555,"Soyabeans"
"22","c022",2556,"Groundnuts (Shelled Eq)","c022",2552,"Groundnuts"
"23","c023",2557,"Sunflower seed","c023",2557,"Sunflower seed"
"24","c024",2558,"Rape and Mustardseed","c024",2558,"Rape and Mustardseed"
"25","c025",328,"Seed cotton","c025",328,"Seed cotton"
"26","c026",2560,"Coconuts - Incl Copra","c026",2560,"Coconuts - Incl Copra"
"27","c027",2561,"Sesame seed","c027",2561,"Sesame seed"
"28","c028",254,"Oil, palm fruit","c028",254,"Oil, palm fruit"
"29","c029",2563,"Olives (including preserved)","c029",2563,"Olives (including preserved)"
"30","c030",2570,"Oilcrops, Other","c030",2570,"Oilcrops, Other"
"31","c031",2601,"Tomatoes and products","c031",2601,"Tomatoes and products"
"32","c032",2602,"Onions","c032",2602,"Onions"
"33","c033",2605,"Vegetables, Other","c033",2605,"Vegetables, Other"
"34","c034",2611,"Oranges, Mandarines","c034",2611,"Oranges, Mandarines"
"35","c035",2612,"Lemons, Limes and products","c035",2612,"Lemons, Limes and products"
"36","c036",2613,"Grapefruit and products","c036",2613,"Grapefruit and products"
"37","c037",2614,"Citrus, Other","c037",2614,"Citrus, Other"
"38","c038",2615,"Bananas","c038",2615,"Bananas"
"39","c039",2616,"Plantains","c039",2616,"Plantains"
"40","c040",2617,"Apples and products","c040",2617,"Apples and products"
"41","c041",2618,"Pineapples and products","c041",2618,"Pineapples and products"
"42","c042",2619,"Dates","c042",2619,"Dates"
"43","c043",2620,"Grapes and products (excl wine)","c043",2620,"Grapes and products (excl wine)"
"44","c044",2625,"Fruits, Other","c044",2625,"Fruits, Other"
"45","c045",2630,"Coffee and products","c045",2630,"Coffee and products"
"46","c046",2633,"Cocoa Beans and products","c046",2633,"Cocoa Beans and products"
"47","c047",2635,"Tea (including mate)","c047",2635,"Tea (including mate)"
"48","c048",677,"Hops","c048",677,"Hops"
"49","c049",2640,"Pepper","c049",2640,"Pepper"
"50","c050",2641,"Pimento","c050",2641,"Pimento"
"51","c051",2642,"Cloves","c051",2642,"Cloves"
"52","c052",2645,"Spices, Other","c052",2645,"Spices, Other"
"53","c053",2662,"Jute","c053",2662,"Jute"
"54","c054",2663,"Jute-Like Fibres","c054",2663,"Jute-Like Fibres"
"55","c055",2664,"Soft-Fibres, Other","c055",2664,"Soft-Fibres, Other"
"56","c056",2665,"Sisal","c056",2665,"Sisal"
"57","c057",2666,"Abaca","c057",2666,"Abaca"
"58","c058",2667,"Hard Fibres, Other","c058",2667,"Hard Fibres, Other"
"59","c059",2671,"Tobacco","c059",2671,"Tobacco"
"60","c060",2672,"Rubber","c060",2672,"Rubber"
"61","c061",2000,"Fodder crops","c061",2000,"Fodder crops"
"62","c062",2001,"Grazing","c062",2001,"Grazing"
"63","c063",2559,"Cottonseed","c063",2559,"Cottonseed"
"64","c064",2562,"Palm kernels","c064",2562,"Palm kernels"
"65","c065",2541,"Sugar non-centrifugal","c065",2541,"Sugar non-centrifugal"
"66","c066",2544,"Molasses",NA,NA,NA
"67","c067",2818,"Sugar, Refined Equiv","c066",2542,"Sugar (Raw Equivalent)"
"68","c068",2543,"Sweeteners, Other","c067",2543,"Sweeteners, Other"
"69","c069",2571,"Soyabean Oil","c068",2571,"Soyabean Oil"
"70","c070",2572,"Groundnut Oil","c069",2572,"Groundnut Oil"
"71","c071",2573,"Sunflowerseed Oil","c070",2573,"Sunflowerseed Oil"
"72","c072",2574,"Rape and Mustard Oil","c071",2574,"Rape and Mustard Oil"
"73","c073",2575,"Cottonseed Oil","c072",2575,"Cottonseed Oil"
"74","c074",2576,"Palmkernel Oil","c073",2576,"Palmkernel Oil"
"75","c075",2577,"Palm Oil","c074",2577,"Palm Oil"
"76","c076",2578,"Coconut Oil","c075",2578,"Coconut Oil"
"77","c077",2579,"Sesameseed Oil","c076",2579,"Sesameseed Oil"
