comm_code_1.1,item_code_1.1,item_1.1,comm_code_1.2,item_code_1.2,item_1.2
c001,2805,Rice (Milled Equivalent),c001,2807,Rice and products
c002,2511,Wheat and products,c002,2511,Wheat and products
c003,2513,Barley and products,c003,2513,Barley and products
c004,2514,Maize and products,c004,2514,Maize and products
c005,2515,Rye and products,c005,2515,Rye and products
c006,2516,Oats,c006,2516,Oats
c007,2517,Millet and products,c007,2517,Millet and products
c008,2518,Sorghum and products,c008,2518,Sorghum and products
c009,2520,"Cereals, Other",c009,2520,"Cereals, Other"
c010,2531,Potatoes and products,c010,2531,Potatoes and products
c011,2532,Cassava and products,c011,2532,Cassava and products
c012,2533,Sweet potatoes,c012,2533,Sweet potatoes
c013,2534,"Roots, Other",c013,2534,"Roots, Other"
c014,2535,Yams,c014,2535,Yams
c015,2536,Sugar cane,c015,2536,Sugar cane
c016,2537,Sugar beet,c016,2537,Sugar beet
c017,2546,Beans,c017,2546,Beans
c018,2547,Peas,c018,2547,Peas
c019,2549,"Pulses, Other and products",c019,2549,"Pulses, Other and products"
c020,2551,Nuts and products,c020,2551,Nuts and products
c021,2555,Soyabeans,c021,2555,Soyabeans
c022,2556,Groundnuts (Shelled Eq),c022,2552,Groundnuts
c023,2557,Sunflower seed,c023,2557,Sunflower seed
c024,2558,Rape and Mustardseed,c024,2558,Rape and Mustardseed
c025,328,Seed cotton,c025,328,Seed cotton
c026,2560,Coconuts - Incl Copra,c026,2560,Coconuts - Incl Copra
c027,2561,Sesame seed,c027,2561,Sesame seed
c028,254,"Oil, palm fruit",c028,254,"Oil, palm fruit"
c029,2563,Olives (including preserved),c029,2563,Olives (including preserved)
c030,2570,"Oilcrops, Other",c030,2570,"Oilcrops, Other"
c031,2601,Tomatoes and products,c031,2601,Tomatoes and products
c032,2602,Onions,c032,2602,Onions
c033,2605,"Vegetables, Other",c033,2605,"Vegetables, Other"
c034,2611,"Oranges, Mandarines",c034,2611,"Oranges, Mandarines"
c035,2612,"Lemons, Limes and products",c035,2612,"Lemons, Limes and products"
c036,2613,Grapefruit and products,c036,2613,Grapefruit and products
c037,2614,"Citrus, Other",c037,2614,"Citrus, Other"
c038,2615,Bananas,c038,2615,Bananas
c039,2616,Plantains,c039,2616,Plantains
c040,2617,Apples and products,c040,2617,Apples and products
c041,2618,Pineapples and products,c041,2618,Pineapples and products
c042,2619,Dates,c042,2619,Dates
c043,2620,Grapes and products (excl wine),c043,2620,Grapes and products (excl wine)
c044,2625,"Fruits, Other",c044,2625,"Fruits, Other"
c045,2630,Coffee and products,c045,2630,Coffee and products
c046,2633,Cocoa Beans and products,c046,2633,Cocoa Beans and products
c047,2635,Tea (including mate),c047,2635,Tea (including mate)
c048,677,Hops,c048,677,Hops
c049,2640,Pepper,c049,2640,Pepper
c050,2641,Pimento,c050,2641,Pimento
c051,2642,Cloves,c051,2642,Cloves
c052,2645,"Spices, Other",c052,2645,"Spices, Other"
c053,2662,Jute,c053,2662,Jute
c054,2663,Jute-Like Fibres,c054,2663,Jute-Like Fibres
c055,2664,"Soft-Fibres, Other",c055,2664,"Soft-Fibres, Other"
c056,2665,Sisal,c056,2665,Sisal
c057,2666,Abaca,c057,2666,Abaca
c058,2667,"Hard Fibres, Other",c058,2667,"Hard Fibres, Other"
c059,2671,Tobacco,c059,2671,Tobacco
c060,2672,Rubber,c060,2672,Rubber
c061,2000,Fodder crops,c061,2000,Fodder crops
c062,2001,Grazing,c062,2001,Grazing
c063,2559,Cottonseed,c063,2559,Cottonseed
c064,2562,Palm kernels,c064,2562,Palm kernels
c065,2541,Sugar non-centrifugal,c065,2541,Sugar non-centrifugal
c066,2544,Molasses,NA,NA,NA
c067,2818,"Sugar, Refined Equiv",c066,2542,Sugar (Raw Equivalent)
c068,2543,"Sweeteners, Other",c067,2543,"Sweeteners, Other"
c069,2571,Soyabean Oil,c068,2571,Soyabean Oil
c070,2572,Groundnut Oil,c069,2572,Groundnut Oil
c071,2573,Sunflowerseed Oil,c070,2573,Sunflowerseed Oil
c072,2574,Rape and Mustard Oil,c071,2574,Rape and Mustard Oil
c073,2575,Cottonseed Oil,c072,2575,Cottonseed Oil
c074,2576,Palmkernel Oil,c073,2576,Palmkernel Oil
c075,2577,Palm Oil,c074,2577,Palm Oil
c076,2578,Coconut Oil,c075,2578,Coconut Oil
c077,2579,Sesameseed Oil,c076,2579,Sesameseed Oil
c078,2580,Olive Oil,c077,2580,Olive Oil
c079,2581,Ricebran Oil,c078,2581,Ricebran Oil
c080,2582,Maize Germ Oil,c079,2582,Maize Germ Oil
c081,2586,"Oilcrops Oil, Other",c080,2586,"Oilcrops Oil, Other"
c082,2590,Soyabean Cake,c081,2590,Soyabean Cake
c083,2591,Groundnut Cake,c082,2591,Groundnut Cake
c084,2592,Sunflowerseed Cake,c083,2592,Sunflowerseed Cake
c085,2593,Rape and Mustard Cake,c084,2593,Rape and Mustard Cake
c086,2594,Cottonseed Cake,c085,2594,Cottonseed Cake
c087,2595,Palmkernel Cake,c086,2595,Palmkernel Cake
c088,2596,Copra Cake,c087,2596,Copra Cake
c089,2597,Sesameseed Cake,c088,2597,Sesameseed Cake
c090,2598,"Oilseed Cakes, Other",c089,2598,"Oilseed Cakes, Other"
c091,2655,Wine,c090,2655,Wine
c092,2656,Beer,c091,2656,Beer
c093,2657,"Beverages, Fermented",c092,2657,"Beverages, Fermented"
c094,2658,"Beverages, Alcoholic",c093,2658,"Beverages, Alcoholic"
c095,2659,"Alcohol, Non-Food",c094,2659,"Alcohol, Non-Food"
c096,2661,Cotton lint,c095,2661,Cotton lint
c097,866,Cattle,c096,866,Cattle
c098,946,Buffaloes,c097,946,Buffaloes
c099,976,Sheep,c098,976,Sheep
c100,1016,Goats,c099,1016,Goats
c101,1034,Pigs,c100,1034,Pigs
c102,2029,Poultry Birds,c101,2029,Poultry Birds
c103,1096,Horses,c102,1096,Horses
c104,1107,Asses,c103,1107,Asses
c105,1110,Mules,c104,1110,Mules
c106,1126,Camels,c105,1126,Camels
c107,1157,"Camelids, other",c106,1157,"Camelids, other"
c108,1140,Rabbits and hares,c107,1140,Rabbits and hares
c109,1150,"Rodents, other",c108,1150,"Rodents, other"
c110,2848,Milk - Excluding Butter,c109,2848,Milk - Excluding Butter
c111,2740,"Butter, Ghee",c110,2740,"Butter, Ghee"
c112,2744,Eggs,c111,2744,Eggs
c113,2746,Wool (Clean Eq.),c112,2746,Wool (Clean Eq.)
c114,2731,Bovine Meat,c113,2731,Bovine Meat
c115,2732,Mutton & Goat Meat,c114,2732,Mutton & Goat Meat
c116,2733,Pigmeat,c115,2733,Pigmeat
c117,2734,Poultry Meat,c116,2734,Poultry Meat
c118,2735,"Meat, Other",c117,2735,"Meat, Other"
c119,2736,"Offals, Edible",c118,2736,"Offals, Edible"
c120,2737,"Fats, Animals, Raw",c119,2737,"Fats, Animals, Raw"
c121,2748,Hides and skins,c120,2748,Hides and skins
c122,2749,Meat Meal,NA,NA,NA
c123,2745,Honey,c121,2745,Honey
c124,2747,Silk,c122,2747,Silk
c125,2960,"Fish, Seafood",c123,2960,"Fish, Seafood"
