fbs_code,fbs_name,fao_group_code,fao_group_name
2761,Freshwater Fish,1501,Freshwater and Diadromous Fish
2762,Demersal Fish,1514,Demersal Marine Fish
2763,Pelagic Fish,1527,Pelagic Marine Fish
2764,"Marine Fish, Other",1540,Marine Fish NEI
2765,Crustaceans,1553,Crustaceans
2766,Cephalopods,1570,Cephalopods
2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods
2769,"Aquatic Animals, Others",1587,Aquatic Animals NEI
2997,Fish nes,1997,Fish nes
2998,Aquatic invertebrates nes,1998,Aquatic invertebrates nes
2999,Seafood nes,1999,Seafood nes
