hs_code,hs_name,isscaap_code,isscaap_name,source,fbs_code,fbs_name,fao_group_code,fao_group_name,tcf
30191,"Trout, live",2,Diadromous fishes,baci,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1
30192,"Eels, live",2,Diadromous fishes,baci,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1
30193,"Carp, live",1,Freshwater fishes,baci,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1
30199,"Fish live, except trout, eel or carp",10,Fish nes,baci,2997,Fish nes,1997,Fish nes,1
30211,"Trout, fresh or chilled, whole",2,Diadromous fishes,baci,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.05
30212,"Salmon fresh or chilled, whole",2,Diadromous fishes,baci,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.14
30213,"Pacific salmons, fresh or chilled",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.14
30219,"Salmonidae, not trout or salmon, fresh or chilled, whole",2,Diadromous fishes,baci,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.14
30221,"Halibut, fresh or chilled, whole",3,Marine fishes,both,2762,Demersal Fish,1514,Demersal Marine Fish,1.16
30222,"Plaice, fresh or chilled, whole",3,Marine fishes,baci,2762,Demersal Fish,1514,Demersal Marine Fish,1.07
30223,"Sole, fresh or chilled, whole",3,Marine fishes,both,2762,Demersal Fish,1514,Demersal Marine Fish,1.04
30229,"Flatfish, not halibut/plaice/sole, fresh or chilled, whole",3,Marine fishes,both,2762,Demersal Fish,1514,Demersal Marine Fish,1.06
30231,"Tuna (albacore, longfin), fresh or chilled, whole",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.08
30232,"Tuna (yellowfin), fresh or chilled, whole",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.13
30233,"Skipjack, stripe-belly bonito, fresh or chilled, whole",3,Marine fishes,baci,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30234,"Bigeye tuna, fresh or chilled",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.15
30239,"Tuna nes, fresh or chilled, whole",3,Marine fishes,baci,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.15
30240,"Herring, fresh or chilled, whole",3,Marine fishes,baci,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30241,"Herring, fresh or chilled, whole",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30242,"Anchovies (Engraulis spp), fresh or chilled",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30243,"Sardines, fresh or chilled",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30244,"Chub mackerel, fresh or chilled",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30245,"Jack and horse mackerels, fresh or chilled",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30247,"Swordfish, fresh or chilled",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.1
30249,"Mackerels, Capelin, Marlins, Scads, Kawakawa, fresh or chilled",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30250,"Cod, fresh or chilled, whole",3,Marine fishes,baci,2762,Demersal Fish,1514,Demersal Marine Fish,1.31
30251,"Cod, fresh or chilled, whole",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.31
30254,"European hake, fresh or chilled",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.1
30255,"Alaska pollock, fresh or chilled",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.1
30261,"Sardines, brisling, sprats, fresh or chilled, whole",3,Marine fishes,baci,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30262,"Haddock, fresh or chilled, whole",3,Marine fishes,baci,2762,Demersal Fish,1514,Demersal Marine Fish,1.14
30263,"Coalfish, fresh or chilled, whole",3,Marine fishes,baci,2762,Demersal Fish,1514,Demersal Marine Fish,1.19
30264,"Mackerel, fresh or chilled, whole",3,Marine fishes,baci,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30265,"Dogfish and other sharks, fresh or chilled, whole",3,Marine fishes,baci,2764,"Marine Fish, Other",1540,Marine Fish NEI,1
30266,"Eels, fresh or chilled, whole",2,Diadromous fishes,baci,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1
30269,"Fish nes, fresh or chilled, whole",10,Fish nes,baci,2997,Fish nes,1997,Fish nes,1
30270,"Fish livers and roes, fresh or chilled",10,Fish nes,baci,2997,Fish nes,1997,Fish nes,1
30272,"Catfish, fresh or chilled",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1
30273,"Carps, fresh or chilled",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1
30281,"Sharks nei, fresh or chilled",3,Marine fishes,proc,2764,"Marine Fish, Other",1540,Marine Fish NEI,1
30289,"Freshwater fish, nei, fresh or chilled",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1
30291,"Fish livers, fresh or chilled",10,Fish nes,proc,2997,Fish nes,1997,Fish nes,1
30310,"Salmon, Pacific, frozen, whole",2,Diadromous fishes,baci,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.3
30311,"Sockeye salmon (red salmon)(Oncorhynchus nerka), frozen",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.3
30312,"Pacific salmons, frozen, nei",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.3
30313,"Atlantic salmon and Danube salmon, frozen",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.3
30314,"Trouts and chars, frozen",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.13
30319,"Whitefishes, frozen",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.13
30321,"Trout, frozen, whole",2,Diadromous fishes,baci,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.13
30322,"Salmon Atlantic or Danube, frozen, whole",2,Diadromous fishes,baci,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.3
30323,"Tilapias, frozen",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.13
30324,"Catfish, frozen",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.13
30325,"Carps, frozen",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.13
30326,"Eels, frozen",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.13
