proc_code,proc,comm_code,item_code,item
p001,Rice production,c001,2807,Rice and products
p002,Wheat production,c002,2511,Wheat and products
p003,Barley production,c003,2513,Barley and products
p004,Maize production,c004,2514,Maize and products
p005,Rye production,c005,2515,Rye and products
p006,Oat production,c006,2516,Oats
p007,Millet production,c007,2517,Millet and products
p008,Sorghum production,c008,2518,Sorghum and products
p009,"Cereals production, Other",c009,2520,"Cereals, Other"
p010,Potatoes  production,c010,2531,Potatoes and products
p011,Cassava production,c011,2532,Cassava and products
p012,Sweet potatoes production,c012,2533,Sweet potatoes
p013,"Roots production, Other",c013,2534,"Roots, Other"
p014,Yams production,c014,2535,Yams
p015,Sugar cane production,c015,2536,Sugar cane
p016,Sugar beet production,c016,2537,Sugar beet
p017,Beans production,c017,2546,Beans
p018,Peas production,c018,2547,Peas
p019,"Pulses  production, Other",c019,2549,"Pulses, Other and products"
p020,Nuts production,c020,2551,Nuts and products
p021,Soyabeans production,c021,2555,Soyabeans
p022,Groundnuts production,c022,2552,Groundnuts
p023,Sunflower seed production,c023,2557,Sunflower seed
p024,Rape and Mustardseed production,c024,2558,Rape and Mustardseed
p025,Seed cotton production,c025,328,Seed cotton
p026,Coconuts production,c026,2560,Coconuts - Incl Copra
p027,Sesame seed production,c027,2561,Sesame seed
p028,Oil palm fruit production,c028,254,"Oil, palm fruit"
p029,Olives production,c029,2563,Olives (including preserved)
p030,"Oilcrops production, Other",c030,2570,"Oilcrops, Other"
p031,Tomatoes production,c031,2601,Tomatoes and products
p032,Onions production,c032,2602,Onions
p033,"Vegetables production, Other",c033,2605,"Vegetables, Other"
p034,"Oranges, Mandarines production",c034,2611,"Oranges, Mandarines"
p035,"Lemons, Limes production",c035,2612,"Lemons, Limes and products"
p036,Grapefruit production,c036,2613,Grapefruit and products
p037,"Citrus production, Other",c037,2614,"Citrus, Other"
p038,Bananas production,c038,2615,Bananas
p039,Plantains production,c039,2616,Plantains
p040,Apples production,c040,2617,Apples and products
p041,Pineapples production,c041,2618,Pineapples and products
p042,Dates production,c042,2619,Dates
p043,Grapes production,c043,2620,Grapes and products (excl wine)
p044,"Fruits production, Other",c044,2625,"Fruits, Other"
p045,Coffee production,c045,2630,Coffee and products
p046,Cocoa Beans production,c046,2633,Cocoa Beans and products
p047,Tea production,c047,2635,Tea (including mate)
p048,Hops production,c048,677,Hops
p049,Pepper production,c049,2640,Pepper
p050,Pimento production,c050,2641,Pimento
p051,Cloves production,c051,2642,Cloves
p052,"Spices production, Other",c052,2645,"Spices, Other"
p053,Jute production,c053,2662,Jute
p054,Jute-Like Fibres production,c054,2663,Jute-Like Fibres
p055,"Soft-Fibres production, Other",c055,2664,"Soft-Fibres, Other"
p056,Sisal production,c056,2665,Sisal
p057,Abaca production,c057,2666,Abaca
p058,"Hard Fibres production, Other",c058,2667,"Hard Fibres, Other"
p059,Tobacco production,c059,2671,Tobacco
p060,Rubber production,c060,2672,Rubber
p061,Fodder crops production,c061,2000,Fodder crops
p062,Grazing production,c062,2001,Grazing
p063,Cotton production,c063,2559,Cottonseed
p063,Cotton production,c095,2661,Cotton lint
p064,"Sugar production, non-centrifugal",c065,2541,Sugar non-centrifugal
p065,Sugar production,c066,2542,Sugar (Raw Equivalent)
p066,"Sweeteners production, Other",c067,2543,"Sweeteners, Other"
p067,Soyabean Oil extraction,c068,2571,Soyabean Oil
p068,Groundnut Oil extraction,c069,2572,Groundnut Oil
p069,Sunflowerseed Oil extraction,c070,2573,Sunflowerseed Oil
p070,Rape and Mustard Oil extraction,c071,2574,Rape and Mustard Oil
p071,Cottonseed Oil extraction,c072,2575,Cottonseed Oil
p072,Palmkernel Oil extraction,c073,2576,Palmkernel Oil
p073,Palm Oil production,c064,2562,Palm kernels
p073,Palm Oil production,c074,2577,Palm Oil
p074,Coconut Oil extraction,c075,2578,Coconut Oil
p075,Sesameseed Oil extraction,c076,2579,Sesameseed Oil
p076,Olive Oil extraction,c077,2580,Olive Oil
p077,Ricebran Oil extraction,c078,2581,Ricebran Oil
p078,Maize Germ Oil extraction,c079,2582,Maize Germ Oil
p079,"Oilcrops Oil extraction, Other",c080,2586,"Oilcrops Oil, Other"
p067,Soyabean Oil extraction,c081,2590,Soyabean Cake
p068,Groundnut Oil extraction,c082,2591,Groundnut Cake
p069,Sunflowerseed Oil extraction,c083,2592,Sunflowerseed Cake
p070,Rape and Mustard Oil extraction,c084,2593,Rape and Mustard Cake
p071,Cottonseed Oil extraction,c085,2594,Cottonseed Cake
p072,Palmkernel Oil extraction,c086,2595,Palmkernel Cake
p074,Coconut Oil extraction,c087,2596,Copra Cake
p075,Sesameseed Oil extraction,c088,2597,Sesameseed Cake
p077,Ricebran Oil extraction,c089,2598,"Oilseed Cakes, Other"
p078,Maize Germ Oil extraction,c089,2598,"Oilseed Cakes, Other"
p079,"Oilcrops Oil extraction, Other",c089,2598,"Oilseed Cakes, Other"
p080,Wine production,c090,2655,Wine
p081,Beer production,c091,2656,Beer
p082,"Beverages production, Fermented",c092,2657,"Beverages, Fermented"
p083,"Beverages production, Alcoholic",c093,2658,"Beverages, Alcoholic"
p084,"Alcohol production, Non-Food",c094,2659,"Alcohol, Non-Food"
p085,Cattle husbandry,c096,866,Cattle
p086,Buffaloes husbandry,c097,946,Buffaloes
p087,Sheep husbandry,c098,976,Sheep
p088,Goats husbandry,c099,1016,Goats
p089,Pigs farming,c100,1034,Pigs
p090,Poultry Birds farming,c101,2029,Poultry Birds
p091,Horses husbandry,c102,1096,Horses
p092,Asses husbandry,c103,1107,Asses
p093,Mules husbandry,c104,1110,Mules
p094,Camels husbandry,c105,1126,Camels
p095,"Camelids husbandry, other",c106,1157,"Camelids, other"
p096,Rabbits husbandry,c107,1140,Rabbits and hares
p097,"Rodents husbandry, other",c108,1150,"Rodents, other"
p099,Dairy cattle husbandry,c109,2848,Milk - Excluding Butter
p100,Dairy buffaloes husbandry,c109,2848,Milk - Excluding Butter
p101,Dairy sheep husbandry,c109,2848,Milk - Excluding Butter
p102,Dairy goats husbandry,c109,2848,Milk - Excluding Butter
p103,Dairy camels husbandry,c109,2848,Milk - Excluding Butter
p121,Butter production,c110,2740,"Butter, Ghee"
p104,Cattle slaughtering,c113,2731,Bovine Meat
p105,Buffaloes slaughtering,c113,2731,Bovine Meat
p106,Sheep slaughtering,c114,2732,Mutton & Goat Meat
p107,Goat slaughtering,c114,2732,Mutton & Goat Meat
p106,Sheep slaughtering,c112,2746,Wool (Clean Eq.)
p108,Pigs slaughtering,c115,2733,Pigmeat
p109,Poultry slaughtering,c116,2734,Poultry Meat
p109,Poultry slaughtering,c111,2744,Eggs
p110,Horses slaughtering,c117,2735,"Meat, Other"
p111,Asses slaughtering,c117,2735,"Meat, Other"
p112,Mules slaughtering,c117,2735,"Meat, Other"
p113,Camels slaughtering,c117,2735,"Meat, Other"
p114,"Camelids slaughtering, other",c117,2735,"Meat, Other"
p115,Rabbits slaughtering,c117,2735,"Meat, Other"
p116,"Rodents slaughtering, other",c117,2735,"Meat, Other"
p104,Cattle slaughtering,c118,2736,"Offals, Edible"
p105,Buffaloes slaughtering,c118,2736,"Offals, Edible"
p106,Sheep slaughtering,c118,2736,"Offals, Edible"
p107,Goat slaughtering,c118,2736,"Offals, Edible"
p108,Pigs slaughtering,c118,2736,"Offals, Edible"
p109,Poultry slaughtering,c118,2736,"Offals, Edible"
p110,Horses slaughtering,c118,2736,"Offals, Edible"
p111,Asses slaughtering,c118,2736,"Offals, Edible"
p112,Mules slaughtering,c118,2736,"Offals, Edible"
p113,Camels slaughtering,c118,2736,"Offals, Edible"
p114,"Camelids slaughtering, other",c118,2736,"Offals, Edible"
p115,Rabbits slaughtering,c118,2736,"Offals, Edible"
p116,"Rodents slaughtering, other",c118,2736,"Offals, Edible"
p104,Cattle slaughtering,c119,2737,"Fats, Animals, Raw"
p105,Buffaloes slaughtering,c119,2737,"Fats, Animals, Raw"
p106,Sheep slaughtering,c119,2737,"Fats, Animals, Raw"
p107,Goat slaughtering,c119,2737,"Fats, Animals, Raw"
p108,Pigs slaughtering,c119,2737,"Fats, Animals, Raw"
p109,Poultry slaughtering,c119,2737,"Fats, Animals, Raw"
p110,Horses slaughtering,c119,2737,"Fats, Animals, Raw"
p111,Asses slaughtering,c119,2737,"Fats, Animals, Raw"
p112,Mules slaughtering,c119,2737,"Fats, Animals, Raw"
p113,Camels slaughtering,c119,2737,"Fats, Animals, Raw"
p114,"Camelids slaughtering, other",c119,2737,"Fats, Animals, Raw"
p115,Rabbits slaughtering,c119,2737,"Fats, Animals, Raw"
p116,"Rodents slaughtering, other",c119,2737,"Fats, Animals, Raw"
p104,Cattle slaughtering,c120,2748,Hides and skins
p105,Buffaloes slaughtering,c120,2748,Hides and skins
p106,Sheep slaughtering,c120,2748,Hides and skins
p107,Goat slaughtering,c120,2748,Hides and skins
p118,Beekeeping,c121,2745,Honey
p119,Silkworm breeding,c122,2747,Silk
p120,Fishing,c123,2960,"Fish, Seafood"
