proc_code,proc,comm_code,item_code,item,type
p001,Rice production,c001,2807,Rice and products,seedwaste
p002,Wheat production,c002,2511,Wheat and products,seedwaste
p003,Barley production,c003,2513,Barley and products,seedwaste
p004,Maize production,c004,2514,Maize and products,seedwaste
p005,Rye production,c005,2515,Rye and products,seedwaste
p006,Oat production,c006,2516,Oats,seedwaste
p007,Millet production,c007,2517,Millet and products,seedwaste
p008,Sorghum production,c008,2518,Sorghum and products,seedwaste
p009,"Cereals production, Other",c009,2520,"Cereals, Other",seedwaste
p010,Potatoes  production,c010,2531,Potatoes and products,seedwaste
p011,Cassava production,c011,2532,Cassava and products,seedwaste
p012,Sweet potatoes production,c012,2533,Sweet potatoes,seedwaste
p013,"Roots production, Other",c013,2534,"Roots, Other",seedwaste
p014,Yams production,c014,2535,Yams,seedwaste
p015,Sugar cane production,c015,2536,Sugar cane,seedwaste
p016,Sugar beet production,c016,2537,Sugar beet,seedwaste
p017,Beans production,c017,2546,Beans,seedwaste
p018,Peas production,c018,2547,Peas,seedwaste
p019,"Pulses  production, Other",c019,2549,"Pulses, Other and products",seedwaste
p020,Nuts production,c020,2551,Nuts and products,seedwaste
p021,Soyabeans production,c021,2555,Soyabeans,seedwaste
p022,Groundnuts production,c022,2552,Groundnuts,seedwaste
p023,Sunflower seed production,c023,2557,Sunflower seed,seedwaste
p024,Rape and Mustardseed production,c024,2558,Rape and Mustardseed,seedwaste
p025,Seed cotton production,c025,328,Seed cotton,seedwaste
p025,Seed cotton production,c063,2559,Cottonseed,seedwaste
p026,Coconuts production,c026,2560,Coconuts - Incl Copra,seedwaste
p027,Sesame seed production,c027,2561,Sesame seed,seedwaste
p028,Oil palm fruit production,c028,254,"Oil, palm fruit",seedwaste
p029,Olives production,c029,2563,Olives (including preserved),seedwaste
p030,"Oilcrops production, Other",c030,2570,"Oilcrops, Other",seedwaste
p031,Tomatoes production,c031,2601,Tomatoes and products,seedwaste
p032,Onions production,c032,2602,Onions,seedwaste
p033,"Vegetables production, Other",c033,2605,"Vegetables, Other",seedwaste
p034,"Oranges, Mandarines production",c034,2611,"Oranges, Mandarines",seedwaste
p035,"Lemons, Limes production",c035,2612,"Lemons, Limes and products",seedwaste
p036,Grapefruit production,c036,2613,Grapefruit and products,seedwaste
p037,"Citrus production, Other",c037,2614,"Citrus, Other",seedwaste
p038,Bananas production,c038,2615,Bananas,seedwaste
p039,Plantains production,c039,2616,Plantains,seedwaste
p040,Apples production,c040,2617,Apples and products,seedwaste
p041,Pineapples production,c041,2618,Pineapples and products,seedwaste
p042,Dates production,c042,2619,Dates,seedwaste
p043,Grapes production,c043,2620,Grapes and products (excl wine),seedwaste
p044,"Fruits production, Other",c044,2625,"Fruits, Other",seedwaste
p045,Coffee production,c045,2630,Coffee and products,seedwaste
p046,Cocoa Beans production,c046,2633,Cocoa Beans and products,seedwaste
p047,Tea production,c047,2635,Tea (including mate),seedwaste
p048,Hops production,c048,677,Hops,seedwaste
p049,Pepper production,c049,2640,Pepper,seedwaste
p050,Pimento production,c050,2641,Pimento,seedwaste
p051,Cloves production,c051,2642,Cloves,seedwaste
p052,"Spices production, Other",c052,2645,"Spices, Other",seedwaste
p053,Jute production,c053,2662,Jute,seedwaste
p054,Jute-Like Fibres production,c054,2663,Jute-Like Fibres,seedwaste
p055,"Soft-Fibres production, Other",c055,2664,"Soft-Fibres, Other",seedwaste
p056,Sisal production,c056,2665,Sisal,seedwaste
p057,Abaca production,c057,2666,Abaca,seedwaste
p058,"Hard Fibres production, Other",c058,2667,"Hard Fibres, Other",seedwaste
p059,Tobacco production,c059,2671,Tobacco,seedwaste
p060,Rubber production,c060,2672,Rubber,seedwaste
p061,Fodder crops production,c061,2000,Fodder crops,seedwaste
p062,Grazing production,c062,2001,Grazing,seedwaste
p063,Cotton production,c025,328,Seed cotton,100%
p063,Cotton production,c095,2661,Cotton lint,seedwaste
p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,TCF
p064,"Sugar production, non-centrifugal",c065,2541,Sugar non-centrifugal,seedwaste
p065,Sugar production,c015,2536,Sugar cane,TCF
p065,Sugar production,c016,2537,Sugar beet,TCF
p065,Sugar production,c066,2542,Sugar (Raw Equivalent),seedwaste
p066,"Sweeteners production, Other",c001,2807,Rice and products,optim
p066,"Sweeteners production, Other",c002,2511,Wheat and products,optim
p066,"Sweeteners production, Other",c003,2513,Barley and products,optim
p066,"Sweeteners production, Other",c004,2514,Maize and products,optim
p066,"Sweeteners production, Other",c010,2531,Potatoes and products,optim
p066,"Sweeteners production, Other",c011,2532,Cassava and products,optim
p066,"Sweeteners production, Other",c012,2533,Sweet potatoes,optim
p066,"Sweeteners production, Other",c067,2543,"Sweeteners, Other",seedwaste
p067,Soyabean Oil extraction,c021,2555,Soyabeans,100%
p067,Soyabean Oil extraction,c068,2571,Soyabean Oil,seedwaste
p067,Soyabean Oil extraction,c081,2590,Soyabean Cake,seedwaste
p068,Groundnut Oil extraction,c022,2552,Groundnuts,100%
p068,Groundnut Oil extraction,c069,2572,Groundnut Oil,seedwaste
p068,Groundnut Oil extraction,c082,2591,Groundnut Cake,seedwaste
p069,Sunflowerseed Oil extraction,c023,2557,Sunflower seed,100%
p069,Sunflowerseed Oil extraction,c070,2573,Sunflowerseed Oil,seedwaste
p069,Sunflowerseed Oil extraction,c083,2592,Sunflowerseed Cake,seedwaste
p070,Rape and Mustard Oil extraction,c024,2558,Rape and Mustardseed,100%
p070,Rape and Mustard Oil extraction,c071,2574,Rape and Mustard Oil,seedwaste
p070,Rape and Mustard Oil extraction,c084,2593,Rape and Mustard Cake,seedwaste
p071,Cottonseed Oil extraction,c063,2559,Cottonseed,100%
p071,Cottonseed Oil extraction,c072,2575,Cottonseed Oil,seedwaste
p071,Cottonseed Oil extraction,c085,2594,Cottonseed Cake,seedwaste
p072,Palmkernel Oil extraction,c064,2562,Palm kernels,100%
p072,Palmkernel Oil extraction,c073,2576,Palmkernel Oil,seedwaste
p072,Palmkernel Oil extraction,c086,2595,Palmkernel Cake,seedwaste
p073,Palm Oil production,c028,254,"Oil, palm fruit",100%
p073,Palm Oil production,c064,2562,Palm kernels,seedwaste
p073,Palm Oil production,c074,2577,Palm Oil,seedwaste
p074,Coconut Oil extraction,c026,2560,Coconuts - Incl Copra,100%
p074,Coconut Oil extraction,c075,2578,Coconut Oil,seedwaste
p074,Coconut Oil extraction,c087,2596,Copra Cake,seedwaste
p075,Sesameseed Oil extraction,c027,2561,Sesame seed,100%
p075,Sesameseed Oil extraction,c076,2579,Sesameseed Oil,seedwaste
p075,Sesameseed Oil extraction,c088,2597,Sesameseed Cake,seedwaste
p076,Olive Oil extraction,c029,2563,Olives (including preserved),100%
p076,Olive Oil extraction,c077,2580,Olive Oil,seedwaste
p077,Ricebran Oil extraction,c001,2807,Rice and products,TCF
p077,Ricebran Oil extraction,c078,2581,Ricebran Oil,seedwaste
p077,Ricebran Oil extraction,c089,2598,"Oilseed Cakes, Other",seedwaste
p078,Maize Germ Oil extraction,c004,2514,Maize and products,TCF
p078,Maize Germ Oil extraction,c079,2582,Maize Germ Oil,seedwaste
p078,Maize Germ Oil extraction,c089,2598,"Oilseed Cakes, Other",seedwaste
p079,"Oilcrops Oil extraction, Other",c030,2570,"Oilcrops, Other",100%
p079,"Oilcrops Oil extraction, Other",c080,2586,"Oilcrops Oil, Other",seedwaste
p079,"Oilcrops Oil extraction, Other",c089,2598,"Oilseed Cakes, Other",seedwaste
p080,Wine production,c043,2620,Grapes and products (excl wine),TCF
p080,Wine production,c090,2655,Wine,seedwaste
p081,Beer production,c001,2807,Rice and products,optim
p081,Beer production,c002,2511,Wheat and products,optim
p081,Beer production,c003,2513,Barley and products,optim
p081,Beer production,c004,2514,Maize and products,optim
p081,Beer production,c005,2515,Rye and products,optim
p081,Beer production,c007,2517,Millet and products,optim
p081,Beer production,c008,2518,Sorghum and products,optim
p081,Beer production,c009,2520,"Cereals, Other",optim
p081,Beer production,c048,677,Hops,100%
p081,Beer production,c091,2656,Beer,seedwaste
p082,"Beverages production, Fermented",c001,2807,Rice and products,optim
p082,"Beverages production, Fermented",c002,2511,Wheat and products,optim
p082,"Beverages production, Fermented",c004,2514,Maize and products,optim
p082,"Beverages production, Fermented",c005,2515,Rye and products,optim
p082,"Beverages production, Fermented",c007,2517,Millet and products,optim
p082,"Beverages production, Fermented",c008,2518,Sorghum and products,optim
p082,"Beverages production, Fermented",c009,2520,"Cereals, Other",optim
p082,"Beverages production, Fermented",c038,2615,Bananas,optim
p082,"Beverages production, Fermented",c039,2616,Plantains,optim
p082,"Beverages production, Fermented",c040,2617,Apples and products,optim
p082,"Beverages production, Fermented",c043,2620,Grapes and products (excl wine),optim
p082,"Beverages production, Fermented",c044,2625,"Fruits, Other",optim
p082,"Beverages production, Fermented",c092,2657,"Beverages, Fermented",seedwaste
p083,"Beverages production, Alcoholic",c001,2807,Rice and products,optim
p083,"Beverages production, Alcoholic",c002,2511,Wheat and products,optim
p083,"Beverages production, Alcoholic",c003,2513,Barley and products,optim
p083,"Beverages production, Alcoholic",c004,2514,Maize and products,optim
p083,"Beverages production, Alcoholic",c005,2515,Rye and products,optim
p083,"Beverages production, Alcoholic",c006,2516,Oats,optim
p083,"Beverages production, Alcoholic",c008,2518,Sorghum and products,optim
p083,"Beverages production, Alcoholic",c009,2520,"Cereals, Other",optim
p083,"Beverages production, Alcoholic",c010,2531,Potatoes and products,optim
