m49,country_name_en,country_name_es,country_name_fr,country_name_ar,country_name_zh,country_name_ru
-1,Abyei,,,,,
4,Afghanistan,Afganistán,Afghanistan,أفغانستان,阿富汗,Афганистан
-20,Akrotiri,,,,,
-2,Aksai Chin,,,,,
8,Albania,Albania,Albanie,ألبانيا,阿尔巴尼亚,Албания
12,Algeria,Argelia,Algérie,الجزائر,阿尔及利亚,Алжир
16,American Samoa,Samoa Americana,Samoa américaines,ساموا الأمريكيّة,美属萨摩亚,Американское Самоа
20,Andorra,Andorra,Andorre,أندورا,安道尔,Андорра
24,Angola,Angola,Angola,أنغولا,安哥拉,Ангола
660,Anguilla,Anguila,Anguilla,أنغويلا,安圭拉,Ангилья
10,Antarctica,Antártida,Antarctique,أنتارتيكا,南极洲,Антарктика
28,Antigua and Barbuda,Antigua y Barbuda,Antigua-et-Barbuda,أنتيغوا وبربودا,安提瓜和巴布达,Антигуа и Барбуда
32,Argentina,Argentina,Argentine,الأرجنتين,阿根廷,Аргентина
51,Armenia,Armenia,Arménie,أرمينيا,亚美尼亚,Армения
533,Aruba,Aruba,Aruba,أَروبا,阿鲁巴岛,Аруба
-3,Arunachal Pradesh,,,,,
36,Australia,Australia,Australie,أستراليا,澳大利亚,Австралия
40,Austria,Austria,Autriche,النمسا,奥地利,Австрия
31,Azerbaijan,Azerbaiyán,Azerbaïdjan,أذربيجان,阿塞拜疆,Азербайджан
44,Bahamas,Bahamas,Bahamas,جزر البهاما,巴哈马,Багамские Острова
48,Bahrain,Bahrein,Bahreïn,البحرين,巴林,Бахрейн
50,Bangladesh,Bangladesh,Bangladesh,بنغلاديش,孟加拉国,Бангладеш
52,Barbados,Barbados,Barbade,بربادوس,巴巴多斯,Барбадос
-4,Bassas da India,,,,,
112,Belarus,Belarús,Bélarus,بيلاروس,白俄罗斯,Беларусь
56,Belgium,Bélgica,Belgique,بلجيكا,比利时,Бельгия
-24,Belgium-Luxembourg,,,,,
84,Belize,Belice,Belize,بليز,伯利兹,Белиз
204,Benin,Benin,Bénin,بنن,贝宁,Бенин
60,Bermuda,Bermudas,Bermudes,برمودا,百慕大,Бермудские острова
64,Bhutan,Bhután,Bhoutan,بوتان,不丹,Бутан
-15,Bi'r Tawīl,,,,,
68,Bolivia (Plurinational State of),Bolivia (Estado Plurinacional de),Bolivie (État plurinational de),بوليفيا دولة) المتعددة (القوميات,玻利维亚（多民族国）,Боливия (Многонациональное Государство)
535,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius y Saba","Bonaire, Sint Eustatius et Saba",بونير وسان يوستاتيوس وسابا,博纳尔、圣俄斯塔休斯和萨巴,"Бонайре, Синт-Эстатиус и Саба"
70,Bosnia and Herzegovina,Bosnia y Herzegovina,Bosnie-Herzégovine,البوسنة والهرسك,波斯尼亚和黑塞哥维那,Босния и Герцеговина
72,Botswana,Botswana,Botswana,بوتسوانا,博茨瓦纳,Ботсвана
74,Bouvet Island,Isla Bouvet,Île Bouvet,جزر بوفيه,博维特岛,остров Буве
76,Brazil,Brasil,Brésil,البرازيل,巴西,Бразилия
