comm_code,item,year,food_share
c068,Soyabean Oil,2013,0.913385827
c069,Groundnut Oil,2013,1
c070,Sunflowerseed Oil,2013,0.84
c071,Rape and Mustard Oil,2013,1
c072,Cottonseed Oil,2013,1
c073,Palmkernel Oil,2013,0.783333333
c074,Palm Oil,2013,0.783333333
c075,Coconut Oil,2013,0.84
c076,Sesameseed Oil,2013,0.84
c077,Olive Oil,2013,0.84
c078,Ricebran Oil,2013,0.84
c079,Maize Germ Oil,2013,0.84
c080,"Oilcrops Oil, Other",2013,0.84
c068,Soyabean Oil,2014,0.911111111
c069,Groundnut Oil,2014,1
c070,Sunflowerseed Oil,2014,0.830188679
c071,Rape and Mustard Oil,2014,1
c072,Cottonseed Oil,2014,1
c073,Palmkernel Oil,2014,0.770491803
c074,Palm Oil,2014,0.770491803
c075,Coconut Oil,2014,0.830188679
c076,Sesameseed Oil,2014,0.830188679
c077,Olive Oil,2014,0.830188679
c078,Ricebran Oil,2014,0.830188679
c079,Maize Germ Oil,2014,0.830188679
c080,"Oilcrops Oil, Other",2014,0.830188679
c068,Soyabean Oil,2015,0.910344828
c069,Groundnut Oil,2015,1
c070,Sunflowerseed Oil,2015,0.827586207
c071,Rape and Mustard Oil,2015,1
c072,Cottonseed Oil,2015,1
c073,Palmkernel Oil,2015,0.736842105
c074,Palm Oil,2015,0.736842105
c075,Coconut Oil,2015,0.827586207
c076,Sesameseed Oil,2015,0.827586207
c077,Olive Oil,2015,0.827586207
c078,Ricebran Oil,2015,0.827586207
c079,Maize Germ Oil,2015,0.827586207
c080,"Oilcrops Oil, Other",2015,0.827586207
c068,Soyabean Oil,2016,0.903654485
c069,Groundnut Oil,2016,1
c070,Sunflowerseed Oil,2016,0.835913313
c071,Rape and Mustard Oil,2016,1
c072,Cottonseed Oil,2016,1
c073,Palmkernel Oil,2016,0.686868687
c074,Palm Oil,2016,0.686868687
c075,Coconut Oil,2016,0.835913313
c076,Sesameseed Oil,2016,0.835913313
c077,Olive Oil,2016,0.835913313
c078,Ricebran Oil,2016,0.835913313
c079,Maize Germ Oil,2016,0.835913313
c080,"Oilcrops Oil, Other",2016,0.835913313
c068,Soyabean Oil,2017,0.908011869
c069,Groundnut Oil,2017,1
c070,Sunflowerseed Oil,2017,0.828571429
c071,Rape and Mustard Oil,2017,1
c072,Cottonseed Oil,2017,1
c073,Palmkernel Oil,2017,0.673684211
c074,Palm Oil,2017,0.673684211
c075,Coconut Oil,2017,0.828571429
c076,Sesameseed Oil,2017,0.828571429
c077,Olive Oil,2017,0.828571429
c078,Ricebran Oil,2017,0.828571429
c079,Maize Germ Oil,2017,0.828571429
c080,"Oilcrops Oil, Other",2017,0.828571429
c068,Soyabean Oil,2018,0.90504451
c069,Groundnut Oil,2018,1
c070,Sunflowerseed Oil,2018,0.826446281
c071,Rape and Mustard Oil,2018,1
c072,Cottonseed Oil,2018,1
c073,Palmkernel Oil,2018,0.698113208
c074,Palm Oil,2018,0.698113208
c075,Coconut Oil,2018,0.826446281
c076,Sesameseed Oil,2018,0.826446281
c077,Olive Oil,2018,0.826446281
c078,Ricebran Oil,2018,0.826446281
c079,Maize Germ Oil,2018,0.826446281
c080,"Oilcrops Oil, Other",2018,0.826446281
c068,Soyabean Oil,2019,0.901639344
c069,Groundnut Oil,2019,1
c070,Sunflowerseed Oil,2019,0.833333333
c071,Rape and Mustard Oil,2019,1
c072,Cottonseed Oil,2019,1
c073,Palmkernel Oil,2019,0.641791045
c074,Palm Oil,2019,0.641791045
c075,Coconut Oil,2019,0.833333333
c076,Sesameseed Oil,2019,0.833333333
c077,Olive Oil,2019,0.833333333
c078,Ricebran Oil,2019,0.833333333
c079,Maize Germ Oil,2019,0.833333333
c080,"Oilcrops Oil, Other",2019,0.833333333
c068,Soyabean Oil,2020,0.862857143
c069,Groundnut Oil,2020,1
c070,Sunflowerseed Oil,2020,0.85620915
c071,Rape and Mustard Oil,2020,1
c072,Cottonseed Oil,2020,1
c073,Palmkernel Oil,2020,0.677891654
c074,Palm Oil,2020,0.677891654
c075,Coconut Oil,2020,0.85620915
c076,Sesameseed Oil,2020,0.85620915
c077,Olive Oil,2020,0.85620915
c078,Ricebran Oil,2020,0.85620915
c079,Maize Germ Oil,2020,0.85620915
c080,"Oilcrops Oil, Other",2020,0.85620915
