iso3c,area_code,area,continent,region,EU27
ARM,1,Armenia,ASI,Former USSR,FALSE
AFG,2,Afghanistan,ASI,South Asia,FALSE
ALB,3,Albania,EUR,Eastern Europe,FALSE
DZA,4,Algeria,AFR,Northern Africa,FALSE
AGO,7,Angola,AFR,Southern Africa,FALSE
ATG,8,Antigua and Barbuda,LAM,Central America,FALSE
ARG,9,Argentina,LAM,South America,FALSE
AUS,10,Australia,OCE,Oceania,FALSE
AUT,11,Austria,EU,OECD Europe,TRUE
BHS,12,Bahamas,LAM,Central America,FALSE
BHR,13,Bahrain,ASI,Middle East,FALSE
BRB,14,Barbados,LAM,Central America,FALSE
BLX,15,Belgium-Luxembourg,EU,OECD Europe,TRUE
BGD,16,Bangladesh,ASI,South Asia,FALSE
BOL,19,Bolivia (Plurinational State of),LAM,South America,FALSE
BWA,20,Botswana,AFR,Southern Africa,FALSE
BRA,21,Brazil,LAM,South America,FALSE
BLZ,23,Belize,LAM,Central America,FALSE
SLB,25,Solomon Islands,OCE,Oceania,FALSE
BRN,26,Brunei Darussalam,ASI,South East Asia,FALSE
BGR,27,Bulgaria,EU,Eastern Europe,TRUE
MMR,28,Myanmar,ASI,South East Asia,FALSE
BDI,29,Burundi,AFR,Eastern Africa,FALSE
CMR,32,Cameroon,AFR,Western Africa,FALSE
CAN,33,Canada,NAM,Canada,FALSE
CPV,35,Cabo Verde,AFR,Western Africa,FALSE
CAF,37,Central African Republic,AFR,Western Africa,FALSE
LKA,38,Sri Lanka,ASI,South Asia,FALSE
TCD,39,Chad,AFR,Western Africa,FALSE
CHL,40,Chile,LAM,South America,FALSE
CHN,41,"China, mainland",ASI,East Asia,FALSE
COL,44,Colombia,LAM,South America,FALSE
COG,46,Congo,AFR,Western Africa,FALSE
CRI,48,Costa Rica,LAM,Central America,FALSE
CUB,49,Cuba,LAM,Central America,FALSE
CYP,50,Cyprus,EU,Middle East,TRUE
CSK,51,Czechoslovakia,EU,OECD Europe,FALSE
AZE,52,Azerbaijan,ASI,Former USSR,FALSE
BEN,53,Benin,AFR,Western Africa,FALSE
DNK,54,Denmark,EU,OECD Europe,TRUE
DMA,55,Dominica,LAM,Central America,FALSE
DOM,56,Dominican Republic,LAM,Central America,FALSE
BLR,57,Belarus,EUR,Former USSR,FALSE
ECU,58,Ecuador,LAM,South America,FALSE
EGY,59,Egypt,AFR,Northern Africa,FALSE
SLV,60,El Salvador,LAM,Central America,FALSE
EST,63,Estonia,EU,Former USSR,TRUE
FJI,66,Fiji,OCE,Oceania,FALSE
FIN,67,Finland,EU,OECD Europe,TRUE
FRA,68,France,EU,OECD Europe,TRUE
PYF,70,French Polynesia,OCE,Oceania,FALSE
DJI,72,Djibouti,AFR,Eastern Africa,FALSE
GEO,73,Georgia,ASI,Former USSR,FALSE
GAB,74,Gabon,AFR,Western Africa,FALSE
GMB,75,Gambia,AFR,Western Africa,FALSE
DEU,79,Germany,EU,OECD Europe,TRUE
BIH,80,Bosnia and Herzegovina,EUR,Eastern Europe,FALSE
GHA,81,Ghana,AFR,Western Africa,FALSE
KIR,83,Kiribati,OCE,Oceania,FALSE
GRC,84,Greece,EU,OECD Europe,TRUE
GRD,86,Grenada,LAM,Central America,FALSE
GTM,89,Guatemala,LAM,Central America,FALSE
GIN,90,Guinea,AFR,Western Africa,FALSE
GUY,91,Guyana,LAM,South America,FALSE
HTI,93,Haiti,LAM,Central America,FALSE
HND,95,Honduras,LAM,Central America,FALSE
HKG,96,"China, Hong Kong SAR",ASI,East Asia,FALSE
HUN,97,Hungary,EU,Eastern Europe,TRUE
HRV,98,Croatia,EU,Eastern Europe,TRUE
ISL,99,Iceland,EUR,OECD Europe,FALSE
IND,100,India,ASI,South Asia,FALSE
