area_code,area,iso3c,continent
1,Armenia,ARM,ASI
2,Afghanistan,AFG,ASI
3,Albania,ALB,EUR
4,Algeria,DZA,AFR
7,Angola,AGO,AFR
8,Antigua and Barbuda,ATG,LAM
9,Argentina,ARG,LAM
10,Australia,AUS,OCE
11,Austria,AUT,EU
12,Bahamas,BHS,LAM
13,Bahrain,BHR,ASI
14,Barbados,BRB,LAM
15,Belgium-Luxembourg,BLX,EU
16,Bangladesh,BGD,ASI
19,Bolivia (Plurinational State of),BOL,LAM
20,Botswana,BWA,AFR
21,Brazil,BRA,LAM
23,Belize,BLZ,LAM
25,Solomon Islands,SLB,OCE
26,Brunei Darussalam,BRN,ASI
27,Bulgaria,BGR,EU
28,Myanmar,MMR,ASI
29,Burundi,BDI,AFR
32,Cameroon,CMR,AFR
33,Canada,CAN,NAM
35,Cabo Verde,CPV,AFR
37,Central African Republic,CAF,AFR
38,Sri Lanka,LKA,ASI
39,Chad,TCD,AFR
40,Chile,CHL,LAM
41,"China, mainland",CHN,ASI
44,Colombia,COL,LAM
46,Congo,COG,AFR
48,Costa Rica,CRI,LAM
49,Cuba,CUB,LAM
50,Cyprus,CYP,EU
51,Czechoslovakia,CSK,EU
52,Azerbaijan,AZE,ASI
53,Benin,BEN,AFR
54,Denmark,DNK,EU
55,Dominica,DMA,LAM
56,Dominican Republic,DOM,LAM
57,Belarus,BLR,EUR
58,Ecuador,ECU,LAM
59,Egypt,EGY,AFR
60,El Salvador,SLV,LAM
63,Estonia,EST,EU
66,Fiji,FJI,OCE
67,Finland,FIN,EU
68,France,FRA,EU
70,French Polynesia,PYF,OCE
72,Djibouti,DJI,AFR
73,Georgia,GEO,ASI
74,Gabon,GAB,AFR
75,Gambia,GMB,AFR
79,Germany,DEU,EU
80,Bosnia and Herzegovina,BIH,EUR
81,Ghana,GHA,AFR
83,Kiribati,KIR,OCE
84,Greece,GRC,EU
86,Grenada,GRD,LAM
89,Guatemala,GTM,LAM
90,Guinea,GIN,AFR
91,Guyana,GUY,LAM
93,Haiti,HTI,LAM
95,Honduras,HND,LAM
96,"China, Hong Kong SAR",HKG,ASI
97,Hungary,HUN,EU
98,Croatia,HRV,EU
99,Iceland,ISL,EUR
100,India,IND,ASI
101,Indonesia,IDN,ASI
102,Iran 8Islamic Republic of),IRN,ASI
103,Iraq,IRQ,ASI
104,Ireland,IRL,EU
105,Israel,ISR,ASI
106,Italy,ITA,EU
107,Côte d’Ivoire,CIV,AFR
108,Kazakhstan,KAZ,ASI
109,Jamaica,JAM,LAM
110,Japan,JPN,ASI
112,Jordan,JOR,ASI
113,Kyrgyzstan,KGZ,ASI
114,Kenya,KEN,AFR
115,Cambodia,KHM,ASI
116,Democratic People’s Republic of Korea,PRK,ASI
117,Republic of Korea,KOR,ASI
118,Kuwait,KWT,ASI
