parent,parent_code,proc,proc_code,child,child_code,extraction_rate,min,max
Husked rice,c236,Milled rice production,p218,Bran of rice,c242,0.09,0.08,0.15
Rice,c002,Rice (milled and husked) production,p217,Bran of rice,c242,0.08,0.06,0.33
Raw milk of cattle,c182,Cheese from skimmed cow milk production,p398,"Whey, fresh",c456,0.76,0.4,0.9
Raw milk of cattle,c182,"Cheese from milk of sheep, fresh or processed production",p399,"Whey, fresh",c456,0.76,0.4,0.9
Raw milk of cattle,c182,"Cheese from milk of goats, fresh or processed production",p400,"Whey, fresh",c456,0.76,0.4,0.9
Raw milk of goats,c185,Cheese from skimmed cow milk production,p398,"Whey, fresh",c456,0.8,0.4,0.86
Raw milk of goats,c185,Cheese from whole cow milk production,p397,"Whey, fresh",c456,0.8,0.4,0.86
Raw milk of goats,c185,"Cheese from milk of sheep, fresh or processed production",p399,"Whey, fresh",c456,0.8,0.4,0.86
Raw milk of sheep,c184,Cheese from skimmed cow milk production,p398,"Whey, fresh",c456,0.78,0.6,0.85
Raw milk of sheep,c184,Cheese from whole cow milk production,p397,"Whey, fresh",c456,0.78,0.6,0.85
Raw milk of sheep,c184,"Cheese from milk of goats, fresh or processed production",p400,"Whey, fresh",c456,0.78,0.6,0.85
Skim milk of cows,c442,Cheese from whole cow milk production,p397,"Whey, fresh",c456,0.76,0.4,0.87
Skim milk of cows,c442,"Cheese from milk of sheep, fresh or processed production",p399,"Whey, fresh",c456,0.76,0.4,0.87
Skim milk of cows,c442,"Cheese from milk of goats, fresh or processed production",p400,"Whey, fresh",c456,0.76,0.4,0.87
Skim sheep milk,c469,Cheese from skimmed cow milk production,p398,"Whey, fresh",c456,0.4,0.4,0.4
Skim sheep milk,c469,Cheese from whole cow milk production,p397,"Whey, fresh",c456,0.4,0.4,0.4
Skim sheep milk,c469,"Cheese from milk of goats, fresh or processed production",p400,"Whey, fresh",c456,0.4,0.4,0.4
Sugar beet,c027,Centrifugal cane sugar production,p255,Molasses,c298,0.04,0.02,0.05
