country_tcf,item_tcf,item_group,item_type,processed,variable,value,unit
algerie,wheat,cereals,crops and derived products,primary,seeding rates,73,kg/ha
algerie,"rice, paddy",cereals,crops and derived products,primary,seeding rates,130,kg/ha
algerie,barley,cereals,crops and derived products,primary,seeding rates,71,kg/ha
algerie,maize,cereals,crops and derived products,primary,seeding rates,,kg/ha
algerie,rye,cereals,crops and derived products,primary,seeding rates,,kg/ha
algerie,oats,cereals,crops and derived products,primary,seeding rates,100,kg/ha
algerie,potatoes,roots and tubers,crops and derived products,primary,seeding rates,1069,kg/ha
algerie,"beans, dry",pulses,crops and derived products,primary,seeding rates,,kg/ha
algerie,"broad beans, dry",pulses,crops and derived products,primary,seeding rates,,kg/ha
algerie,"peas, dry",pulses,crops and derived products,primary,seeding rates,,kg/ha
algerie,chick-peas,pulses,crops and derived products,primary,seeding rates,50,kg/ha
algerie,lentils,pulses,crops and derived products,primary,seeding rates,,kg/ha
algerie,vetches,pulses,crops and derived products,primary,seeding rates,,kg/ha
algerie,sunflower seed,oil-bearing crops,crops and derived products,primary,seeding rates,20,kg/ha
algerie,rapeseed,oil-bearing crops,crops and derived products,primary,seeding rates,,kg/ha
algerie,safflower seed,oil-bearing crops,crops and derived products,primary,seeding rates,,kg/ha
algerie,cottonseed,oil-bearing crops,crops and derived products,primary,seeding rates,60,kg/ha
algerie,cabbages,vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,artichokes,vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,tomatoes,vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,cauliflower,vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,"pumpkins, squash, gourds",vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,cucumbers and gherkins,vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,eggplants,vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,"chillies+peppers, green",vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,"onions, dry",vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,garlic,vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,"broad beans, green",vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,"peas, green",vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,"beans, green",vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,carrots,vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,vegetables fresh nes,vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,watermelons,vegetables and melons,crops and derived products,primary,seeding rates,,kg/ha
algerie,bananas,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,oranges,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,tang.mand.clement.satsma,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,lemons and limes,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,grapefruit and pomelo,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,apples,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,pears,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,apricots,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,cherries,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,peaches and nectarines,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,plums,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,grapes,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,grapes,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,figs,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,pineapples,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,dates,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,fruit fresh nes,fruits and berries,crops and derived products,primary,seeding rates,,plants/ha
algerie,cattle,meat,livestock products,primary,live weight,319,kg/an
algerie,sheep,meat,livestock products,primary,live weight,32,kg/an
algerie,goats,meat,livestock products,primary,live weight,20,kg/an
algerie,pigs,meat,livestock products,primary,live weight,60,kg/an
algerie,chickens,meat,livestock products,primary,live weight,1.3,kg/an
algerie,turkeys,meat,livestock products,primary,live weight,6.7,kg/an
algerie,horses,meat,livestock products,primary,live weight,259,kg/an
algerie,camels,meat,livestock products,primary,live weight,459,kg/an
algerie,rabbits,meat,livestock products,primary,live weight,1.6,kg/an
algerie,"offals of cattle, edible",edible offals,livestock products,primary,yield,25,kg/an
algerie,"offals of sheep, edible",edible offals,livestock products,primary,yield,2,kg/an
algerie,"offals of goats, edible",edible offals,livestock products,primary,yield,2,kg/an
algerie,"offals of pigs, edible",edible offals,livestock products,primary,yield,4,kg/an
algerie,"offals of camel, edible",edible offals,livestock products,primary,yield,25,kg/an
algerie,fat of cattle,slaughter fats,livestock products,primary,yield,,kg/an
algerie,fat of sheep,slaughter fats,livestock products,primary,yield,,kg/an
algerie,fat of goats,slaughter fats,livestock products,primary,yield,,kg/an
algerie,fat of pigs,slaughter fats,livestock products,primary,yield,8,kg/an
algerie,fat of camels,slaughter fats,livestock products,primary,yield,5,kg/an
algerie,"cattle hides, fresh",hides and skins,livestock products,primary,yield,20,kg/an
algerie,"sheepskins, fresh",hides and skins,livestock products,primary,yield,,kg/an
