parent,parent_code,proc,proc_code,child,child_code,extraction_rate,min,max
Wheat,c001,Breakfast cereals production,p223,Breakfast cereals,c246,0.77,0,1
Wheat,c001,Alcohol (non-food) production,p381,"Alcohol, Non-Food",c437,0.28,0.224,0.336
Wheat,c001,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher production,p447,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher,c512,0.31,0.11,0.55
Wheat,c001,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages production",p448,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",c513,0.63,0.28,0.77
Rice,c002,Alcohol (non-food) production,p381,"Alcohol, Non-Food",c437,0.19899,0.159192,0.238788
Barley,c003,Alcohol (non-food) production,p381,"Alcohol, Non-Food",c437,0.2044,0.16352,0.24528
Barley,c003,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages production",p448,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",c513,0.46,0.28,0.77
Maize (corn),c004,Breakfast cereals production,p223,Breakfast cereals,c246,0.85,0.7,1.2
Maize (corn),c004,Alcohol (non-food) production,p381,"Alcohol, Non-Food",c437,0.35,0.28,0.42
Maize (corn),c004,Beer of barley (malted) production,p442,"Beer of barley, malted",c507,7.07,2.76,9.01
Maize (corn),c004,Beer of maize (malted) production,p443,"Beer of maize, malted",c508,4.86,2.79,6.15
Maize (corn),c004,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher production,p447,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher,c512,0.36,0.25,0.55
Maize (corn),c004,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages production",p448,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",c513,0.53,0,1
Rye,c005,Breakfast cereals production,p223,Breakfast cereals,c246,0.91,0.8,1
Rye,c005,Alcohol (non-food) production,p381,"Alcohol, Non-Food",c437,0.27,0.216,0.324
Rye,c005,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher production,p447,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher,c512,0.28,0.25,0.5
Rye,c005,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages production",p448,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",c513,0.48,0.23,0.77
Oats,c006,Breakfast cereals production,p223,Breakfast cereals,c246,1,1,1
Oats,c006,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages production",p448,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",c513,1.08,0.39,1.12
Millet,c007,Beer of millet (malted)production,p444,"Beer of millet, malted",c509,4.78,2.4,5
Sorghum,c008,Alcohol (non-food) production,p381,"Alcohol, Non-Food",c437,0.294,0.2352,0.3528
Sorghum,c008,Beer of barley (malted) production,p442,"Beer of barley, malted",c507,5,5,5
Sorghum,c008,Beer of sorghum (malted) production,p445,"Beer of sorghum, malted",c510,4.81,2.4,5
Sorghum,c008,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages production",p448,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",c513,0.36,0.3,0.4
Quinoa,c010,Flour of cereals n.e.c. production,p240,Flour of cereals n.e.c.,c277,0.72,0.72,0.72
Quinoa,c010,Flour of cereals n.e.c. production,p240,Bran of cereals n.e.c.,c278,0.27,0.27,0.27
Canary seed,c013,Flour of cereals n.e.c. production,p240,Flour of cereals n.e.c.,c277,0.67,0.6,0.8
Canary seed,c013,Flour of cereals n.e.c. production,p240,Bran of cereals n.e.c.,c278,0.27,0.15,0.3
Mixed grain,c014,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher production,p447,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher,c512,0.26,0.25,0.5
Mixed grain,c014,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages production",p448,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",c513,0.48,0,0.87
Cereals n.e.c.,c015,Flour of cereals n.e.c. production,p240,Flour of cereals n.e.c.,c277,0.93,0.6,0.96
Cereals n.e.c.,c015,Flour of cereals n.e.c. production,p240,Bran of cereals n.e.c.,c278,0.17,0.02,0.4
Cereals n.e.c.,c015,Alcohol (non-food) production,p381,"Alcohol, Non-Food",c437,0.275,0.22,0.33
Cereals n.e.c.,c015,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher production,p447,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher,c512,0.39,0.37,0.4
Cereals n.e.c.,c015,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages production",p448,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",c513,0.45,0.44,0.45
Potatoes,c016,Alcohol (non-food) production,p381,"Alcohol, Non-Food",c437,0.09,0.072,0.108
Potatoes,c016,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher production,p447,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher,c512,0.35,0.1,0.5
Potatoes,c016,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages production",p448,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",c513,0.41,0.04,0.77
Sweet potatoes,c017,"Flour of roots and tubers production, n.e.c.",p253,Flour of roots and tubers n.e.c.,c291,0.19,0.15,
Sweet potatoes,c017,"Edible roots and tubers with high starch or inulin content (dry) production, n.e.c.",p254,"Edible roots and tubers with high starch or inulin content, n.e.c., dry",c292,0.35,0.35,
"Cassava, fresh",c018,Alcohol (non-food) production,p381,"Alcohol, Non-Food",c437,0.09,0.072,0.108
"Cassava, fresh",c018,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher production,p447,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher,c512,0.2,0.1,0.22
"Cassava, fresh",c018,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages production",p448,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",c513,0.1,0.1,0.1
Taro,c020,"Flour of roots and tubers production, n.e.c.",p253,Flour of roots and tubers n.e.c.,c291,0.16,0.1,
Taro,c020,"Edible roots and tubers with high starch or inulin content (dry) production, n.e.c.",p254,"Edible roots and tubers with high starch or inulin content, n.e.c., dry",c292,0.4,0.4,
Sugar cane,c026,Centrifugal cane sugar production,p255,Molasses,c298,0.05,0.01,
Sugar cane,c026,Raw cane or beet sugar (centrifugal only) production,p257,Raw cane or beet sugar (centrifugal only),c295,0.12,0.05,2.82
Sugar cane,c026,Raw cane or beet sugar (centrifugal only) production,p257,Molasses,c298,0.05,0.01,0.08
Sugar cane,c026,Sugar and syrups n.e.c. production,p261,Sugar and syrups n.e.c.,c300,0.97,0,1
Sugar cane,c026,Alcohol (non-food) production,p381,"Alcohol, Non-Food",c437,0.075,0.06,0.09
Sugar cane,c026,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher production,p447,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher,c512,0.24,0,0.55
Sugar cane,c026,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages production",p448,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",c513,0.55,0.1,1.15
Sugar beet,c027,Centrifugal cane sugar production,p255,Molasses,c298,0.04,0.02,
Sugar beet,c027,Raw cane or beet sugar (centrifugal only) production,p257,Raw cane or beet sugar (centrifugal only),c295,0.15,0,10
Sugar beet,c027,Raw cane or beet sugar (centrifugal only) production,p257,Molasses,c298,0.04,0.02,1
Sugar beet,c027,Alcohol (non-food) production,p381,"Alcohol, Non-Food",c437,0.065,0.052,0.078
Sugar beet,c027,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher production,p447,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher,c512,0.46,0,0.5
Sugar beet,c027,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages production",p448,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages",c513,0.25,0,0.43
Other sugar crops n.e.c.,c028,Sugar and syrups n.e.c. production,p261,Sugar and syrups n.e.c.,c300,0.68,0.1,1
Cabbages,c029,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
Cabbages,c029,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.86,0.64,1
Artichokes,c030,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
Artichokes,c030,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.8,0.7,0.87
Asparagus,c031,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
Asparagus,c031,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.95,0.7,1
Lettuce and chicory,c032,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
Spinach,c033,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
Tomatoes,c034,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
Tomatoes,c034,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.69,0.3,0.9
Cauliflowers and broccoli,c035,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
Cauliflowers and broccoli,c035,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.85,0.64,1
"Pumpkins, squash and gourds",c036,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
"Pumpkins, squash and gourds",c036,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.85,0.65,1
Cucumbers and gherkins,c037,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
Cucumbers and gherkins,c037,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.81,0.64,1
Eggplants (aubergines),c038,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
Eggplants (aubergines),c038,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.72,0.65,0.8
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",c039,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",c039,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.84,0.65,1.35
"Onions and shallots, green",c040,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
"Onions and shallots, green",c040,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.87,0.86,0.87
"Onions and shallots, dry (excluding dehydrated)",c041,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
"Onions and shallots, dry (excluding dehydrated)",c041,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.82,0.64,1
Green garlic,c042,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
Leeks and other alliaceous vegetables,c043,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
"Other beans, green",c044,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
"Other beans, green",c044,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.82,0.64,1
"Peas, green",c045,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
"Peas, green",c045,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.88,0.64,1.35
"Broad beans and horse beans, green",c046,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
"Broad beans and horse beans, green",c046,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.8,0.8,0.8
String beans,c047,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
String beans,c047,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.98,0.8,1
Carrots and turnips,c048,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
Carrots and turnips,c048,"Vegetables preservation, nes, (o/t vinegar)",p277,Vegetables preserved nes (o/t vinegar),c316,0.83,0.64,1
Okra,c049,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
Green corn (maize),c050,"Vegetable products (fresh or dry) production, n.e.c",p273,"Vegetable products, fresh or dry n.e.c.",c312,,0.2,1.1
