proc,proc_code,item,comm_code,avg_trees,min,max
Cattle slaughtering,p180,"Meat of cattle with the bone, fresh or chilled",c181,0.52,0.46,0.57
Cattle slaughtering,p180,"Edible offal of cattle, fresh, chilled or frozen",c200,0.07,0.04,0.1
Cattle slaughtering,p180,"Cattle fat, unrendered",c206,0.03,0.02,0.05
Sheep slaughtering,p182,"Meat of sheep, fresh or chilled",c183,0.5,0.44,0.56
Sheep slaughtering,p182,"Edible offal of sheep, fresh, chilled or frozen",c202,0.08,0.04,0.1
Sheep slaughtering,p182,"Sheep fat, unrendered",c208,0.03,0.02,0.06
Chicken slaughtering,p185,"Meat of chickens, fresh or chilled",c186,0.78,0.73,0.83
Pig slaughtering,p184,"Edible offal of pigs, fresh, chilled or frozen",c204,0.04,0.04,0.1
Pig slaughtering,p184,Fat of pigs,c210,0.06,0.04,0.15
Chicken slaughtering,p185,"Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen",c469,,,
Wheat flour production,p219,Wheat and meslin flour,c234,0.79,0.7,0.9
Wheat flour production,p219,Bran of wheat,c235,0.18,0.1,0.26
Wheat flour production,p219,Germ of wheat,c237,0.02,0.02,0.03
Starch of wheat production,p224,Starch of wheat,c241,,,0.85
Starch of wheat production,p224,Wheat gluten,c242,,,0.15
Pasta production,p220,"Uncooked pasta, not stuffed or otherwise prepared",c236,1,,
Bread production,p221,Bread,c238,,1,1.3
Pastry production,p223,Pastry,c240,,1,1.3
Bulgur production,p222,Bulgur,c239,0.95,0.93,0.98
Husked rice production,p225,Husked rice,c243,0.77,0.7,0.85
Milled rice production,p227,"Rice, milled",c245,0.67,0.6,0.7
Milled rice production,p227,Bran of rice,c249,0.08,,0.1
Rice (milled and husked) production,p226,"Rice, milled (husked)",c244,0.9,0.83,0.9
Rice (milled and husked) production,p226,Bran of rice,c249,,,0.15
Broken rice production,p228,"Rice, broken",c246,,,1
Flour of rice production,p231,Flour of rice,c251,,,0.95
Starch of rice production,p229,Starch of rice,c248,0.85,0.66,0.9
Starch of rice production,p229,"Rice, gluten",c247,,,0.1
Oil of rice bran production,p230,Oil of rice bran,c349,0.14,,0.2
Oil of rice bran production,p230,Cake of rice bran,c250,,,0.8
Breakfast cereals production,p232,Breakfast cereals,c252,,,
Pot barley production,p233,Pot barley,c253,0.72,0.6,0.85
Pot barley production,p233,Bran of barley,c255,0.19,,0.3
Pearled barley production,p234,"Barley, pearled",c254,,,0.55
Pearled barley production,p234,Barley flour and grits,c256,,,0.45
Malt production,p235,"Malt, whether or not roasted",c257,0.73,0.65,0.8
Malt extract production,p236,Malt extract,c258,0.8,,
Flour of maize production,p237,Flour of maize,c260,0.82,0.7,0.95
Flour of maize production,p237,Bran of maize,c261,0.11,,0.2
Flour of maize production,p237,Germ of maize,c259,0.06,,0.08
Starch of maize production,p239,Starch of maize,c264,0.75,,0.88
Starch of maize production,p239,Maize gluten,c263,0.1,,0.15
Oil of maize production,p238,Oil of maize,c350,0.45,,0.5
Oil of maize production,p238,Cake of maize,c262,0.52,,0.55
Flour of rye production,p240,Flour of rye,c265,0.8,0.7,0.85
Flour of rye production,p240,Bran of rye,c266,0.17,0.14,0.28
Rolled oats production,p241,"Oats, rolled",c267,0.53,0.45,0.7
Rolled oats production,p241,Bran of oats,c268,0.2,0.15,0.3
Flour of millet production,p242,Flour of millet,c269,0.86,,0.95
Flour of millet production,p242,Bran of millet,c270,0.1,,0.2
Flour of sorghum production,p243,Flour of sorghum,c271,0.9,,0.95
Flour of sorghum production,p243,Bran of sorghum,c272,0.08,,0.15
Flour of buckwheat production,p244,Flour of buckwheat,c273,0.75,0.6,0.85
Flour of buckwheat production,p244,Bran of buckwheat,c274,0.2,0.05,0.3
Flour of triticale production,p246,Flour of triticale,c277,0.75,,0.8
Flour of triticale production,p246,Bran of triticale,c278,0.23,,0.28
Flour of mixed grain production,p247,Flour of mixed grain,c279,0.8,,0.85
Flour of mixed grain production,p247,Bran of mixed grain,c280,,,0.2
Flour of fonio production,p245,Flour of fonio,c275,0.8,,0.85
Flour of fonio production,p245,Bran of fonio,c276,0.15,,0.2
Cereal preparation,p250,Cereal preparations,c284,,0.9,1
Frozen potatoes production,p255,"Potatoes, frozen",c289,,0.45,0.55
