item_code,item,source,source_code,tcf
2541,Sugar non-centrifugal,Sugar cane,2536,0.09
2543,"Sweeteners, Other",Maize and products,2514,0.8415
2571,Soyabean Oil,Soyabeans,2555,0.18
2572,Groundnut Oil,Groundnuts (Shelled Eq),2556,0.43
2573,Sunflowerseed Oil,Sunflower seed,2557,0.41
2574,Rape and Mustard Oil,Rape and Mustardseed,2558,0.38
2575,Cottonseed Oil,Cottonseed,2559,0.16
2578,Coconut Oil,Coconuts - Incl Copra,2560,0.61
2579,Sesameseed Oil,Sesame seed,2561,0.43
2580,Olive Oil,Olives (including preserved),2563,0.2
2581,Ricebran Oil,Rice (Milled Equivalent),2805,0.14
2582,Maize Germ Oil,Maize and products,2514,0.45
2586,"Oilcrops Oil, Other","Oilcrops, Other",2570,0.35
2655,Wine,Grapes and products (excl wine),2620,0.7
2656,Beer,Barley and products,2513,4.7815
2818,"Sugar, Refined Equiv",Sugar beet,2537,0.1309
2818,"Sugar, Refined Equiv",Sugar cane,2536,0.10285
