area_code,inp_code,inp,out_code,out,value
1,2511,Wheat and products,2543,"Sweeteners, Other",1.078
1,2511,Wheat and products,2656,Beer,4.455
1,2511,Wheat and products,2657,"Beverages, Fermented",4.455
1,2511,Wheat and products,2658,"Beverages, Alcoholic",0.68
1,2511,Wheat and products,2659,"Alcohol, Non-Food",0.28
1,2513,Barley and products,2543,"Sweeteners, Other",
1,2513,Barley and products,2656,Beer,4.7815
1,2513,Barley and products,2658,"Beverages, Alcoholic",0.5037
1,2513,Barley and products,2659,"Alcohol, Non-Food",
1,2514,Maize and products,2543,"Sweeteners, Other",0.8415
1,2514,Maize and products,2656,Beer,5.5
1,2514,Maize and products,2657,"Beverages, Fermented",5.5
1,2514,Maize and products,2658,"Beverages, Alcoholic",0.65
1,2514,Maize and products,2659,"Alcohol, Non-Food",0.35
1,2515,Rye and products,2656,Beer,4.8173
1,2515,Rye and products,2657,"Beverages, Fermented",4.8173
1,2515,Rye and products,2658,"Beverages, Alcoholic",0.645
1,2515,Rye and products,2659,"Alcohol, Non-Food",0.27
1,2516,Oats,2658,"Beverages, Alcoholic",0.468188889
1,2517,Millet and products,2656,Beer,4.5
1,2517,Millet and products,2657,"Beverages, Fermented",4.5
1,2518,Sorghum and products,2656,Beer,4.85
1,2518,Sorghum and products,2657,"Beverages, Fermented",4.85
1,2518,Sorghum and products,2658,"Beverages, Alcoholic",0.468188889
1,2518,Sorghum and products,2659,"Alcohol, Non-Food",0.294
1,2520,"Cereals, Other",2656,Beer,4.8173
1,2520,"Cereals, Other",2657,"Beverages, Fermented",4.8173
1,2520,"Cereals, Other",2658,"Beverages, Alcoholic",0.65
1,2520,"Cereals, Other",2659,"Alcohol, Non-Food",0.275
1,2531,Potatoes and products,2543,"Sweeteners, Other",0.19
1,2531,Potatoes and products,2658,"Beverages, Alcoholic",0.215
1,2531,Potatoes and products,2659,"Alcohol, Non-Food",0.09
1,2532,Cassava and products,2543,"Sweeteners, Other",0.25
1,2532,Cassava and products,2659,"Alcohol, Non-Food",0.09
1,2533,Sweet potatoes,2543,"Sweeteners, Other",0.2
1,2533,Sweet potatoes,2658,"Beverages, Alcoholic",0.468188889
1,2536,Sugar cane,2658,"Beverages, Alcoholic",0.19
1,2536,Sugar cane,2659,"Alcohol, Non-Food",0.075
1,2537,Sugar beet,2658,"Beverages, Alcoholic",0.155
1,2537,Sugar beet,2659,"Alcohol, Non-Food",0.065
1,2541,Sugar non-centrifugal,2658,"Beverages, Alcoholic",1.3
1,2543,"Sweeteners, Other",2658,"Beverages, Alcoholic",1.5
1,2544,Molasses,2658,"Beverages, Alcoholic",0.525
1,2544,Molasses,2659,"Alcohol, Non-Food",0.19934
1,2615,Bananas,2657,"Beverages, Fermented",0.594791667
1,2615,Bananas,2658,"Beverages, Alcoholic",0.468188889
1,2616,Plantains,2657,"Beverages, Fermented",0.594791667
1,2616,Plantains,2658,"Beverages, Alcoholic",0.468188889
1,2617,Apples and products,2657,"Beverages, Fermented",0.594791667
1,2617,Apples and products,2658,"Beverages, Alcoholic",0.468188889
1,2617,Apples and products,2659,"Alcohol, Non-Food",0.19934
1,2619,Dates,2658,"Beverages, Alcoholic",0.468188889
1,2620,Grapes and products (excl wine),2657,"Beverages, Fermented",0.758888889
1,2620,Grapes and products (excl wine),2658,"Beverages, Alcoholic",0.468188889
1,2620,Grapes and products (excl wine),2659,"Alcohol, Non-Food",0.19934
1,2625,"Fruits, Other",2657,"Beverages, Fermented",0.594791667
1,2625,"Fruits, Other",2658,"Beverages, Alcoholic",0.468188889
1,2625,"Fruits, Other",2659,"Alcohol, Non-Food",0.19934
1,2655,Wine,2658,"Beverages, Alcoholic",0.468188889
1,2655,Wine,2659,"Alcohol, Non-Food",0.19934
1,2804,Rice (Paddy Equivalent),2543,"Sweeteners, Other",1.03455
1,2804,Rice (Paddy Equivalent),2656,Beer,2.7775
1,2804,Rice (Paddy Equivalent),2657,"Beverages, Fermented",2.7775
1,2804,Rice (Paddy Equivalent),2658,"Beverages, Alcoholic",0.71775
1,2804,Rice (Paddy Equivalent),2659,"Alcohol, Non-Food",0.297
1,2818,"Sugar, Refined Equiv",2658,"Beverages, Alcoholic",1.5
2,2511,Wheat and products,2543,"Sweeteners, Other",1.078
2,2511,Wheat and products,2656,Beer,4.455
2,2511,Wheat and products,2657,"Beverages, Fermented",4.455
2,2511,Wheat and products,2658,"Beverages, Alcoholic",0.68
2,2511,Wheat and products,2659,"Alcohol, Non-Food",0.28
2,2513,Barley and products,2543,"Sweeteners, Other",
2,2513,Barley and products,2656,Beer,4.7815
2,2513,Barley and products,2658,"Beverages, Alcoholic",0.5037
2,2513,Barley and products,2659,"Alcohol, Non-Food",
2,2514,Maize and products,2543,"Sweeteners, Other",0.8415
2,2514,Maize and products,2656,Beer,5.5
2,2514,Maize and products,2657,"Beverages, Fermented",5.5
2,2514,Maize and products,2658,"Beverages, Alcoholic",0.65
2,2514,Maize and products,2659,"Alcohol, Non-Food",0.35
2,2515,Rye and products,2656,Beer,4.8173
2,2515,Rye and products,2657,"Beverages, Fermented",4.8173
2,2515,Rye and products,2658,"Beverages, Alcoholic",0.645
2,2515,Rye and products,2659,"Alcohol, Non-Food",0.27
2,2516,Oats,2658,"Beverages, Alcoholic",0.468188889
2,2517,Millet and products,2656,Beer,4.5
2,2517,Millet and products,2657,"Beverages, Fermented",4.5
2,2518,Sorghum and products,2656,Beer,4.85
2,2518,Sorghum and products,2657,"Beverages, Fermented",4.85
2,2518,Sorghum and products,2658,"Beverages, Alcoholic",0.468188889
2,2518,Sorghum and products,2659,"Alcohol, Non-Food",0.294
2,2520,"Cereals, Other",2656,Beer,4.8173
2,2520,"Cereals, Other",2657,"Beverages, Fermented",4.8173
2,2520,"Cereals, Other",2658,"Beverages, Alcoholic",0.65
2,2520,"Cereals, Other",2659,"Alcohol, Non-Food",0.275
2,2531,Potatoes and products,2543,"Sweeteners, Other",0.19
2,2531,Potatoes and products,2658,"Beverages, Alcoholic",0.215
2,2531,Potatoes and products,2659,"Alcohol, Non-Food",0.09
2,2532,Cassava and products,2543,"Sweeteners, Other",0.25
2,2532,Cassava and products,2659,"Alcohol, Non-Food",0.09
2,2533,Sweet potatoes,2543,"Sweeteners, Other",0.2
2,2533,Sweet potatoes,2658,"Beverages, Alcoholic",0.468188889
2,2536,Sugar cane,2658,"Beverages, Alcoholic",0.19
2,2536,Sugar cane,2659,"Alcohol, Non-Food",0.075
2,2537,Sugar beet,2658,"Beverages, Alcoholic",0.155
2,2537,Sugar beet,2659,"Alcohol, Non-Food",0.065
2,2541,Sugar non-centrifugal,2658,"Beverages, Alcoholic",1.3
2,2543,"Sweeteners, Other",2658,"Beverages, Alcoholic",1.5
2,2544,Molasses,2658,"Beverages, Alcoholic",0.525
2,2544,Molasses,2659,"Alcohol, Non-Food",0.19934
2,2615,Bananas,2657,"Beverages, Fermented",0.594791667
2,2615,Bananas,2658,"Beverages, Alcoholic",0.468188889
2,2616,Plantains,2657,"Beverages, Fermented",0.594791667
2,2616,Plantains,2658,"Beverages, Alcoholic",0.468188889
2,2617,Apples and products,2657,"Beverages, Fermented",0.594791667
2,2617,Apples and products,2658,"Beverages, Alcoholic",0.468188889
2,2617,Apples and products,2659,"Alcohol, Non-Food",0.19934
2,2619,Dates,2658,"Beverages, Alcoholic",0.468188889
2,2620,Grapes and products (excl wine),2657,"Beverages, Fermented",0.758888889
2,2620,Grapes and products (excl wine),2658,"Beverages, Alcoholic",0.468188889
2,2620,Grapes and products (excl wine),2659,"Alcohol, Non-Food",0.19934
2,2625,"Fruits, Other",2657,"Beverages, Fermented",0.594791667
2,2625,"Fruits, Other",2658,"Beverages, Alcoholic",0.468188889
2,2625,"Fruits, Other",2659,"Alcohol, Non-Food",0.19934
2,2655,Wine,2658,"Beverages, Alcoholic",0.468188889
2,2655,Wine,2659,"Alcohol, Non-Food",0.19934
2,2804,Rice (Paddy Equivalent),2543,"Sweeteners, Other",1.03455
2,2804,Rice (Paddy Equivalent),2656,Beer,2.7775
2,2804,Rice (Paddy Equivalent),2657,"Beverages, Fermented",2.7775
2,2804,Rice (Paddy Equivalent),2658,"Beverages, Alcoholic",0.71775
2,2804,Rice (Paddy Equivalent),2659,"Alcohol, Non-Food",0.297
2,2818,"Sugar, Refined Equiv",2658,"Beverages, Alcoholic",1.5
3,2511,Wheat and products,2543,"Sweeteners, Other",1.078
3,2511,Wheat and products,2656,Beer,4.455
3,2511,Wheat and products,2657,"Beverages, Fermented",4.455
3,2511,Wheat and products,2658,"Beverages, Alcoholic",0.68
3,2511,Wheat and products,2659,"Alcohol, Non-Food",0.28
3,2513,Barley and products,2543,"Sweeteners, Other",
3,2513,Barley and products,2656,Beer,4.7815
3,2513,Barley and products,2658,"Beverages, Alcoholic",0.5037
3,2513,Barley and products,2659,"Alcohol, Non-Food",
3,2514,Maize and products,2543,"Sweeteners, Other",0.8415
3,2514,Maize and products,2656,Beer,5.5
3,2514,Maize and products,2657,"Beverages, Fermented",5.5
3,2514,Maize and products,2658,"Beverages, Alcoholic",0.65
3,2514,Maize and products,2659,"Alcohol, Non-Food",0.35
3,2515,Rye and products,2656,Beer,4.8173
3,2515,Rye and products,2657,"Beverages, Fermented",4.8173
3,2515,Rye and products,2658,"Beverages, Alcoholic",0.645
3,2515,Rye and products,2659,"Alcohol, Non-Food",0.27
3,2516,Oats,2658,"Beverages, Alcoholic",0.468188889
3,2517,Millet and products,2656,Beer,4.5
