Stressor,Compartment,Subcompartment_1,Subcompartment_2,Unit,Description,Sources,GWP
VA_capital_isic_a_exiobase,Value added,ISIC-A primary agriculture,Net operating surplus + consumption of fixed capital + net mixed income (K.1 + B.3n),USD,Capital strand of producer-price value added for primary agriculture FABIO items. May be negative. One of three strands that sum to total value added; CBS-level only. EXIOBASE-based estimate — an alternative to VA_capital_isic_a_gloria; the two bases are not additive.,"FABIOv2 value-added synthesis: EXIOBASE base, overlaid per cell with FSDN, OECD-SUT & Eurostat-NAMA fishing (item 2960; Eurostat wins on EU/EFTA), and Canada/Brazil national SUTs. Per-cell provenance is in the synthesis va_source column (GLORIA/EXIOBASE/FSDN/OECD_SUT/EUROSTAT_NAMA/CANADA_SUT/BRAZIL_SUT), not in this extension.",
VA_capital_isic_a_gloria,Value added,ISIC-A primary agriculture,Net operating surplus + consumption of fixed capital + net mixed income (K.1 + B.3n),USD,Capital strand of producer-price value added for primary agriculture FABIO items. May be negative. One of three strands that sum to total value added; CBS-level only. GLORIA-based estimate — an alternative to VA_capital_isic_a_exiobase; the two bases are not additive.,"FABIOv2 value-added synthesis: GLORIA base, overlaid per cell with FSDN, OECD-SUT & Eurostat-NAMA fishing (item 2960; Eurostat wins on EU/EFTA), and Canada/Brazil national SUTs. Per-cell provenance is in the synthesis va_source column (GLORIA/EXIOBASE/FSDN/OECD_SUT/EUROSTAT_NAMA/CANADA_SUT/BRAZIL_SUT), not in this extension.",
VA_capital_isic_c_exiobase,Value added,ISIC-C food and beverage manufacturing,Net operating surplus + consumption of fixed capital + net mixed income (K.1 + B.3n),USD,Capital strand of producer-price value added for food and beverage manufacturing FABIO items. May be negative. One of three strands that sum to total value added; CBS-level only. EXIOBASE-based estimate — an alternative to VA_capital_isic_c_gloria; the two bases are not additive.,"FABIOv2 value-added synthesis: EXIOBASE base, overlaid per cell with FSDN (wine only on ISIC-C) and Canada/Brazil national SUTs. Per-cell provenance is in the synthesis va_source column (GLORIA/EXIOBASE/FSDN/CANADA_SUT/BRAZIL_SUT), not in this extension.",
VA_capital_isic_c_gloria,Value added,ISIC-C food and beverage manufacturing,Net operating surplus + consumption of fixed capital + net mixed income (K.1 + B.3n),USD,Capital strand of producer-price value added for food and beverage manufacturing FABIO items. May be negative. One of three strands that sum to total value added; CBS-level only. GLORIA-based estimate — an alternative to VA_capital_isic_c_exiobase; the two bases are not additive.,"FABIOv2 value-added synthesis: GLORIA base, overlaid per cell with FSDN (wine only on ISIC-C) and Canada/Brazil national SUTs. Per-cell provenance is in the synthesis va_source column (GLORIA/EXIOBASE/FSDN/CANADA_SUT/BRAZIL_SUT), not in this extension.",
VA_tls_isic_a_exiobase,Value added,ISIC-A primary agriculture,Taxes less subsidies on production (D.29 + D.39),USD,Taxes-less-subsidies strand of producer-price value added for primary agriculture FABIO items. May be negative (taxes minus subsidies). One of three strands that sum to total value added; CBS-level only. EXIOBASE-based estimate — an alternative to VA_tls_isic_a_gloria; the two bases are not additive.,"FABIOv2 value-added synthesis: EXIOBASE base, overlaid per cell with FSDN, OECD-SUT & Eurostat-NAMA fishing (item 2960; Eurostat wins on EU/EFTA), and Canada/Brazil national SUTs. Per-cell provenance is in the synthesis va_source column (GLORIA/EXIOBASE/FSDN/OECD_SUT/EUROSTAT_NAMA/CANADA_SUT/BRAZIL_SUT), not in this extension.",
VA_tls_isic_a_gloria,Value added,ISIC-A primary agriculture,Taxes less subsidies on production (D.29 + D.39),USD,Taxes-less-subsidies strand of producer-price value added for primary agriculture FABIO items. May be negative (taxes minus subsidies). One of three strands that sum to total value added; CBS-level only. GLORIA-based estimate — an alternative to VA_tls_isic_a_exiobase; the two bases are not additive.,"FABIOv2 value-added synthesis: GLORIA base, overlaid per cell with FSDN, OECD-SUT & Eurostat-NAMA fishing (item 2960; Eurostat wins on EU/EFTA), and Canada/Brazil national SUTs. Per-cell provenance is in the synthesis va_source column (GLORIA/EXIOBASE/FSDN/OECD_SUT/EUROSTAT_NAMA/CANADA_SUT/BRAZIL_SUT), not in this extension.",
VA_tls_isic_c_exiobase,Value added,ISIC-C food and beverage manufacturing,Taxes less subsidies on production (D.29 + D.39),USD,Taxes-less-subsidies strand of producer-price value added for food and beverage manufacturing FABIO items. May be negative (taxes minus subsidies). One of three strands that sum to total value added; CBS-level only. EXIOBASE-based estimate — an alternative to VA_tls_isic_c_gloria; the two bases are not additive.,"FABIOv2 value-added synthesis: EXIOBASE base, overlaid per cell with FSDN (wine only on ISIC-C) and Canada/Brazil national SUTs. Per-cell provenance is in the synthesis va_source column (GLORIA/EXIOBASE/FSDN/CANADA_SUT/BRAZIL_SUT), not in this extension.",
VA_tls_isic_c_gloria,Value added,ISIC-C food and beverage manufacturing,Taxes less subsidies on production (D.29 + D.39),USD,Taxes-less-subsidies strand of producer-price value added for food and beverage manufacturing FABIO items. May be negative (taxes minus subsidies). One of three strands that sum to total value added; CBS-level only. GLORIA-based estimate — an alternative to VA_tls_isic_c_exiobase; the two bases are not additive.,"FABIOv2 value-added synthesis: GLORIA base, overlaid per cell with FSDN (wine only on ISIC-C) and Canada/Brazil national SUTs. Per-cell provenance is in the synthesis va_source column (GLORIA/EXIOBASE/FSDN/CANADA_SUT/BRAZIL_SUT), not in this extension.",
VA_wages_isic_a_exiobase,Value added,ISIC-A primary agriculture,Compensation of employees (D.1),USD,Wages strand of producer-price value added for primary agriculture FABIO items (compensation of employees). One of three strands that sum to total value added; CBS-level only. EXIOBASE-based estimate — an alternative to VA_wages_isic_a_gloria; the two bases are not additive.,"FABIOv2 value-added synthesis: EXIOBASE base, overlaid per cell with FSDN, OECD-SUT & Eurostat-NAMA fishing (item 2960; Eurostat wins on EU/EFTA), and Canada/Brazil national SUTs. Per-cell provenance is in the synthesis va_source column (GLORIA/EXIOBASE/FSDN/OECD_SUT/EUROSTAT_NAMA/CANADA_SUT/BRAZIL_SUT), not in this extension.",
VA_wages_isic_a_gloria,Value added,ISIC-A primary agriculture,Compensation of employees (D.1),USD,Wages strand of producer-price value added for primary agriculture FABIO items (compensation of employees). One of three strands that sum to total value added; CBS-level only. GLORIA-based estimate — an alternative to VA_wages_isic_a_exiobase; the two bases are not additive.,"FABIOv2 value-added synthesis: GLORIA base, overlaid per cell with FSDN, OECD-SUT & Eurostat-NAMA fishing (item 2960; Eurostat wins on EU/EFTA), and Canada/Brazil national SUTs. Per-cell provenance is in the synthesis va_source column (GLORIA/EXIOBASE/FSDN/OECD_SUT/EUROSTAT_NAMA/CANADA_SUT/BRAZIL_SUT), not in this extension.",
