"BioSAM_area","BioSAM_area_code","FABIO_area","FABIO_area_code","FABIO_iso3c"
"Austria","AT","Austria",11,"AUT"
"Belgium","BE","Belgium",255,"BEL"
"Bulgaria","BG","Bulgaria",27,"BGR"
"Croatia","HR","Croatia",98,"HRV"
"Cyprus","CY","Cyprus",50,"CYP"
"Czech Republic","CZ","Czech Republic",167,"CZE"
"Denmark","DK","Denmark",54,"DNK"
"Estonia","EE","Estonia",63,"EST"
"Finland","FI","Finland",67,"FIN"
"France","FR","France",68,"FRA"
"Germany","DE","Germany",79,"DEU"
"Greece","GR","Greece",84,"GRC"
"Hungary","HU","Hungary",97,"HUN"
"Ireland","IE","Ireland",104,"IRL"
"Italy","IT","Italy",106,"ITA"
"Latvia","LV","Latvia",119,"LVA"
"Lithuania","LT","Lithuania",126,"LTU"
"Luxembourg","LU","Luxembourg",256,"LUX"
"Malta","MT","Malta",134,"MLT"
"Netherlands","NL","Netherlands",150,"NLD"
"Poland","PL","Poland",173,"POL"
"Portugal","PT","Portugal",174,"PRT"
"Romania","RO","Romania",183,"ROU"
"Slovakia","SK","Slovakia",199,"SVK"
"Slovenia","SI","Slovenia",198,"SVN"
"Spain","ES","Spain",203,"ESP"
"Sweden","SE","Sweden",210,"SWE"
"United Kingdom","GB","United Kingdom",229,"GBR"
"EU-27 (from 2020)","EU27-2020",,,
