"FAO_area","FAO_area_code","FABIO_area","FABIO_area_code","FABIO_iso3c","comments; second area"
"Afghanistan",2,"Afghanistan",2,"AFG",
"Albania",3,"Albania",3,"ALB",
"Algeria",4,"Algeria",4,"DZA",
"Angola",7,"Angola",7,"AGO",
"Antigua and Barbuda",8,"Antigua and Barbuda",8,"ATG",
"Argentina",9,"Argentina",9,"ARG",
"Armenia",1,"Armenia",1,"ARM",
"Australia",10,"Australia",10,"AUS",
"Austria",11,"Austria",11,"AUT",
"Azerbaijan",52,"Azerbaijan",52,"AZE",
,,"Bahamas",12,"BHS",
"Bahrain",13,"Bahrain",13,"BHR",
"Bangladesh",16,"Bangladesh",16,"BGD",
"Barbados",14,"Barbados",14,"BRB",
"Belarus",57,"Belarus",57,"BLR",
"Belgium",255,"Belgium",255,"BEL","Belgium-Luxembourg"
"Belize",23,"Belize",23,"BLZ",
"Benin",53,"Benin",53,"BEN",
"Bolivia (Plurinational State of)",19,"Bolivia (Plurinational State of)",19,"BOL",
"Bosnia and Herzegovina",80,"Bosnia and Herzegovina",80,"BIH",
"Botswana",20,"Botswana",20,"BWA",
"Brazil",21,"Brazil",21,"BRA",
"Brunei Darussalam",26,"RoW",999,"ROW",
"Bulgaria",27,"Bulgaria",27,"BGR",
"Burkina Faso",233,"Burkina Faso",233,"BFA",
"Burundi",29,"Burundi",29,"BDI",
"Côte d'Ivoire",107,"Côte d'Ivoire",107,"CIV",
"Cabo Verde",35,"Cabo Verde",35,"CPV",
"Cambodia",115,"Cambodia",115,"KHM",
"Cameroon",32,"Cameroon",32,"CMR",
"Canada",33,"Canada",33,"CAN",
"Central African Republic",37,"Central African Republic",37,"CAF",
"Chad",39,"Chad",39,"TCD",
"Chile",40,"Chile",40,"CHL",
"China, Hong Kong SAR",96,"China, Hong Kong SAR",96,"HKG",
,,"China, Macao SAR",128,"MAC",
"China, mainland",41,"China, mainland",41,"CHN",
,,"China, Taiwan Province of",214,"TWN",
"Colombia",44,"Colombia",44,"COL",
"Congo",46,"Congo",46,"COG",
"Costa Rica",48,"Costa Rica",48,"CRI",
"Croatia",98,"Croatia",98,"HRV",
"Cuba",49,"Cuba",49,"CUB",
"Cyprus",50,"Cyprus",50,"CYP",
"Czechia",167,"Czech Republic",167,"CZE","Czechoslovakia"
,,"Democratic People's Republic of Korea",116,"PRK",
,,"Democratic Republic of the Congo",250,"COD",
"Denmark",54,"Denmark",54,"DNK",
,,"Djibouti",72,"DJI",
"Dominican Republic",56,"Dominican Republic",56,"DOM",
"Ecuador",58,"Ecuador",58,"ECU",
"Egypt",59,"Egypt",59,"EGY",
"El Salvador",60,"El Salvador",60,"SLV",
"Eritrea",178,"RoW",999,"ROW",
"Estonia",63,"Estonia",63,"EST",
,,"Eswatini",209,"SWZ",
"Ethiopia",238,"Ethiopia",238,"ETH","Ethiopia PDR"
"Fiji",66,"Fiji",66,"FJI",
"Finland",67,"Finland",67,"FIN",
"France",68,"France",68,"FRA",
"French Polynesia",70,"French Polynesia",70,"PYF",
,,"Gabon",74,"GAB",
"Gambia",75,"Gambia",75,"GMB",
"Georgia",73,"Georgia",73,"GEO",
"Germany",79,"Germany",79,"DEU",
"Ghana",81,"Ghana",81,"GHA",
"Greece",84,"Greece",84,"GRC",
"Grenada",86,"Grenada",86,"GRD",
"Guatemala",89,"Guatemala",89,"GTM",
"Guinea",90,"Guinea",90,"GIN",
"Guinea-Bissau",175,"Guinea-Bissau",175,"GNB",
"Guyana",91,"Guyana",91,"GUY",
"Haiti",93,"Haiti",93,"HTI",
"Honduras",95,"Honduras",95,"HND",
"Hungary",97,"Hungary",97,"HUN",
"Iceland",99,"Iceland",99,"ISL",
"India",100,"India",100,"IND",
"Indonesia",101,"Indonesia",101,"IDN",
"Iran (Islamic Republic of)",102,"Iran (Islamic Republic of)",102,"IRN",
"Iraq",103,"Iraq",103,"IRQ",
"Ireland",104,"Ireland",104,"IRL",
"Israel",105,"Israel",105,"ISR",
"Italy",106,"Italy",106,"ITA",
"Jamaica",109,"Jamaica",109,"JAM",
"Japan",110,"Japan",110,"JPN",
"Jordan",112,"Jordan",112,"JOR",
"Kazakhstan",108,"Kazakhstan",108,"KAZ",
"Kenya",114,"Kenya",114,"KEN",
,,"Kiribati",83,"KIR",
"Kuwait",118,"Kuwait",118,"KWT",
"Kyrgyzstan",113,"Kyrgyzstan",113,"KGZ",
"Lao People's Democratic Republic",120,"Lao People's Democratic Republic",120,"LAO",
"Latvia",119,"Latvia",119,"LVA",
"Lebanon",121,"Lebanon",121,"LBN",
"Lesotho",122,"Lesotho",122,"LSO",
,,"Liberia",123,"LBR",
,,"Libya",124,"LBY",
"Lithuania",126,"Lithuania",126,"LTU",
"Luxembourg",256,"Luxembourg",256,"LUX","Belgium-Luxembourg"
"Madagascar",129,"Madagascar",129,"MDG",
"Malawi",130,"Malawi",130,"MWI",
"Malaysia",131,"Malaysia",131,"MYS",
"Maldives",132,"Maldives",132,"MDV",
"Mali",133,"Mali",133,"MLI",
"Malta",134,"Malta",134,"MLT",
"Mauritania",136,"Mauritania",136,"MRT",
"Mauritius",137,"Mauritius",137,"MUS",
"Mexico",138,"Mexico",138,"MEX",
"Mongolia",141,"Mongolia",141,"MNG",
"Serbia and Montenegro",186,"Montenegro",273,"MNE",
"Morocco",143,"Morocco",143,"MAR",
"Mozambique",144,"Mozambique",144,"MOZ",
"Myanmar",28,"Myanmar",28,"MMR",
"Namibia",147,"Namibia",147,"NAM",
"Nepal",149,"Nepal",149,"NPL",
"Netherlands (Kingdom of the)",150,"Netherlands",150,"NLD",
"New Caledonia",153,"New Caledonia",153,"NCL",
"New Zealand",156,"New Zealand",156,"NZL",
"Nicaragua",157,"Nicaragua",157,"NIC",
"Niger",158,"Niger",158,"NER",
"Nigeria",159,"Nigeria",159,"NGA",
"North Macedonia",154,"North Macedonia",154,"MKD",
"Norway",162,"Norway",162,"NOR",
"Oman",221,"Oman",221,"OMN",
"Pakistan",165,"Pakistan",165,"PAK",
"Panama",166,"Panama",166,"PAN",
,,"Papua New Guinea",168,"PNG",
"Paraguay",169,"Paraguay",169,"PRY",
"Peru",170,"Peru",170,"PER",
"Philippines",171,"Philippines",171,"PHL",
"Poland",173,"Poland",173,"POL",
"Portugal",174,"Portugal",174,"PRT",
"Puerto Rico",177,"RoW",999,"ROW",
"Qatar",179,"Qatar",179,"QAT",
"Republic of Korea",117,"Republic of Korea",117,"KOR",
"Republic of Moldova",146,"Republic of Moldova",146,"MDA",
"Romania",183,"Romania",183,"ROU",
"Réunion",182,"France",68,"FRA","after 2006, FAO integrates the production volumes into the French account"
"Tonga",219,"RoW",999,"ROW",
"Seychelles",196,"RoW",999,"ROW",
"Palestine",299,"RoW",999,"ROW",
