"BRA_SUT_item","BRA_SUT_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Arroz, trigo e outros cereais","01911","Wheat and products",2511,"c002","A",
"Arroz, trigo e outros cereais","01911","Rice and products",2807,"c001","A",
"Arroz, trigo e outros cereais","01911","Barley and products",2513,"c003","A",
"Arroz, trigo e outros cereais","01911","Rye and products",2515,"c005","A",
"Arroz, trigo e outros cereais","01911","Oats",2516,"c006","A",
"Arroz, trigo e outros cereais","01911","Millet and products",2517,"c007","A",
"Arroz, trigo e outros cereais","01911","Sorghum and products",2518,"c008","A",
"Arroz, trigo e outros cereais","01911","Cereals, Other",2520,"c009","A",
"Milho em grão","01912","Maize and products",2514,"c004","A",
"Algodão herbáceo, outras fibras da lav. temporária","01913","Seed cotton",328,"c025","A",
"Algodão herbáceo, outras fibras da lav. temporária","01913","Soft-Fibres, Other",2664,"c055","A",
"Algodão herbáceo, outras fibras da lav. temporária","01913","Jute",2662,"c053","A",
"Algodão herbáceo, outras fibras da lav. temporária","01913","Jute-Like Fibres",2663,"c054","A",
"Cana-de-açúcar","01914","Sugar cane",2536,"c015","A",
"Soja  em grão","01915","Soyabeans",2555,"c021","A",
"Outros produtos e serviços da lavoura temporária","01916","Groundnuts",2552,"c022","A",
"Outros produtos e serviços da lavoura temporária","01916","Sunflower seed",2557,"c023","A",
"Outros produtos e serviços da lavoura temporária","01916","Rape and Mustardseed",2558,"c024","A",
"Outros produtos e serviços da lavoura temporária","01916","Sesame seed",2561,"c027","A",
"Outros produtos e serviços da lavoura temporária","01916","Oilcrops, Other",2570,"c030","A",
"Outros produtos e serviços da lavoura temporária","01916","Beans",2546,"c017","A",
"Outros produtos e serviços da lavoura temporária","01916","Peas",2547,"c018","A",
"Outros produtos e serviços da lavoura temporária","01916","Pulses, Other and products",2549,"c019","A",
"Outros produtos e serviços da lavoura temporária","01916","Potatoes and products",2531,"c010","A",
"Outros produtos e serviços da lavoura temporária","01916","Cassava and products",2532,"c011","A",
"Outros produtos e serviços da lavoura temporária","01916","Yams",2535,"c014","A",
"Outros produtos e serviços da lavoura temporária","01916","Sweet potatoes",2533,"c012","A",
"Outros produtos e serviços da lavoura temporária","01916","Roots, Other",2534,"c013","A",
"Outros produtos e serviços da lavoura temporária","01916","Tomatoes and products",2601,"c031","A",
"Outros produtos e serviços da lavoura temporária","01916","Onions",2602,"c032","A",
"Outros produtos e serviços da lavoura temporária","01916","Vegetables, Other",2605,"c033","A",
"Outros produtos e serviços da lavoura temporária","01916","Tobacco",2671,"c059","A",
"Outros produtos e serviços da lavoura temporária","01916","Fodder crops",2000,"c061","A",
"Outros produtos e serviços da lavoura temporária","01916","Pineapples and products",2618,"c041","A",
"Outros produtos e serviços da lavoura temporária","01916","Sugar beet",2537,"c016","A",
"Laranja","01917","Oranges, Mandarines",2611,"c034","A",
"Café em grão","01918","Coffee and products",2630,"c045","A",
"Outros produtos da lavoura permanente","01919","Bananas",2615,"c038","A",
"Outros produtos da lavoura permanente","01919","Plantains",2616,"c039","A",
"Outros produtos da lavoura permanente","01919","Apples and products",2617,"c040","A",
"Outros produtos da lavoura permanente","01919","Grapes and products (excl wine)",2620,"c043","A",
"Outros produtos da lavoura permanente","01919","Lemons, Limes and products",2612,"c035","A",
"Outros produtos da lavoura permanente","01919","Grapefruit and products",2613,"c036","A",
"Outros produtos da lavoura permanente","01919","Citrus, Other",2614,"c037","A",
"Outros produtos da lavoura permanente","01919","Nuts and products",2551,"c020","A",
"Outros produtos da lavoura permanente","01919","Coconuts - Incl Copra",2560,"c026","A",
"Outros produtos da lavoura permanente","01919","Olives (including preserved)",2563,"c029","A",
"Outros produtos da lavoura permanente","01919","Dates",2619,"c042","A",
"Outros produtos da lavoura permanente","01919","Fruits, Other",2625,"c044","A",
"Outros produtos da lavoura permanente","01919","Cocoa Beans and products",2633,"c046","A",
"Outros produtos da lavoura permanente","01919","Rubber",2672,"c060","A",
"Outros produtos da lavoura permanente","01919","Oil, palm fruit",254,"c028","A",
"Outros produtos da lavoura permanente","01919","Pepper",2640,"c049","A",
"Outros produtos da lavoura permanente","01919","Pimento",2641,"c050","A",
"Outros produtos da lavoura permanente","01919","Cloves",2642,"c051","A",
"Outros produtos da lavoura permanente","01919","Spices, Other",2645,"c052","A",
"Outros produtos da lavoura permanente","01919","Sisal",2665,"c056","A",
"Outros produtos da lavoura permanente","01919","Abaca",2666,"c057","A",
"Outros produtos da lavoura permanente","01919","Hard Fibres, Other",2667,"c058","A",
"Outros produtos da lavoura permanente","01919","Hops",677,"c048","A",
"Outros produtos da lavoura permanente","01919","Tea (including mate)",2635,"c047","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Cattle",866,"c096","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Buffaloes",946,"c097","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Sheep",976,"c098","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Goats",1016,"c099","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Horses",1096,"c102","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Asses",1107,"c103","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Mules",1110,"c104","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Camels",1126,"c105","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Camelids, other",1157,"c106","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Rabbits and hares",1140,"c107","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Rodents, other",1150,"c108","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Honey",2745,"c121","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Wool (Clean Eq.)",2746,"c112","A",
"Bovinos e outros animais vivos, prods. animal, caça e serv.","01921","Silk",2747,"c122","A",
"Leite de vaca e de outros animais","01922","Milk - Excluding Butter",2848,"c109","A",
"Suínos","01923","Pigs",1034,"c100","A",
"Aves e ovos","01924","Eggs",2744,"c111","A",
"Aves e ovos","01924","Poultry Birds",2029,"c101","A",
"Produtos da exploração florestal e da silvicultura","02801",,,,,
"Pesca e aquicultura (peixe, crustáceos e moluscos)","02802","Fish, Seafood",2960,"c123","A",
"Carvão mineral","05801",,,,,
"Minerais não-metálicos","05802",,,,,
"Petróleo, gás natural e serviços de apoio","06801",,,,,
"Minério de ferro","07911",,,,,
"Minerais metálicos não-ferrosos","07921",,,,,
"Carne de bovinos e outros prod. de carne","10911","Bovine Meat",2731,"c113","C",
"Carne de bovinos e outros prod. de carne","10911","Mutton & Goat Meat",2732,"c114","C",
"Carne de bovinos e outros prod. de carne","10911","Meat, Other",2735,"c117","C",
"Carne de bovinos e outros prod. de carne","10911","Offals, Edible",2736,"c118","C",
"Carne de bovinos e outros prod. de carne","10911","Fats, Animals, Raw",2737,"c119","C",
"Carne de bovinos e outros prod. de carne","10911","Hides and skins",2748,"c120","C",
"Carne de suíno","10912","Pigmeat",2733,"c115","C",
"Carne de aves","10913","Poultry Meat",2734,"c116","C",
"Pescado industrializado","10914","Fish, Seafood",2960,"c123","C",
"Leite resfriado, esterilizado e pasteurizado","10915","Milk - Excluding Butter",2848,"c109","C",
"Outros produtos do laticínio","10916","Milk - Excluding Butter",2848,"c109","C",
"Outros produtos do laticínio","10916","Butter, Ghee",2740,"c110","C",
