"CAN_SUT_item","CAN_SUT_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Canola","MPG111A01","Rape and Mustardseed",2558,"c024","A",
"Oilseeds (except canola)","MPG111A02","Soyabeans",2555,"c021","A",
"Oilseeds (except canola)","MPG111A02","Groundnuts",2552,"c022","A",
"Oilseeds (except canola)","MPG111A02","Sunflower seed",2557,"c023","A",
"Oilseeds (except canola)","MPG111A02","Sesame seed",2561,"c027","A",
"Oilseeds (except canola)","MPG111A02","Oilcrops, Other",2570,"c030","A",
"Wheat","MPG111A03","Wheat and products",2511,"c002","A",
"Grains (except wheat)","MPG111A04","Rice and products",2807,"c001","A",
"Grains (except wheat)","MPG111A04","Barley and products",2513,"c003","A",
"Grains (except wheat)","MPG111A04","Maize and products",2514,"c004","A",
"Grains (except wheat)","MPG111A04","Rye and products",2515,"c005","A",
"Grains (except wheat)","MPG111A04","Oats",2516,"c006","A",
"Grains (except wheat)","MPG111A04","Millet and products",2517,"c007","A",
"Grains (except wheat)","MPG111A04","Sorghum and products",2518,"c008","A",
"Grains (except wheat)","MPG111A04","Cereals, Other",2520,"c009","A",
"Potatoes","MPG111A05","Potatoes and products",2531,"c010","A",
"Fruits and tree nuts","MPG111A06","Nuts and products",2551,"c020","A",
"Fruits and tree nuts","MPG111A06","Oranges, Mandarines",2611,"c034","A",
"Fruits and tree nuts","MPG111A06","Lemons, Limes and products",2612,"c035","A",
"Fruits and tree nuts","MPG111A06","Grapefruit and products",2613,"c036","A",
"Fruits and tree nuts","MPG111A06","Citrus, Other",2614,"c037","A",
"Fruits and tree nuts","MPG111A06","Bananas",2615,"c038","A",
"Fruits and tree nuts","MPG111A06","Plantains",2616,"c039","A",
"Fruits and tree nuts","MPG111A06","Apples and products",2617,"c040","A",
"Fruits and tree nuts","MPG111A06","Pineapples and products",2618,"c041","A",
"Fruits and tree nuts","MPG111A06","Dates",2619,"c042","A",
"Fruits and tree nuts","MPG111A06","Grapes and products (excl wine)",2620,"c043","A",
"Fruits and tree nuts","MPG111A06","Fruits, Other",2625,"c044","A",
"Fresh fruit and nuts","MPG111A10","Nuts and products",2551,"c020","A","vintage recode of MPG111A06 Fruits and tree nuts (MPG111A06: 2010-2012, MPG111A10: 2013-2022)"
"Fresh fruit and nuts","MPG111A10","Oranges, Mandarines",2611,"c034","A","vintage recode of MPG111A06 Fruits and tree nuts (MPG111A06: 2010-2012, MPG111A10: 2013-2022)"
"Fresh fruit and nuts","MPG111A10","Lemons, Limes and products",2612,"c035","A","vintage recode of MPG111A06 Fruits and tree nuts (MPG111A06: 2010-2012, MPG111A10: 2013-2022)"
"Fresh fruit and nuts","MPG111A10","Grapefruit and products",2613,"c036","A","vintage recode of MPG111A06 Fruits and tree nuts (MPG111A06: 2010-2012, MPG111A10: 2013-2022)"
"Fresh fruit and nuts","MPG111A10","Citrus, Other",2614,"c037","A","vintage recode of MPG111A06 Fruits and tree nuts (MPG111A06: 2010-2012, MPG111A10: 2013-2022)"
"Fresh fruit and nuts","MPG111A10","Bananas",2615,"c038","A","vintage recode of MPG111A06 Fruits and tree nuts (MPG111A06: 2010-2012, MPG111A10: 2013-2022)"
"Fresh fruit and nuts","MPG111A10","Plantains",2616,"c039","A","vintage recode of MPG111A06 Fruits and tree nuts (MPG111A06: 2010-2012, MPG111A10: 2013-2022)"
"Fresh fruit and nuts","MPG111A10","Apples and products",2617,"c040","A","vintage recode of MPG111A06 Fruits and tree nuts (MPG111A06: 2010-2012, MPG111A10: 2013-2022)"
"Fresh fruit and nuts","MPG111A10","Pineapples and products",2618,"c041","A","vintage recode of MPG111A06 Fruits and tree nuts (MPG111A06: 2010-2012, MPG111A10: 2013-2022)"
"Fresh fruit and nuts","MPG111A10","Dates",2619,"c042","A","vintage recode of MPG111A06 Fruits and tree nuts (MPG111A06: 2010-2012, MPG111A10: 2013-2022)"
"Fresh fruit and nuts","MPG111A10","Grapes and products (excl wine)",2620,"c043","A","vintage recode of MPG111A06 Fruits and tree nuts (MPG111A06: 2010-2012, MPG111A10: 2013-2022)"
"Fresh fruit and nuts","MPG111A10","Fruits, Other",2625,"c044","A","vintage recode of MPG111A06 Fruits and tree nuts (MPG111A06: 2010-2012, MPG111A10: 2013-2022)"
"Other crop products","MPG111A07","Rubber",2672,"c060","A",
"Other crop products","MPG111A07","Cassava and products",2532,"c011","A",
"Other crop products","MPG111A07","Yams",2535,"c014","A",
"Other crop products","MPG111A07","Sugar cane",2536,"c015","A",
"Other crop products","MPG111A07","Sugar beet",2537,"c016","A",
"Other crop products","MPG111A07","Beans",2546,"c017","A",
"Other crop products","MPG111A07","Peas",2547,"c018","A",
"Other crop products","MPG111A07","Pulses, Other and products",2549,"c019","A",
"Other crop products","MPG111A07","Seed cotton",328,"c025","A",
"Other crop products","MPG111A07","Coconuts - Incl Copra",2560,"c026","A",
"Other crop products","MPG111A07","Oil, palm fruit",254,"c028","A",
"Other crop products","MPG111A07","Olives (including preserved)",2563,"c029","A",
"Other crop products","MPG111A07","Hops",677,"c048","A",
"Other crop products","MPG111A07","Pepper",2640,"c049","A",
"Other crop products","MPG111A07","Pimento",2641,"c050","A",
"Other crop products","MPG111A07","Cloves",2642,"c051","A",
"Other crop products","MPG111A07","Spices, Other",2645,"c052","A",
"Other crop products","MPG111A07","Jute",2662,"c053","A",
"Other crop products","MPG111A07","Jute-Like Fibres",2663,"c054","A",
"Other crop products","MPG111A07","Soft-Fibres, Other",2664,"c055","A",
"Other crop products","MPG111A07","Sisal",2665,"c056","A",
"Other crop products","MPG111A07","Abaca",2666,"c057","A",
"Other crop products","MPG111A07","Hard Fibres, Other",2667,"c058","A",
"Other miscellaneous crop products","MPG111A11","Rubber",2672,"c060","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Cassava and products",2532,"c011","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Yams",2535,"c014","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Sugar cane",2536,"c015","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Sugar beet",2537,"c016","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Beans",2546,"c017","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Peas",2547,"c018","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Pulses, Other and products",2549,"c019","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Seed cotton",328,"c025","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Coconuts - Incl Copra",2560,"c026","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Oil, palm fruit",254,"c028","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Olives (including preserved)",2563,"c029","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Hops",677,"c048","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Pepper",2640,"c049","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Pimento",2641,"c050","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Cloves",2642,"c051","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Spices, Other",2645,"c052","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Jute",2662,"c053","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Jute-Like Fibres",2663,"c054","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Soft-Fibres, Other",2664,"c055","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Sisal",2665,"c056","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Abaca",2666,"c057","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Other miscellaneous crop products","MPG111A11","Hard Fibres, Other",2667,"c058","A","vintage recode of MPG111A07 Other crop products (MPG111A07: 2010-2012, MPG111A11: 2013-2022)"
"Vegetables (except potatoes)","MPG111A08","Sweet potatoes",2533,"c012","A",
"Vegetables (except potatoes)","MPG111A08","Roots, Other",2534,"c013","A",
"Vegetables (except potatoes)","MPG111A08","Tomatoes and products",2601,"c031","A",
"Vegetables (except potatoes)","MPG111A08","Onions",2602,"c032","A",
"Vegetables (except potatoes)","MPG111A08","Vegetables, Other",2605,"c033","A",
"Imputed feed (animal feed produced for own consumption)","IMG111A09","Fodder crops",2000,"c061","A",
"Nursery and floriculture products","MPG111400",,,,,
"Cattle and calves","MPG112001","Cattle",866,"c096","A",
"Unprocessed fluid milk","MPG112002","Milk - Excluding Butter",2848,"c109","A",
"Hogs","MPG112003","Pigs",1034,"c100","A",
"Eggs in shell","MPG112004","Eggs",2744,"c111","A",
"Live poultry","MPG112005","Poultry Birds",2029,"c101","A",
"Other miscellaneous live animals","MPG112006","Buffaloes",946,"c097","A",
"Other miscellaneous live animals","MPG112006","Sheep",976,"c098","A",
"Other miscellaneous live animals","MPG112006","Goats",1016,"c099","A",
"Other miscellaneous live animals","MPG112006","Horses",1096,"c102","A",
"Other miscellaneous live animals","MPG112006","Asses",1107,"c103","A",
"Other miscellaneous live animals","MPG112006","Mules",1110,"c104","A",
"Other miscellaneous live animals","MPG112006","Camels",1126,"c105","A",
"Other miscellaneous live animals","MPG112006","Camelids, other",1157,"c106","A",
