"EXIOBASE_sector","EXIOBASE_sector_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC"
"Paddy rice",1,"Rice and products",2807,"c001","A"
"Wheat",2,"Wheat and products",2511,"c002","A"
"Cereal grains nec",3,"Barley and products",2513,"c003","A"
"Cereal grains nec",3,"Maize and products",2514,"c004","A"
"Cereal grains nec",3,"Rye and products",2515,"c005","A"
"Cereal grains nec",3,"Oats",2516,"c006","A"
"Cereal grains nec",3,"Millet and products",2517,"c007","A"
"Cereal grains nec",3,"Sorghum and products",2518,"c008","A"
"Cereal grains nec",3,"Cereals, Other",2520,"c009","A"
"Vegetables, fruit, nuts",4,"Nuts and products",2551,"c020","A"
"Vegetables, fruit, nuts",4,"Tomatoes and products",2601,"c031","A"
"Vegetables, fruit, nuts",4,"Onions",2602,"c032","A"
"Vegetables, fruit, nuts",4,"Vegetables, Other",2605,"c033","A"
"Vegetables, fruit, nuts",4,"Oranges, Mandarines",2611,"c034","A"
"Vegetables, fruit, nuts",4,"Lemons, Limes and products",2612,"c035","A"
"Vegetables, fruit, nuts",4,"Grapefruit and products",2613,"c036","A"
"Vegetables, fruit, nuts",4,"Citrus, Other",2614,"c037","A"
"Vegetables, fruit, nuts",4,"Bananas",2615,"c038","A"
"Vegetables, fruit, nuts",4,"Plantains",2616,"c039","A"
"Vegetables, fruit, nuts",4,"Apples and products",2617,"c040","A"
"Vegetables, fruit, nuts",4,"Pineapples and products",2618,"c041","A"
"Vegetables, fruit, nuts",4,"Dates",2619,"c042","A"
"Vegetables, fruit, nuts",4,"Grapes and products (excl wine)",2620,"c043","A"
"Vegetables, fruit, nuts",4,"Fruits, Other",2625,"c044","A"
"Oil seeds",5,"Soyabeans",2555,"c021","A"
"Oil seeds",5,"Groundnuts",2552,"c022","A"
"Oil seeds",5,"Sunflower seed",2557,"c023","A"
"Oil seeds",5,"Rape and Mustardseed",2558,"c024","A"
"Oil seeds",5,"Coconuts - Incl Copra",2560,"c026","A"
"Oil seeds",5,"Sesame seed",2561,"c027","A"
"Oil seeds",5,"Oil, palm fruit",254,"c028","A"
"Oil seeds",5,"Olives (including preserved)",2563,"c029","A"
"Oil seeds",5,"Oilcrops, Other",2570,"c030","A"
"Sugar cane, sugar beet",6,"Sugar cane",2536,"c015","A"
"Sugar cane, sugar beet",6,"Sugar beet",2537,"c016","A"
"Plant-based fibers",7,"Seed cotton",328,"c025","A"
"Plant-based fibers",7,"Jute",2662,"c053","A"
"Plant-based fibers",7,"Jute-Like Fibres",2663,"c054","A"
"Plant-based fibers",7,"Soft-Fibres, Other",2664,"c055","A"
"Plant-based fibers",7,"Sisal",2665,"c056","A"
"Plant-based fibers",7,"Abaca",2666,"c057","A"
"Plant-based fibers",7,"Hard Fibres, Other",2667,"c058","A"
"Crops nec",8,"Potatoes and products",2531,"c010","A"
"Crops nec",8,"Cassava and products",2532,"c011","A"
"Crops nec",8,"Sweet potatoes",2533,"c012","A"
"Crops nec",8,"Roots, Other",2534,"c013","A"
"Crops nec",8,"Yams",2535,"c014","A"
"Crops nec",8,"Beans",2546,"c017","A"
"Crops nec",8,"Peas",2547,"c018","A"
"Crops nec",8,"Pulses, Other and products",2549,"c019","A"
"Crops nec",8,"Coffee and products",2630,"c045","A"
"Crops nec",8,"Cocoa Beans and products",2633,"c046","A"
"Crops nec",8,"Tea (including mate)",2635,"c047","A"
"Crops nec",8,"Hops",677,"c048","A"
"Crops nec",8,"Pepper",2640,"c049","A"
"Crops nec",8,"Pimento",2641,"c050","A"
"Crops nec",8,"Cloves",2642,"c051","A"
"Crops nec",8,"Spices, Other",2645,"c052","A"
"Crops nec",8,"Tobacco",2671,"c059","A"
"Crops nec",8,"Rubber",2672,"c060","A"
"Crops nec",8,"Fodder crops",2000,"c061","A"
"Cattle",9,"Cattle",866,"c096","A"
"Pigs",10,"Pigs",1034,"c100","A"
"Poultry",11,"Poultry Birds",2029,"c101","A"
"Meat animals nec",12,"Buffaloes",946,"c097","A"
"Meat animals nec",12,"Sheep",976,"c098","A"
"Meat animals nec",12,"Goats",1016,"c099","A"
"Meat animals nec",12,"Horses",1096,"c102","A"
"Meat animals nec",12,"Asses",1107,"c103","A"
"Meat animals nec",12,"Mules",1110,"c104","A"
"Meat animals nec",12,"Camels",1126,"c105","A"
"Meat animals nec",12,"Camelids, other",1157,"c106","A"
"Meat animals nec",12,"Rabbits and hares",1140,"c107","A"
"Meat animals nec",12,"Rodents, other",1150,"c108","A"
"Animal products nec",13,"Eggs",2744,"c111","A"
"Animal products nec",13,"Honey",2745,"c121","A"
"Raw milk",14,"Milk - Excluding Butter",2848,"c109","A"
"Wool, silk-worm cocoons",15,"Wool (Clean Eq.)",2746,"c112","A"
"Wool, silk-worm cocoons",15,"Silk",2747,"c122","A"
"Manure (conventional treatment)",16,,,,
"Manure (biogas treatment)",17,,,,
"Products of forestry, logging and related services (02)",18,,,,
"Fish and other fishing products; services incidental of fishing (05)",19,"Fish, Seafood",2960,"c123","A"
"Anthracite",20,,,,
"Coking Coal",21,,,,
"Other Bituminous Coal",22,,,,
"Sub-Bituminous Coal",23,,,,
"Patent Fuel",24,,,,
"Lignite/Brown Coal",25,,,,
"BKB/Peat Briquettes",26,,,,
"Peat",27,,,,
"Crude petroleum and services related to crude oil extraction, excluding surveying",28,,,,
"Natural gas and services related to natural gas extraction, excluding surveying",29,,,,
"Natural Gas Liquids",30,,,,
"Other Hydrocarbons",31,,,,
"Uranium and thorium ores (12)",32,,,,
"Iron ores",33,,,,
"Copper ores and concentrates",34,,,,
"Nickel ores and concentrates",35,,,,
"Aluminium ores and concentrates",36,,,,
"Precious metal ores and concentrates",37,,,,
"Lead, zinc and tin ores and concentrates",38,,,,
"Other non-ferrous metal ores and concentrates",39,,,,
"Stone",40,,,,
"Sand and clay",41,,,,
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",42,,,,
"Products of meat cattle",43,"Bovine Meat",2731,"c113","C"
"Products of meat pigs",44,"Pigmeat",2733,"c115","C"
"Products of meat poultry",45,"Poultry Meat",2734,"c116","C"
"Meat products nec",46,"Mutton & Goat Meat",2732,"c114","C"
"Meat products nec",46,"Meat, Other",2735,"c117","C"
"Meat products nec",46,"Fats, Animals, Raw",2737,"c119","C"
"Meat products nec",46,"Offals, Edible",2736,"c118","C"
"Meat products nec",46,"Hides and skins",2748,"c120","C"
"products of Vegetable oils and fats",47,"Soyabean Oil",2571,"c068","C"
"products of Vegetable oils and fats",47,"Groundnut Oil",2572,"c069","C"
"products of Vegetable oils and fats",47,"Sunflowerseed Oil",2573,"c070","C"
"products of Vegetable oils and fats",47,"Rape and Mustard Oil",2574,"c071","C"
"products of Vegetable oils and fats",47,"Cottonseed Oil",2575,"c072","C"
