"FAO_item","FAO_item_code","FABIO_item","FABIO_item_code","FABIO_comm_code","unused_FAO_items"
"Rice",27,"Rice and products",2807,"c001","Coarse Grain, Total"
"Wheat",15,"Wheat and products",2511,"c002","Cereals, primary"
"Barley",44,"Barley and products",2513,"c003","Roots and Tubers, Total"
"Maize (corn)",56,"Maize and products",2514,"c004","Pulses, Total"
"Rye",71,"Rye and products",2515,"c005","Oilcrops, Oil Equivalent"
"Oats",75,"Oats",2516,"c006","Vegetables and Melons, Total"
"Millet",79,"Millet and products",2517,"c007","Vegetables Primary"
"Sorghum",83,"Sorghum and products",2518,"c008","Citrus Fruit, Total"
"Triticale",97,"Cereals, Other",2520,"c009","Bananas cavendish"
"Canary seed",101,"Cereals, Other",2520,"c009","Plantains"
"Cereals n.e.c.",108,"Cereals, Other",2520,"c009","Other bananas (excluding cavendish and cooking bananas)"
"Buckwheat",89,"Cereals, Other",2520,"c009","Cooking bananas"
"Mixed grain",103,"Cereals, Other",2520,"c009","Fruit Primary"
"Fonio",94,"Cereals, Other",2520,"c009","Fruit excl Melons, Total"
"Quinoa",92,"Cereals, Other",2520,"c009","Fibre Crops Primary"
"Potatoes",116,"Potatoes and products",2531,"c010","Milk, Total"
"Cassava, fresh",125,"Cassava and products",2532,"c011","Eggs Primary"
"Sweet potatoes",122,"Sweet potatoes",2533,"c012","Meat of cattle with the bone, fresh or chilled (biological)"
"Taro",136,"Roots, Other",2534,"c013","Meat, Total"
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",149,"Roots, Other",2534,"c013","Meat of buffalo, fresh or chilled (biological)"
"Yautia",135,"Roots, Other",2534,"c013","Meat of goat, fresh or chilled (biological)"
"Yams",137,"Yams",2535,"c014","Meat of sheep, fresh or chilled (biological)"
"Sugar cane",156,"Sugar cane",2536,"c015","Meat of pig with the bone, fresh or chilled (biological)"
"Sugar beet",157,"Sugar beet",2537,"c016","Meat of chickens, fresh or chilled (biological)"
"Beans, dry",176,"Beans",2546,"c017","Meat of turkeys, fresh or chilled (biological)"
"Peas, dry",187,"Peas",2547,"c018","Meat of ducks, fresh or chilled (biological)"
"Other pulses n.e.c.",211,"Pulses, Other and products",2549,"c019","Meat of geese, fresh or chilled (biological)"
"Broad beans and horse beans, dry",181,"Pulses, Other and products",2549,"c019","Meat of pigeons and other birds n.e.c., fresh, chilled or frozen (biological)"
"Cow peas, dry",195,"Pulses, Other and products",2549,"c019","Meat of camels, fresh or chilled (biological)"
"Pigeon peas, dry",197,"Pulses, Other and products",2549,"c019","Horse meat, fresh or chilled (biological)"
"Bambara beans, dry",203,"Pulses, Other and products",2549,"c019","Meat of rabbits and hares, fresh or chilled (biological)"
"Vetches",205,"Pulses, Other and products",2549,"c019","Meat of asses, fresh or chilled (biological)"
"Chick peas, dry",191,"Pulses, Other and products",2549,"c019","Meat of other domestic camelids, fresh or chilled (biological)"
"Lentils, dry",201,"Pulses, Other and products",2549,"c019","Meat of mules, fresh or chilled (biological)"
"Lupins",210,"Pulses, Other and products",2549,"c019","Meat of other domestic rodents, fresh or chilled (biological)"
"Almonds, in shell",221,"Nuts and products",2551,"c020","Agriculture"
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",234,"Nuts and products",2551,"c020","Livestock"
"Walnuts, in shell",222,"Nuts and products",2551,"c020","Beeswax"
"Areca nuts",226,"Nuts and products",2551,"c020","for these, no USD prices can be derived from the FAO data"
"Chestnuts, in shell",220,"Nuts and products",2551,"c020","Vegetable tallow"
"Brazil nuts, in shell",216,"Nuts and products",2551,"c020","Stillingia oil"
"Hazelnuts, in shell",225,"Nuts and products",2551,"c020","Jute & Jute-like Fibres"
"Cashew nuts, in shell",217,"Nuts and products",2551,"c020","Meat of other domestic rodents, fresh or chilled"
"Kola nuts",224,"Nuts and products",2551,"c020","Tallowtree seeds"
"Soya beans",236,"Soyabeans",2555,"c021","excluded, because FAOstat data does not report production volumes so it skews the (weighted) average"
"Groundnuts, excluding shelled",242,"Groundnuts",2552,"c022","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip"
"Sunflower seed",267,"Sunflower seed",2557,"c023",
"Rape or colza seed",270,"Rape and Mustardseed",2558,"c024",
"Mustard seed",292,"Rape and Mustardseed",2558,"c024",
"Seed cotton, unginned",328,"Seed cotton",328,"c025",
"Coconuts, in shell",249,"Coconuts - Incl Copra",2560,"c026",
"Sesame seed",289,"Sesame seed",2561,"c027",
"Oil palm fruit",254,"Oil, palm fruit",254,"c028",
"Olives",260,"Olives (including preserved)",2563,"c029",
"Linseed",333,"Oilcrops, Other",2570,"c030",
"Hempseed",336,"Oilcrops, Other",2570,"c030",
"Melonseed",299,"Oilcrops, Other",2570,"c030",
"Other oil seeds, n.e.c.",339,"Oilcrops, Other",2570,"c030",
"Castor oil seeds",265,"Oilcrops, Other",2570,"c030",
"Safflower seed",280,"Oilcrops, Other",2570,"c030",
"Tung nuts",275,"Oilcrops, Other",2570,"c030",
"Poppy seed",296,"Oilcrops, Other",2570,"c030",
"Karite nuts (sheanuts)",263,"Oilcrops, Other",2570,"c030",
"Tomatoes",388,"Tomatoes and products",2601,"c031",
"Onions and shallots, dry (excluding dehydrated)",403,"Onions",2602,"c032",
"Onions and shallots, green",402,"Onions",2602,"c032",
"Cabbages",358,"Vegetables, Other",2605,"c033",
"Leeks and other alliaceous vegetables",407,"Vegetables, Other",2605,"c033",
"Carrots and turnips",426,"Vegetables, Other",2605,"c033",
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",401,"Vegetables, Other",2605,"c033",
"Cucumbers and gherkins",397,"Vegetables, Other",2605,"c033",
"Eggplants (aubergines)",399,"Vegetables, Other",2605,"c033",
"Cauliflowers and broccoli",393,"Vegetables, Other",2605,"c033",
"Green garlic",406,"Vegetables, Other",2605,"c033",
"Lettuce and chicory",372,"Vegetables, Other",2605,"c033",
"Okra",430,"Vegetables, Other",2605,"c033",
"Other vegetables, fresh n.e.c.",463,"Vegetables, Other",2605,"c033",
"Pumpkins, squash and gourds",394,"Vegetables, Other",2605,"c033",
"Spinach",373,"Vegetables, Other",2605,"c033",
"Artichokes",366,"Vegetables, Other",2605,"c033",
"Asparagus",367,"Vegetables, Other",2605,"c033",
"Locust beans (carobs)",461,"Vegetables, Other",2605,"c033",
"Peas, green",417,"Vegetables, Other",2605,"c033",
"Other beans, green",414,"Vegetables, Other",2605,"c033",
"String beans",423,"Vegetables, Other",2605,"c033",
"Mushrooms and truffles",449,"Vegetables, Other",2605,"c033",
"Green corn (maize)",446,"Vegetables, Other",2605,"c033",
"Chicory roots",459,"Vegetables, Other",2605,"c033",
"Broad beans and horse beans, green",420,"Vegetables, Other",2605,"c033",
"Cantaloupes and other melons",568,"Vegetables, Other",2605,"c033",
"Watermelons",567,"Vegetables, Other",2605,"c033",
"Oranges",490,"Oranges, Mandarines",2611,"c034",
"Tangerines, mandarins, clementines",495,"Oranges, Mandarines",2611,"c034",
"Lemons and limes",497,"Lemons, Limes and products",2612,"c035",
"Pomelos and grapefruits",507,"Grapefruit and products",2613,"c036",
"Other citrus fruit, n.e.c.",512,"Citrus, Other",2614,"c037",
"Bananas",486,"Bananas",2615,"c038",
"Plantains and cooking bananas",489,"Plantains",2616,"c039",
"Apples",515,"Apples and products",2617,"c040",
"Pineapples",574,"Pineapples and products",2618,"c041",
"Dates",577,"Dates",2619,"c042",
"Grapes",560,"Grapes and products (excl wine)",2620,"c043",
"Apricots",526,"Fruits, Other",2625,"c044",
"Figs",569,"Fruits, Other",2625,"c044",
"Other stone fruits",541,"Fruits, Other",2625,"c044",
"Peaches and nectarines",534,"Fruits, Other",2625,"c044",
"Pears",521,"Fruits, Other",2625,"c044",
"Pistachios, in shell",223,"Nuts and products",2551,"c020",
"Plums and sloes",536,"Fruits, Other",2625,"c044",
"Cherries",531,"Fruits, Other",2625,"c044",
"Other fruits, n.e.c.",619,"Fruits, Other",2625,"c044",
"Quinces",523,"Fruits, Other",2625,"c044",
"Sour cherries",530,"Fruits, Other",2625,"c044",
"Avocados",572,"Fruits, Other",2625,"c044",
"Mangoes, guavas and mangosteens",571,"Fruits, Other",2625,"c044",
"Papayas",600,"Fruits, Other",2625,"c044",
"Currants",550,"Fruits, Other",2625,"c044",
"Raspberries",547,"Fruits, Other",2625,"c044",
"Strawberries",544,"Fruits, Other",2625,"c044",
"Kiwi fruit",592,"Fruits, Other",2625,"c044",
"Other berries and fruits of the genus vaccinium n.e.c.",558,"Fruits, Other",2625,"c044",
"Other tropical fruits, n.e.c.",603,"Fruits, Other",2625,"c044",
"Persimmons",587,"Fruits, Other",2625,"c044",
