"GLORIA_sector","GLORIA_sector_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Growing wheat",1,"Wheat and products",2511,"c002","A",
"Growing maize",2,"Maize and products",2514,"c004","A",
"Growing cereals n.e.c",3,"Barley and products",2513,"c003","A",
"Growing cereals n.e.c",3,"Rye and products",2515,"c005","A",
"Growing cereals n.e.c",3,"Oats",2516,"c006","A",
"Growing cereals n.e.c",3,"Millet and products",2517,"c007","A",
"Growing cereals n.e.c",3,"Sorghum and products",2518,"c008","A",
"Growing cereals n.e.c",3,"Cereals, Other",2520,"c009","A",
"Cereal products",47,"Wheat and products",2511,"c002","C",
"Cereal products",47,"Maize and products",2514,"c004","C",
"Cereal products",47,"Barley and products",2513,"c003","C",
"Cereal products",47,"Rye and products",2515,"c005","C",
"Cereal products",47,"Oats",2516,"c006","C",
"Cereal products",47,"Millet and products",2517,"c007","C",
"Cereal products",47,"Sorghum and products",2518,"c008","C",
"Cereal products",47,"Cereals, Other",2520,"c009","C",
"Cereal products",47,"Rice and products",2807,"c001","C",
"Growing leguminous crops and oil seeds",4,"Beans",2546,"c017","A",
"Growing leguminous crops and oil seeds",4,"Peas",2547,"c018","A",
"Growing leguminous crops and oil seeds",4,"Pulses, Other and products",2549,"c019","A",
"Growing leguminous crops and oil seeds",4,"Soyabeans",2555,"c021","A",
"Growing leguminous crops and oil seeds",4,"Groundnuts",2552,"c022","A",
"Growing leguminous crops and oil seeds",4,"Sunflower seed",2557,"c023","A",
"Growing leguminous crops and oil seeds",4,"Rape and Mustardseed",2558,"c024","A",
"Growing leguminous crops and oil seeds",4,"Sesame seed",2561,"c027","A",
"Growing leguminous crops and oil seeds",4,"Oil, palm fruit",254,"c028","A",
"Growing leguminous crops and oil seeds",4,"Olives (including preserved)",2563,"c029","A",
"Growing leguminous crops and oil seeds",4,"Oilcrops, Other",2570,"c030","A",
"Growing rice",5,"Rice and products",2807,"c001","A",
"Growing vegetables, roots, tubers",6,"Potatoes and products",2531,"c010","A",
"Growing vegetables, roots, tubers",6,"Cassava and products",2532,"c011","A",
"Growing vegetables, roots, tubers",6,"Sweet potatoes",2533,"c012","A",
"Growing vegetables, roots, tubers",6,"Roots, Other",2534,"c013","A",
"Growing vegetables, roots, tubers",6,"Tomatoes and products",2601,"c031","A",
"Growing vegetables, roots, tubers",6,"Onions",2602,"c032","A",
"Growing vegetables, roots, tubers",6,"Vegetables, Other",2605,"c033","A",
"Growing vegetables, roots, tubers",6,"Yams",2535,"c014","A",
"Growing vegetables, roots, tubers",6,"Fodder crops",2000,"c061","A",
"Vegetable products",48,"Pulses, Other and products",2549,"c019","C",
"Vegetable products",48,"Potatoes and products",2531,"c010","C",
"Vegetable products",48,"Cassava and products",2532,"c011","C",
"Vegetable products",48,"Sweet potatoes",2533,"c012","C",
"Vegetable products",48,"Roots, Other",2534,"c013","C",
"Vegetable products",48,"Tomatoes and products",2601,"c031","C",
"Vegetable products",48,"Onions",2602,"c032","C",
"Vegetable products",48,"Vegetables, Other",2605,"c033","C",
"Vegetable products",48,"Yams",2535,"c014","C",
"Growing sugar beet and cane",7,"Sugar cane",2536,"c015","A",
"Growing sugar beet and cane",7,"Sugar beet",2537,"c016","A",
"Growing tobacco",8,"Tobacco",2671,"c059","A",
"Tobacco products",56,"Tobacco",2671,"c059","C",
"Growing fibre crops",9,"Jute",2662,"c053","A",
"Growing fibre crops",9,"Jute-Like Fibres",2663,"c054","A",
"Growing fibre crops",9,"Soft-Fibres, Other",2664,"c055","A",
"Growing fibre crops",9,"Sisal",2665,"c056","A",
"Growing fibre crops",9,"Seed cotton",328,"c025","A",
"Growing fibre crops",9,"Abaca",2666,"c057","A",
"Growing fibre crops",9,"Hard Fibres, Other",2667,"c058","A",
"Growing crops n.e.c.",10,"Rubber",2672,"c060","A",
"Growing grapes",11,"Grapes and products (excl wine)",2620,"c043","A",
"Growing fruits and nuts",12,"Nuts and products",2551,"c020","A",
"Growing fruits and nuts",12,"Oranges, Mandarines",2611,"c034","A",
"Growing fruits and nuts",12,"Lemons, Limes and products",2612,"c035","A",
"Growing fruits and nuts",12,"Grapefruit and products",2613,"c036","A",
"Growing fruits and nuts",12,"Citrus, Other",2614,"c037","A",
"Growing fruits and nuts",12,"Bananas",2615,"c038","A",
"Growing fruits and nuts",12,"Plantains",2616,"c039","A",
"Growing fruits and nuts",12,"Apples and products",2617,"c040","A",
"Growing fruits and nuts",12,"Pineapples and products",2618,"c041","A",
"Growing fruits and nuts",12,"Dates",2619,"c042","A",
"Growing fruits and nuts",12,"Coconuts - Incl Copra",2560,"c026","A",
"Growing fruits and nuts",12,"Fruits, Other",2625,"c044","A",
"Fruit products",49,"Grapes and products (excl wine)",2620,"c043","C",
"Fruit products",49,"Nuts and products",2551,"c020","C",
"Fruit products",49,"Oranges, Mandarines",2611,"c034","C",
"Fruit products",49,"Lemons, Limes and products",2612,"c035","C",
"Fruit products",49,"Grapefruit and products",2613,"c036","C",
"Fruit products",49,"Citrus, Other",2614,"c037","C",
"Fruit products",49,"Apples and products",2617,"c040","C",
"Fruit products",49,"Pineapples and products",2618,"c041","C",
"Fruit products",49,"Coconuts - Incl Copra",2560,"c026","C",
"Fruit products",49,"Fruits, Other",2625,"c044","C",
"Growing beverage crops (coffee, tea etc)",13,"Coffee and products",2630,"c045","A",
"Growing beverage crops (coffee, tea etc)",13,"Tea (including mate)",2635,"c047","A",
"Growing beverage crops (coffee, tea etc)",13,"Cocoa Beans and products",2633,"c046","A","cocoa is a beverage crop in ISIC classification"
"Growing beverage crops (coffee, tea etc)",13,"Hops",677,"c048","A",
"Growing spices, aromatic, drug and pharmaceutical crops",14,"Pepper",2640,"c049","A",
"Growing spices, aromatic, drug and pharmaceutical crops",14,"Pimento",2641,"c050","A",
"Growing spices, aromatic, drug and pharmaceutical crops",14,"Cloves",2642,"c051","A",
"Growing spices, aromatic, drug and pharmaceutical crops",14,"Spices, Other",2645,"c052","A",
"Seeds and plant propagation",15,,,,,
"Raising of cattle",16,"Cattle",866,"c096","A",
"Raising of cattle",16,"Buffaloes",946,"c097","A","for India"
"Raising of cattle",16,"Milk - Excluding Butter",2848,"c109","A","VA intensity will be weighted by total product output for the milk containing category"
"Raising of sheep and goats",17,"Sheep",976,"c098","A",
"Raising of sheep and goats",17,"Goats",1016,"c099","A",
"Raising of sheep and goats",17,"Milk - Excluding Butter",2848,"c109","A","VA intensity will be weighted by total product output for the milk containing category"
"Raising of sheep and goats",17,"Wool (Clean Eq.)",2746,"c112","A",
"Raising of swine/pigs",18,"Pigs",1034,"c100","A",
"Raising of poultry",19,"Eggs",2744,"c111","A",
"Raising of poultry",19,"Poultry Birds",2029,"c101","A",
"Raising of animals n.e.c.; services to agriculture",20,"Horses",1096,"c102","A",
"Raising of animals n.e.c.; services to agriculture",20,"Asses",1107,"c103","A",
"Raising of animals n.e.c.; services to agriculture",20,"Mules",1110,"c104","A",
"Raising of animals n.e.c.; services to agriculture",20,"Camels",1126,"c105","A",
"Raising of animals n.e.c.; services to agriculture",20,"Camelids, other",1157,"c106","A",
