"JPN_IOT2011_item","JPN_IOT2011_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Rice","011101","Rice and products",2807,"c001","A",
"Wheat, barley and the like","011102","Wheat and products",2511,"c002","A",
"Wheat, barley and the like","011102","Barley and products",2513,"c003","A",
"Wheat, barley and the like","011102","Rye and products",2515,"c005","A",
"Wheat, barley and the like","011102","Oats",2516,"c006","A",
"Potatoes and sweet potatoes","011201","Potatoes and products",2531,"c010","A",
"Potatoes and sweet potatoes","011201","Sweet potatoes",2533,"c012","A",
"Potatoes and sweet potatoes","011201","Roots, Other",2534,"c013","A",
"Potatoes and sweet potatoes","011201","Yams",2535,"c014","A",
"Potatoes and sweet potatoes","011201","Cassava and products",2532,"c011","A",
"Pulses","011202","Soyabeans",2555,"c021","A",
"Pulses","011202","Beans",2546,"c017","A",
"Pulses","011202","Peas",2547,"c018","A",
"Pulses","011202","Pulses, Other and products",2549,"c019","A",
"Pulses","011202","Groundnuts",2552,"c022","A",
"Vegetables (outdoor)","011301","Tomatoes and products",2601,"c031","A",
"Vegetables (outdoor)","011301","Onions",2602,"c032","A",
"Vegetables (outdoor)","011301","Vegetables, Other",2605,"c033","A",
"Vegetables (under facilities)","011302","Tomatoes and products",2601,"c031","A",
"Vegetables (under facilities)","011302","Onions",2602,"c032","A",
"Vegetables (under facilities)","011302","Vegetables, Other",2605,"c033","A",
"Fruits","011401","Oranges, Mandarines",2611,"c034","A",
"Fruits","011401","Lemons, Limes and products",2612,"c035","A",
"Fruits","011401","Grapefruit and products",2613,"c036","A",
"Fruits","011401","Citrus, Other",2614,"c037","A",
"Fruits","011401","Apples and products",2617,"c040","A",
"Fruits","011401","Grapes and products (excl wine)",2620,"c043","A",
"Fruits","011401","Pineapples and products",2618,"c041","A",
"Fruits","011401","Bananas",2615,"c038","A",
"Fruits","011401","Plantains",2616,"c039","A",
"Fruits","011401","Dates",2619,"c042","A",
"Fruits","011401","Nuts and products",2551,"c020","A",
"Fruits","011401","Coconuts - Incl Copra",2560,"c026","A",
"Fruits","011401","Olives (including preserved)",2563,"c029","A",
"Fruits","011401","Fruits, Other",2625,"c044","A",
"Sugar crops","011501","Sugar cane",2536,"c015","A",
"Sugar crops","011501","Sugar beet",2537,"c016","A",
"Crops for beverages","011502","Tea (including mate)",2635,"c047","A",
"Crops for beverages","011502","Hops",677,"c048","A",
"Miscellaneous edible crops","011509","Maize and products",2514,"c004","A",
"Miscellaneous edible crops","011509","Millet and products",2517,"c007","A",
"Miscellaneous edible crops","011509","Sorghum and products",2518,"c008","A",
"Miscellaneous edible crops","011509","Cereals, Other",2520,"c009","A",
"Miscellaneous edible crops","011509","Rape and Mustardseed",2558,"c024","A",
"Miscellaneous edible crops","011509","Sesame seed",2561,"c027","A",
"Miscellaneous edible crops","011509","Sunflower seed",2557,"c023","A",
"Miscellaneous edible crops","011509","Oilcrops, Other",2570,"c030","A",
"Miscellaneous edible crops","011509","Pepper",2640,"c049","A",
"Miscellaneous edible crops","011509","Pimento",2641,"c050","A",
"Miscellaneous edible crops","011509","Cloves",2642,"c051","A",
"Miscellaneous edible crops","011509","Spices, Other",2645,"c052","A",
"Feed and forage crops","011601","Fodder crops",2000,"c061","A",
"Seeds and seedlings","011602",,,,,
"Flowers and plants","011603",,,,,
"Miscellaneous inedible crops","011609","Tobacco",2671,"c059","A",
"Miscellaneous inedible crops","011609","Seed cotton",328,"c025","A",
"Miscellaneous inedible crops","011609","Soft-Fibres, Other",2664,"c055","A",
"Miscellaneous inedible crops","011609","Jute",2662,"c053","A",
"Miscellaneous inedible crops","011609","Jute-Like Fibres",2663,"c054","A",
"Miscellaneous inedible crops","011609","Sisal",2665,"c056","A",
"Miscellaneous inedible crops","011609","Abaca",2666,"c057","A",
"Miscellaneous inedible crops","011609","Hard Fibres, Other",2667,"c058","A",
"Miscellaneous inedible crops","011609","Rubber",2672,"c060","A",
"Miscellaneous inedible crops","011609","Oil, palm fruit",254,"c028","A",
"Dairy cattle farming","012101","Milk - Excluding Butter",2848,"c109","A",
"Beef cattle","012102","Cattle",866,"c096","A",
"Beef cattle","012102","Buffaloes",946,"c097","A",
"Hogs","012103","Pigs",1034,"c100","A",
"Hen eggs","012104","Eggs",2744,"c111","A",
"Chickens","012105","Poultry Birds",2029,"c101","A",
"Miscellaneous livestock","012109","Sheep",976,"c098","A",
"Miscellaneous livestock","012109","Goats",1016,"c099","A",
"Miscellaneous livestock","012109","Horses",1096,"c102","A",
"Miscellaneous livestock","012109","Asses",1107,"c103","A",
"Miscellaneous livestock","012109","Mules",1110,"c104","A",
"Miscellaneous livestock","012109","Camels",1126,"c105","A",
"Miscellaneous livestock","012109","Camelids, other",1157,"c106","A",
"Miscellaneous livestock","012109","Rabbits and hares",1140,"c107","A",
"Miscellaneous livestock","012109","Rodents, other",1150,"c108","A",
"Miscellaneous livestock","012109","Wool (Clean Eq.)",2746,"c112","A",
"Miscellaneous livestock","012109","Honey",2745,"c121","A",
"Miscellaneous livestock","012109","Silk",2747,"c122","A",
"Veterinary service","013101",,,,,
"Agricultural services (except veterinary service)","013102",,,,,
"Silviculture","015101",,,,,
"Logs","015201",,,,,
"Special forest products (including hunting)","015301",,,,,
"Marine fishery","017101","Fish, Seafood",2960,"c123","A",
"Marine aquaculture","017102","Fish, Seafood",2960,"c123","A",
"Inland water fishery","017201","Fish, Seafood",2960,"c123","A",
"Inland water aquaculture","017202","Fish, Seafood",2960,"c123","A",
"Metallic ores","061101",,,,,
"Coal mining, crude petroleum and natural gas","062101",,,,,
"Gravel and quarrying","063101",,,,,
"Crushed stones","063102",,,,,
"Miscellaneous ores","063909",,,,,
"Meat","111101","Bovine Meat",2731,"c113","C",
"Meat","111101","Pigmeat",2733,"c115","C",
"Meat","111101","Poultry Meat",2734,"c116","C",
"Meat","111101","Mutton & Goat Meat",2732,"c114","C",
"Meat","111101","Meat, Other",2735,"c117","C",
"Meat","111101","Offals, Edible",2736,"c118","C",
"Meat","111101","Fats, Animals, Raw",2737,"c119","C",
"Meat","111101","Hides and skins",2748,"c120","C",
"Processed meat products","111201","Bovine Meat",2731,"c113","C",
"Processed meat products","111201","Pigmeat",2733,"c115","C",
"Processed meat products","111201","Poultry Meat",2734,"c116","C",
"Processed meat products","111201","Meat, Other",2735,"c117","C",
"Bottled or canned meat products","111202","Bovine Meat",2731,"c113","C",
"Bottled or canned meat products","111202","Pigmeat",2733,"c115","C",
"Bottled or canned meat products","111202","Poultry Meat",2734,"c116","C",
"Bottled or canned meat products","111202","Meat, Other",2735,"c117","C",
"Dairy farm products","111203","Milk - Excluding Butter",2848,"c109","C",
"Dairy farm products","111203","Butter, Ghee",2740,"c110","C",
"Frozen fish and shellfish","111301","Fish, Seafood",2960,"c123","C",
"Salted, dried or smoked seafood","111302","Fish, Seafood",2960,"c123","C",
"Bottled or canned seafood","111303","Fish, Seafood",2960,"c123","C",
"Fish paste","111304","Fish, Seafood",2960,"c123","C",
"Miscellaneous processed seafood","111309","Fish, Seafood",2960,"c123","C",
"Grain milling","111401","Rice and products",2807,"c001","C",
"Grain milling","111401","Barley and products",2513,"c003","C",
"Flour and miscellaneous grain milled products","111402","Wheat and products",2511,"c002","C",
"Flour and miscellaneous grain milled products","111402","Maize and products",2514,"c004","C",
"Flour and miscellaneous grain milled products","111402","Rye and products",2515,"c005","C",
"Flour and miscellaneous grain milled products","111402","Oats",2516,"c006","C",
"Flour and miscellaneous grain milled products","111402","Millet and products",2517,"c007","C",
"Flour and miscellaneous grain milled products","111402","Sorghum and products",2518,"c008","C",
"Flour and miscellaneous grain milled products","111402","Cereals, Other",2520,"c009","C",
"Noodles","111501",,,,,
"Bread","111502",,,,,
"Confectionery","111503","Cocoa Beans and products",2633,"c046","C","chocolate confectionery; no separate cocoa sector"
"Bottled or canned vegetables and fruits","111601","Potatoes and products",2531,"c010","C",
"Bottled or canned vegetables and fruits","111601","Sweet potatoes",2533,"c012","C",
"Bottled or canned vegetables and fruits","111601","Roots, Other",2534,"c013","C",
"Bottled or canned vegetables and fruits","111601","Tomatoes and products",2601,"c031","C",
"Bottled or canned vegetables and fruits","111601","Onions",2602,"c032","C",
"Bottled or canned vegetables and fruits","111601","Vegetables, Other",2605,"c033","C",
