"USA_SUT_item","USA_SUT_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Oilseed farming","1111A0","Rape and Mustardseed",2558,"c024","A",
"Oilseed farming","1111A0","Soyabeans",2555,"c021","A",
"Oilseed farming","1111A0","Groundnuts",2552,"c022","A",
"Oilseed farming","1111A0","Sunflower seed",2557,"c023","A",
"Oilseed farming","1111A0","Sesame seed",2561,"c027","A",
"Oilseed farming","1111A0","Oilcrops, Other",2570,"c030","A",
"Grain farming","1111B0","Wheat and products",2511,"c002","A",
"Grain farming","1111B0","Rice and products",2807,"c001","A",
"Grain farming","1111B0","Barley and products",2513,"c003","A",
"Grain farming","1111B0","Maize and products",2514,"c004","A",
"Grain farming","1111B0","Rye and products",2515,"c005","A",
"Grain farming","1111B0","Oats",2516,"c006","A",
"Grain farming","1111B0","Millet and products",2517,"c007","A",
"Grain farming","1111B0","Sorghum and products",2518,"c008","A",
"Grain farming","1111B0","Cereals, Other",2520,"c009","A",
"Grain farming","1111B0","Beans",2546,"c017","A","BEA grain farming incl. dry pea & bean"
"Grain farming","1111B0","Peas",2547,"c018","A","BEA grain farming incl. dry pea & bean"
"Grain farming","1111B0","Pulses, Other and products",2549,"c019","A","BEA grain farming incl. dry pea & bean"
"Vegetable and melon farming","111200","Potatoes and products",2531,"c010","A",
"Vegetable and melon farming","111200","Cassava and products",2532,"c011","A",
"Vegetable and melon farming","111200","Yams",2535,"c014","A",
"Vegetable and melon farming","111200","Sweet potatoes",2533,"c012","A",
"Vegetable and melon farming","111200","Roots, Other",2534,"c013","A",
"Vegetable and melon farming","111200","Tomatoes and products",2601,"c031","A",
"Vegetable and melon farming","111200","Onions",2602,"c032","A",
"Vegetable and melon farming","111200","Vegetables, Other",2605,"c033","A",
"Fruit and tree nut farming","111300","Nuts and products",2551,"c020","A",
"Fruit and tree nut farming","111300","Oranges, Mandarines",2611,"c034","A",
"Fruit and tree nut farming","111300","Lemons, Limes and products",2612,"c035","A",
"Fruit and tree nut farming","111300","Grapefruit and products",2613,"c036","A",
"Fruit and tree nut farming","111300","Citrus, Other",2614,"c037","A",
"Fruit and tree nut farming","111300","Bananas",2615,"c038","A",
"Fruit and tree nut farming","111300","Plantains",2616,"c039","A",
"Fruit and tree nut farming","111300","Apples and products",2617,"c040","A",
"Fruit and tree nut farming","111300","Pineapples and products",2618,"c041","A",
"Fruit and tree nut farming","111300","Dates",2619,"c042","A",
